season,week,norm_week,rank_align_j,rank_align_f,pct_align_j,pct_align_f,rank_fan_adv,pct_fan_adv
1,1,0.0,0.6363636363636364,0.38924947208076144,0.3771271235533529,0.7885126732783472,-0.24711416428287492,0.41138554972499425
1,2,0.2,0.5520524474738834,0.6900655593423541,0.8321566129481134,0.8519380533616332,0.13801311186847076,0.019781440413519813
1,3,0.4,0.6708203932499368,0.6708203932499368,0.9463833607124896,0.919737240629666,0.0,-0.026646120082823632
1,4,0.6,0.6666666666666669,0.6666666666666669,0.9036282961680372,0.5224495032105334,0.0,-0.3811787929575038
1,5,0.8,0.33333333333333337,0.33333333333333337,0.9682150668731269,-0.8571673449198285,0.0,-1.8253824117929554
2,1,0.0,0.5815526314990442,0.5520524474738833,0.6343743022189939,0.9165248897371292,-0.02950018402516097,0.28215058751813527
2,2,0.14285714285714285,0.6473388749701496,0.43519413988924455,0.6537173238922114,0.9206888850399239,-0.2121447350809051,0.2669715611477125
2,3,0.2857142857142857,0.5661385170722979,0.5455447255899809,0.6530868109474812,0.8907180601505376,-0.020593791482316992,0.23763124920305634
2,4,0.42857142857142855,0.6499999999999999,0.6831300510639733,0.8280906650113534,0.8401036340207941,0.033130051063973376,0.01201296900944071
2,5,0.5714285714285714,0.5520524474738834,0.41403933560541256,0.42966596976577937,0.932771498959815,-0.13801311186847082,0.5031055291940356
2,6,0.7142857142857143,0.8249579113843054,0.31622776601683794,0.6893478954004834,0.939780205918242,-0.5087301453674675,0.2504323105177586
2,7,0.8571428571428571,0.7999999999999999,0.18257418583505539,0.6158449772197832,0.9094052710094164,-0.6174258141649446,0.2935602937896332
2,8,1.0,0.816496580927726,0.816496580927726,0.5617166079504851,0.9870136203431924,0.0,0.42529701239270734
3,1,0.0,0.7359800721939873,0.7105597124064275,0.8727980423832251,0.8618199804201745,-0.025420359787559854,-0.010978061963050623
3,2,0.1111111111111111,0.6192231606984032,0.7047274841194893,0.6975470034363027,0.9024401350012378,0.08550432342108605,0.20489313156493505
3,3,0.2222222222222222,0.4140043409440133,0.5144957554275265,0.4717330625367364,0.7517350679978296,0.10049141448351318,0.2800020054610932
3,4,0.3333333333333333,0.7060180864974626,0.5929994533288809,0.7686410014016771,0.8771304820830759,-0.11301863316858163,0.10848948068139874
3,5,0.4444444444444444,0.7171371656006362,0.6831300510639733,0.6954417409960194,0.9684865264232512,-0.03400711453666294,0.27304478542723176
3,6,0.5555555555555556,0.9486832980505138,0.9486832980505138,0.9773532340731885,0.9526894147836348,0.0,-0.024663819289553746
3,7,0.6666666666666666,0.9486832980505137,0.7999999999999999,0.9835239435376321,0.997216132515006,-0.14868329805051372,0.013692188977373898
3,8,0.7777777777777778,0.9128709291752769,0.6666666666666669,0.668546854287559,0.9690012828481175,-0.24620426250861005,0.3004544285605585
3,9,0.8888888888888888,,,,0.9999999999999998,,
4,1,0.0,0.7547169811320755,0.7223460919122202,0.8826223376543456,0.9235988081535492,-0.032370889219855314,0.04097647049920361
4,2,0.1111111111111111,0.9035253315161441,0.8440722199302099,0.9412476143206422,0.9915216466464057,-0.05945311158593425,0.05027403232576355
4,3,0.2222222222222222,0.7789043068258894,0.7640931774583409,0.8476358059529967,0.9814065811493768,-0.01481112936754847,0.13377077519638014
4,4,0.3333333333333333,0.9566222088265398,0.9296696802013682,0.9688434400894108,0.9875544552736566,-0.026952528625171612,0.018711015184245783
4,5,0.4444444444444444,0.9092412093166348,0.9092412093166348,0.9798424704629245,0.9903932153502333,0.0,0.010550744887308783
4,6,0.5555555555555556,0.9759000729485332,0.9047619047619049,0.9571040071781859,0.9915852903327553,-0.07113816818662833,0.03448128315456944
4,7,0.6666666666666666,0.9230769230769231,0.6445033866354897,0.9126650414044967,0.9809340740207073,-0.27857353644143346,0.06826903261621065
4,8,0.7777777777777778,0.9999999999999999,0.9999999999999999,0.9902406794964053,0.9971544002066033,0.0,0.006913720710198024
4,9,0.8888888888888888,0.7745966692414834,0.7071067811865477,0.34082771948352697,0.9945752479630274,-0.06748988805493572,0.6537475284795005
4,10,1.0,1.0,1.0,0.9953898031628831,0.9998806481446557,0.0,0.004490844981772657
5,1,0.0,0.6507383579882046,0.5002443195845779,0.7017324296344758,0.8644166561270343,-0.15049403840362663,0.16268422649255854
5,2,0.1111111111111111,0.45923114679577626,0.3209833376209784,0.6036043226829395,0.6764672732024014,-0.13824780917479784,0.0728629505194619
5,3,0.2222222222222222,0.4146341463414634,0.44233918732073285,0.6198116892287187,0.743155521970724,0.027705040979269457,0.12334383274200533
5,4,0.3333333333333333,0.540295467239169,0.49322002520781055,0.3835891729598471,0.8388279138574841,-0.04707544203135844,0.455238740897637
5,5,0.4444444444444444,0.5929994533288809,0.4999999999999999,0.6348330904115043,0.7631035540183275,-0.09299945332888104,0.12827046360682326
5,6,0.5555555555555556,0.5855400437691199,0.7142857142857143,0.7782086685458882,0.8745846302779896,0.12874567051659436,0.09637596173210139
5,7,0.6666666666666666,0.5,0.6900655593423541,0.3065685352331553,0.9772464810088621,0.19006555934235414,0.6706779457757068
5,8,0.7777777777777778,0.7999999999999999,0.7999999999999999,0.9299390912136689,0.9745091062770352,0.0,0.04457001506336633
