feature,impact_Success_Placement,impact_Judge_Appeal_Avg_Score,impact_Fan_Appeal_Avg_Share,feature_clean
age,-0.12092300494487081,-0.5589463233176396,-0.02320353004303573,age
celebrity_homecountry/region_Australia,-0.00015270312394957615,-0.0007626235107528333,2.0088021303382673e-06,celebrity_homecountry/region_Australia
celebrity_homecountry/region_Brazil,0.0003213529408051171,0.0022439616451762788,0.0003240844211936442,celebrity_homecountry/region_Brazil
celebrity_homecountry/region_Canada,-0.00016749136128199583,-0.0001112994231374101,0.00042447863615089097,celebrity_homecountry/region_Canada
celebrity_homecountry/region_Chile,-2.5380449325912663e-05,-0.0,-0.0,celebrity_homecountry/region_Chile
celebrity_homecountry/region_Croatia,-0.0,-0.0,-0.0,celebrity_homecountry/region_Croatia
celebrity_homecountry/region_Cuba,-0.0,-0.0,-0.0,celebrity_homecountry/region_Cuba
celebrity_homecountry/region_Czechoslovakia,-0.00016908361210596053,-0.0,-0.0,celebrity_homecountry/region_Czechoslovakia
celebrity_homecountry/region_England,-0.00029698211741536985,-0.005971864275567318,5.20369037188474e-05,celebrity_homecountry/region_England
celebrity_homecountry/region_France,8.473373652093199e-06,0.0013004374695659935,9.195047942549667e-06,celebrity_homecountry/region_France
celebrity_homecountry/region_Germany,-0.0,-0.0,-0.0,celebrity_homecountry/region_Germany
celebrity_homecountry/region_Ireland,-0.0,-0.0,-0.0,celebrity_homecountry/region_Ireland
celebrity_homecountry/region_Italy,-0.0008583952690711419,-0.002729053504765098,-0.0,celebrity_homecountry/region_Italy
celebrity_homecountry/region_Mexico,-0.00013613640555483456,-0.0007706580570312941,-0.0,celebrity_homecountry/region_Mexico
celebrity_homecountry/region_New Zealand,1.883593312624118e-05,-0.0,6.263376403101128e-06,celebrity_homecountry/region_New Zealand
celebrity_homecountry/region_Philippines,-0.0,-0.0,-0.0,celebrity_homecountry/region_Philippines
celebrity_homecountry/region_Poland,0.00014626034547523316,0.00011291298739263504,5.178258615773166e-07,celebrity_homecountry/region_Poland
celebrity_homecountry/region_Russia,-0.00022758408387704295,-0.0002646320912224401,5.018947416975114e-06,celebrity_homecountry/region_Russia
celebrity_homecountry/region_South Africa,-0.00015014425431583473,-0.0001865605653104599,-1.6528681478002526e-05,celebrity_homecountry/region_South Africa
celebrity_homecountry/region_South Korea,0.00013279986474264098,-0.0,0.00021817278162422843,celebrity_homecountry/region_South Korea
celebrity_homecountry/region_Spain,-0.0,-5.843958159202617e-05,-0.0,celebrity_homecountry/region_Spain
celebrity_homecountry/region_Taiwan China,-0.00014181182973439492,-0.0,-0.0,celebrity_homecountry/region_Taiwan China
celebrity_homecountry/region_United States,0.0011945010822561268,-0.0019270046565439587,-5.773075054144204e-05,celebrity_homecountry/region_United States
celebrity_homecountry/region_Venezuela,-0.0,-0.0,-0.0,celebrity_homecountry/region_Venezuela
celebrity_homecountry/region_Wales,-0.0,-0.0,-0.0,celebrity_homecountry/region_Wales
celebrity_homecountry/region_Yugoslavia,-0.00011644551361720012,-0.002805784009102616,-0.0,celebrity_homecountry/region_Yugoslavia
celebrity_homestate_Alaska,-0.00015019346423251418,-0.0015477869967152095,-1.3308624384841128e-05,celebrity_homestate_Alaska
celebrity_homestate_Arizona,8.539546780919693e-05,-0.0,5.2123599875426814e-05,celebrity_homestate_Arizona
celebrity_homestate_Arkansas,8.46814184940067e-05,-0.0,3.726746974279303e-05,celebrity_homestate_Arkansas
celebrity_homestate_California,-0.009835890242192622,-0.02896918503793016,0.00031823947400896565,celebrity_homestate_California
celebrity_homestate_Colorado,-0.0001767813019201478,-0.000420062474148182,-7.352484026699507e-06,celebrity_homestate_Colorado
celebrity_homestate_Connecticut,6.8259830674722e-05,0.0003816717328518065,0.0008654338096519355,celebrity_homestate_Connecticut
celebrity_homestate_Delaware,-0.0,-0.0,-0.0,celebrity_homestate_Delaware
celebrity_homestate_Florida,0.0006854208749862558,0.001715115465573756,0.0003071971904878922,celebrity_homestate_Florida
celebrity_homestate_Georgia,0.002047194710535841,0.00589320704920354,0.0007874352044346818,celebrity_homestate_Georgia
celebrity_homestate_Hawaii,0.0002877954344677855,0.0007434019732769519,0.0021251468875982888,celebrity_homestate_Hawaii
celebrity_homestate_Illinois,0.00045873745374137956,-0.0033580298103833054,-0.00012356968519183092,celebrity_homestate_Illinois
celebrity_homestate_Indiana,-0.000441138719626158,0.0010865622742353505,-6.34198289462458e-06,celebrity_homestate_Indiana
celebrity_homestate_Iowa,7.647704406844748e-05,-0.0006498131303110826,-0.0,celebrity_homestate_Iowa
celebrity_homestate_Kansas,0.0005896567919722984,0.0025569090556121837,4.277065276377809e-05,celebrity_homestate_Kansas
celebrity_homestate_Kentucky,-0.00014639640143151354,-0.0007264563347039832,0.00018189021598334407,celebrity_homestate_Kentucky
celebrity_homestate_Louisiana,0.00048570628357710264,-0.00907874564446385,0.0004963424367281446,celebrity_homestate_Louisiana
celebrity_homestate_Maine,0.0006084303664191679,9.63561446838987e-05,0.0005492861418664143,celebrity_homestate_Maine
