feature,mean_abs_shap,signed_shap,feature_clean
Early Performance (W1-2),0.03648909460340209,0.0011221542143104906,Early Performance (W1-2)
age,0.006355934703021995,0.00021797748242003372,age
partner_clean_Derek Hough,0.004531834212930615,-0.0009944061635405687,Partner: Derek Hough
homestate_clean_Alabama,0.0015569859604696392,-0.00027675762623566443,State: Alabama
homestate_clean_Other_State,0.001254079738352991,-4.6198257873023154e-05,State: Other_State
homestate_clean_Louisiana,0.0008372385352109706,-0.00015035578512116453,State: Louisiana
homestate_clean_Georgia,0.0007893823419655526,-6.945016657346767e-05,State: Georgia
homestate_clean_Illinois,0.0006869832664782754,-5.678729917956969e-05,State: Illinois
homestate_clean_Pennsylvania,0.0006525927878165424,-4.151028283051188e-05,State: Pennsylvania
industry_clean_Athlete,0.0006264847396405484,4.4447946750790795e-06,Industry: Athlete
partner_clean_Sharna Burgess,0.0005985201799559859,-9.184472215577836e-05,Partner: Sharna Burgess
partner_clean_Other_Partner,0.0005900301355396699,7.851794771219357e-06,Partner: Other_Partner
homestate_clean_New York,0.0005704534508287824,1.5963092411686027e-05,State: New York
industry_clean_Actor/Actress,0.0005386653483844183,3.6494670353982325e-06,Industry: Actor/Actress
homestate_clean_California,0.0005167918120644511,1.5074268914402295e-05,State: California
homestate_clean_Texas,0.00036808067646401616,-1.3913886636829957e-05,State: Texas
industry_clean_TV Personality,0.0003394493248085196,9.687676653252939e-06,Industry: TV Personality
partner_clean_Valentin Chmerkovskiy,0.00028582765938987034,2.1831703204682694e-05,Partner: Valentin Chmerkovskiy
partner_clean_Artem Chigvintsev,0.0002729639340018247,-3.924033203748896e-05,Partner: Artem Chigvintsev
industry_clean_Singer/Rapper,0.00025293321377594676,-4.614002844870362e-06,Industry: Singer/Rapper
homestate_clean_Florida,0.00018680888278832996,-8.118882921152647e-07,State: Florida
partner_clean_Maksim Chmerkoskiy,0.00018020669189943697,-2.3529634505848603e-05,Partner: Maksim Chmerkoskiy
industry_clean_Model,0.00017417510228058788,5.9211175600092036e-05,Industry: Model
industry_clean_Other,0.0001724570529421555,1.026038894392449e-05,Industry: Other
partner_clean_Kym Johnson,0.0001675341251808327,-2.6872526877081558e-05,Partner: Kym Johnson
partner_clean_Cheryl Burke,0.00014615739309836043,-1.0948066717600233e-05,Partner: Cheryl Burke
homestate_clean_Unknown,0.00014025976462436242,5.633929959315204e-05,State: Unknown
homestate_clean_Ohio,0.00013945083209064072,3.399787695895453e-05,State: Ohio
homecountry_clean_United States,0.00013794827981296952,4.676903763547314e-05,Country: United States
homecountry_clean_Canada,0.00013385097237250603,-1.962569405733722e-05,Country: Canada
partner_clean_Peta Murgatroyd,0.00011193565105707971,-1.9216215149964695e-05,Partner: Peta Murgatroyd
homestate_clean_New Jersey,0.00010766513075430747,-7.493170675057716e-06,State: New Jersey
partner_clean_Karina Smirnoff,9.695994668650469e-05,-2.01290652086672e-05,Partner: Karina Smirnoff
homecountry_clean_Other_Country,6.84822092812395e-05,-1.0110626404436095e-06,Country: Other_Country
partner_clean_Witney Carson,6.247675291658867e-05,1.2064956869948231e-05,Partner: Witney Carson
partner_clean_Gleb Savchenko,5.78603229796156e-05,1.5644949581438954e-05,Partner: Gleb Savchenko
partner_clean_Tony Dovolani,5.6646677307932585e-05,1.3111826147220777e-05,Partner: Tony Dovolani
homecountry_clean_England,5.59399430439305e-05,-1.3459262425180705e-05,Country: England
partner_clean_Mark Ballas,5.583574582980729e-05,1.2606506567894105e-05,Partner: Mark Ballas
industry_clean_Comedian,4.510219016080426e-05,-8.960798509105723e-06,Industry: Comedian
homestate_clean_Kentucky,2.2792201805490455e-05,-8.873813821742673e-06,State: Kentucky
partner_clean_Emma Slater,2.0656860001714967e-05,-1.094624492084155e-07,Partner: Emma Slater
partner_clean_Sasha Farber,1.119917364835898e-05,8.540071940489883e-08,Partner: Sasha Farber
homestate_clean_Michigan,5.7926816123879795e-06,1.3667364337309557e-06,State: Michigan
homecountry_clean_Chile,2.1402802619734335e-06,1.6954841162166042e-06,Country: Chile
homecountry_clean_Australia,2.0714605227509105e-06,-9.663704452936168e-07,Country: Australia
homestate_clean_Iowa,1.5897781926105088e-06,-1.370048544961735e-06,State: Iowa
homecountry_clean_Czechoslovakia,1.0754074970458326e-06,-8.608898995093792e-07,Country: Czechoslovakia
homecountry_clean_Italy,6.179563326792164e-07,-5.014334050148242e-07,Country: Italy
homecountry_clean_Brazil,0.0,0.0,Country: Brazil
homecountry_clean_Croatia,0.0,0.0,Country: Croatia
homecountry_clean_Argentina,0.0,0.0,Country: Argentina
homecountry_clean_France,0.0,0.0,Country: France
homecountry_clean_Ireland,0.0,0.0,Country: Ireland
homecountry_clean_Mexico,0.0,0.0,Country: Mexico
homecountry_clean_Russia,0.0,0.0,Country: Russia
homecountry_clean_Taiwan China,0.0,0.0,Country: Taiwan China
missing_fan_share,0.0,0.0,missing_fan_share
