feature,mean_abs_shap,signed_shap,feature_clean
judge_mean_w1_3,0.87528715956337,0.87528715956337,Avg Judge (W1-3)
judge_w1,0.0005642208210203914,-0.0005642208210203914,Judge Score (W1)
partner_clean_Other_Partner,0.0005564275230766921,0.0005564275230766921,Partner: Other
age,0.00037412558446409,-0.00037412558446409,Age
judge_slope_w1_3,0.0003378098688031566,-0.0003378098688031566,judge_slope_w1_3
state_clean_Other_State,0.0003204227924038565,0.0003204227924038565,State: Other
fan_slope_w1_3,0.00026367962506419263,0.00026367962506419263,fan_slope_w1_3
state_clean_New York,0.00018703203349370646,-0.00018703203349370646,State: New York
fan_mean_w1_3,0.00015672812184698326,-0.00015672812184698326,Avg Fan (W1-3)
fan_w1,0.00015230988322482097,-0.00015230988322482097,Fan Share (W1)
industry_clean_Singer/Rapper,0.00010836902683983082,0.00010836902683983082,Industry: Singer/Rapper
state_clean_California,9.949733992793395e-05,9.949733992793395e-05,State: California
industry_clean_Comedian,6.98658550845427e-05,-6.98658550845427e-05,Industry: Comedian
industry_clean_TV Personality,6.269966665357543e-05,-6.269966665357543e-05,Industry: TV Personality
industry_clean_Athlete,6.087018277715165e-05,-6.087018277715165e-05,Industry: Athlete
industry_clean_Other,4.348605649632931e-05,-4.348605649632931e-05,Industry: Other
partner_clean_Mark Ballas,4.1409740258271e-05,-4.1409740258271e-05,Partner: Mark Ballas
partner_clean_Emma Slater,3.984854647300749e-05,-3.984854647300749e-05,Partner: Emma Slater
partner_clean_Tony Dovolani,3.140375033956437e-05,3.140375033956437e-05,Partner: Tony Dovolani
partner_clean_Peta Murgatroyd,2.6513799999223315e-05,-2.6513799999223315e-05,Partner: Peta Murgatroyd
state_clean_Unknown,2.4830966772633365e-05,-2.4830966772633365e-05,State: Unknown
state_clean_Pennsylvania,2.223336841998951e-05,2.223336841998951e-05,State: Pennsylvania
state_clean_Florida,2.0542047852151265e-05,-2.0542047852151265e-05,State: Florida
state_clean_Ohio,1.9688883296556688e-05,-1.9688883296556688e-05,State: Ohio
country_clean_United States,1.9644724955216623e-05,1.9644724955216623e-05,Country: United States
country_clean_Other_Country,1.7019129383039592e-05,1.7019129383039592e-05,Country: Other_Country
partner_clean_Karina Smirnoff,1.4899577376015304e-05,-1.4899577376015304e-05,Partner: Karina Smirnoff
partner_clean_Cheryl Burke,1.066140822149378e-05,-1.066140822149378e-05,Partner: Cheryl Burke
partner_clean_Derek Hough,9.543160711698164e-06,9.543160711698164e-06,Partner: Derek Hough
state_clean_Maryland,9.419171844832649e-06,9.419171844832649e-06,State: Maryland
partner_clean_Sharna Burgess,9.251556706336471e-06,9.251556706336471e-06,Partner: Sharna Burgess
state_clean_Texas,9.16935108887797e-06,-9.16935108887797e-06,State: Texas
state_clean_Virginia,7.927076363892512e-06,-7.927076363892512e-06,State: Virginia
partner_clean_Witney Carson,7.369348784393744e-06,-7.369348784393744e-06,Partner: Witney Carson
partner_clean_Gleb Savchenko,6.693913699826797e-06,-6.693913699826797e-06,Partner: Gleb Savchenko
state_clean_Illinois,6.670744467668291e-06,6.670744467668291e-06,State: Illinois
country_clean_Mexico,5.978361710781372e-06,-5.978361710781372e-06,Country: Mexico
partner_clean_Maksim Chmerkoskiy,5.923898805403347e-06,5.923898805403347e-06,Partner: Maksim Chmerkoskiy
state_clean_New Jersey,4.877201686780526e-06,-4.877201686780526e-06,State: New Jersey
state_clean_Kentucky,4.453221491275175e-06,-4.453221491275175e-06,State: Kentucky
partner_clean_Valentin Chmerkovskiy,4.383853385059082e-06,4.383853385059082e-06,Partner: Valentin Chmerkovskiy
state_clean_Louisiana,4.1739472797288024e-06,-4.1739472797288024e-06,State: Louisiana
state_clean_Connecticut,3.880661356881673e-06,3.880661356881673e-06,State: Connecticut
country_clean_Canada,3.0394614349796876e-06,-3.0394614349796876e-06,Country: Canada
partner_clean_Kym Johnson,2.708127846534181e-06,-2.708127846534181e-06,Partner: Kym Johnson
state_clean_Michigan,2.676680708010358e-06,2.676680708010358e-06,State: Michigan
state_clean_Georgia,2.4479833424090064e-06,2.4479833424090064e-06,State: Georgia
state_clean_Washington,2.3340943416457283e-06,-2.3340943416457283e-06,State: Washington
state_clean_Iowa,2.0504945975420925e-06,2.0504945975420925e-06,State: Iowa
industry_clean_Model,1.8459174126236348e-06,-1.8459174126236348e-06,Industry: Model
country_clean_France,1.6069694522440166e-06,-1.6069694522440166e-06,Country: France
country_clean_Italy,1.2183158527904661e-06,-1.2183158527904661e-06,Country: Italy
partner_clean_Sasha Farber,1.0881161598969449e-06,-1.0881161598969449e-06,Partner: Sasha Farber
country_clean_England,4.7366027161899463e-07,-4.7366027161899463e-07,Country: England
state_clean_Massachusetts,6.836965160671174e-21,-6.836965160671174e-21,State: Massachusetts
country_clean_Brazil,0.0,-0.0,Country: Brazil
country_clean_Czechoslovakia,0.0,-0.0,Country: Czechoslovakia
country_clean_Chile,0.0,-0.0,Country: Chile
