feature,importance
early_score,0.15248510177270302
age,0.051596712125396245
industry_TV Personality,0.011971419391413643
partner_Other_Partner,0.009947148837566037
industry_Singer/Rapper,0.007608552864578556
partner_Cheryl Burke,0.007395778336628319
industry_Actor/Actress,0.0036375894353822026
partner_Tony Dovolani,0.0015485631705136312
partner_Mark Ballas,0.0006755955536257106
industry_Athlete,0.0005171635921657719
industry_Other,0.000276411037234093
partner_Maksim Chmerkoskiy,0.0
partner_Valentin Chmerkovskiy,0.0
partner_Sharna Burgess,0.0
partner_Sasha Farber,0.0
partner_Peta Murgatroyd,0.0
partner_Emma Slater,0.0
partner_Kym Johnson,0.0
partner_Karina Smirnoff,0.0
partner_Gleb Savchenko,0.0
partner_Derek Hough,0.0
partner_Artem Chigvintsev,0.0
industry_Model,0.0
industry_Comedian,0.0
partner_Witney Carson,0.0
