feature,mean_abs_shap
Judge Mean (Weeks 1-3),0.09460051
Fan Mean (Weeks 1-3),0.05955365
Celebrity Age During Season,0.050371636
Fan Score (Week 1),0.028859654
Fan Improvement (Weeks 1-3),0.023259208
Judge Score (Week 1),0.016538056
Celebrity Industry: Model,0.0060813567
Ballroom Partner: Derek Hough,0.0051146885
Judge Improvement (Weeks 1-3),0.005019056
Ballroom Partner: Other Partner,0.0048574563
Ballroom Partner: Cheryl Burke,0.003916308
Celebrity Homestate: Pennsylvania,0.0017735921
Celebrity Industry: Singer/Rapper,0.0015141107
Celebrity Industry: Comedian,0.0013108517
Celebrity Home Country/Region: Other,0.00077131425
Celebrity Homestate: Ohio,0.00060606474
Ballroom Partner: Mark Ballas,0.0004610999
Celebrity Industry: Radio Personality,0.00039792556
Celebrity Homestate: California,0.00027198702
Celebrity Homestate: Texas,0.00025582104
Ballroom Partner: Karina Smirnoff,0.0002192765
Celebrity Homestate: Illinois,0.0001913918
Ballroom Partner: Sharna Burgess,0.00018079455
Celebrity Industry: Other,0.00017040086
Ballroom Partner: Artem Chigvintsev,9.091559e-05
Celebrity Industry: Athlete,8.554339e-05
Celebrity Homestate: Georgia,8.045866e-05
Ballroom Partner: Tony Dovolani,5.3282125e-05
Celebrity Homestate: New York,3.7435093e-05
Ballroom Partner: Maksim Chmerkoskiy,2.2951377e-05
Celebrity Home Country/Region: Italy,2.2192033e-05
Ballroom Partner: Emma Slater,1.8863242e-05
Celebrity Homestate: Unknown,4.2099146e-06
Ballroom Partner: Kym Johnson,0.0
Ballroom Partner: Peta Murgatroyd,0.0
Ballroom Partner: Sasha Farber,0.0
Ballroom Partner: Gleb Savchenko,0.0
Ballroom Partner: Valentin Chmerkovskiy,0.0
Celebrity Homestate: Other,0.0
Celebrity Home Country/Region: United States,0.0
Celebrity Home Country/Region: England,0.0
Celebrity Home Country/Region: Canada,0.0
Celebrity Home Country/Region: Australia,0.0
Celebrity Homestate: Michigan,0.0
Celebrity Homestate: Florida,0.0
Celebrity Industry: TV Personality,0.0
Celebrity Industry: Social Media Personality,0.0
Celebrity Industry: Racing Driver,0.0
Celebrity Industry: Entrepreneur,0.0
Celebrity Industry: Actor/Actress,0.0
Ballroom Partner: Witney Carson,0.0
