season,alpha,s0_entropy,mean_abs_rank_diff,mean_sq_rank_diff,weekly_elim_match_rate,finals_order_match,placement_match_rate,elim_week_mae,objective,mean_abs_rank_diff_mean,mean_abs_rank_diff_std,mean_sq_rank_diff_mean,mean_sq_rank_diff_std,weekly_elim_match_rate_mean,weekly_elim_match_rate_std,finals_order_match_mean,finals_order_match_std,placement_match_rate_mean,placement_match_rate_std,elim_week_mae_mean,elim_week_mae_std,alpha_p10,alpha_p50,alpha_p90,s0_entropy_p10,s0_entropy_p50,s0_entropy_p90,mean_sq_rank_diff_p10,mean_sq_rank_diff_p50,mean_sq_rank_diff_p90,weekly_elim_match_rate_p10,weekly_elim_match_rate_p50,weekly_elim_match_rate_p90
1,0.08333333333333331,1.7664968513408987,0.0,0.0,1.0,1.0,1.0,0.0,-0.03532993702681798,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.08333333333333331,0.08333333333333331,0.1825,1.7511654780783286,1.7593064864090682,1.7664002561610341,0.0,0.0,0.0,1.0,1.0,1.0
2,0.08333333333333331,2.236964004195353,0.0,0.0,1.0,1.0,1.0,0.0,-0.04473722944229749,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.08333333333333331,0.15416666666666665,0.22499999999999998,2.1604954251717547,2.192584998177159,2.225540321857976,0.0,0.0,0.0,1.0,1.0,1.0
3,0.22499999999999998,2.3831035237631664,0.18181818181818182,0.18181818181818182,1.0,0.0,0.8181818181818182,0.0,0.1341561301896329,0.18181818181818182,0.0,0.18181818181818182,0.0,1.0,0.0,0.0,0.0,0.8181818181818182,0.0,0.0,0.0,0.12583333333333332,0.22499999999999998,0.22499999999999998,2.375475986588984,2.3793323591885676,2.3822779759235857,0.18181818181818182,0.18181818181818182,0.18181818181818182,1.0,1.0,1.0
4,0.22499999999999998,2.384392664947142,0.0,0.0,1.0,1.0,1.0,0.0,-0.047671643342822104,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.12583333333333332,0.22499999999999998,0.32416666666666666,2.3705049408520633,2.3792090945131115,2.383142563413439,0.0,0.0,0.0,1.0,1.0,1.0
5,0.08333333333333331,2.4684778023523197,0.0,0.0,1.0,1.0,1.0,0.0,-0.049369556047046396,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.08333333333333331,0.08333333333333331,0.1825,2.4542028166166108,2.458203540078818,2.4665845667761537,0.0,0.0,0.0,1.0,1.0,1.0
6,0.22499999999999998,2.4780990236142175,0.0,0.0,1.0,1.0,1.0,0.0,-0.04956052387392982,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.1575,0.012499999999999983,0.1825,2.4540551055176234,2.466195879502517,2.4766379558953147,0.0,0.0,0.0,1.0,1.0,1.0
7,0.08333333333333331,2.5395648709045617,0.0,0.0,1.0,1.0,1.0,0.0,-0.050790841724057054,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.115,0.08333333333333331,0.1825,2.5291907386874644,2.5325474502941114,2.5381075645806086,0.0,0.0,0.0,1.0,1.0,1.0
8,0.08333333333333331,2.5410592704757855,0.0,0.0,1.0,1.0,1.0,0.0,-0.05082118540951571,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.05833333333333335,0.012499999999999983,0.08333333333333331,2.5310153589239763,2.534578304542145,2.539734390117414,0.0,0.0,0.0,1.0,1.0,1.0
9,0.08333333333333331,2.7448907070315665,0.25,0.25,1.0,0.0,0.75,0.0,0.19517434052180715,0.25,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,-0.05833333333333335,0.012499999999999983,0.1825,2.736063721427552,2.741702166382238,2.744080585850235,0.25,0.25,0.25,1.0,1.0,1.0
10,0.22499999999999998,2.3836519585335267,0.0,0.0,1.0,1.0,1.0,0.0,-0.04766362437137169,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.08333333333333331,0.15416666666666665,0.22499999999999998,2.371365302172522,2.378720811989325,2.3828539765931724,0.0,0.0,0.0,1.0,1.0,1.0
