season,celebrity_name,placement_true,elim_week_true
34,Corey Feldman,13,3
34,Danielle Fishel,8,9
34,Elaine Hendrix,5,12
34,Baron Davis,13,3
34,Jordan Chiles,3,12
34,Andy Richter,7,10
34,Robert Irwin,1,12
34,Hilaria Baldwin,11,5
34,Lauren Jauregui,12,4
34,Scott Hoying,10,7
34,Alix Earle,2,12
34,Jen Affleck,9,8
34,Whitney Leavitt,6,11
34,Dylan Efron,4,12
33,Tori Spelling,12,3
33,Eric Roberts,10,4
33,Reginald VelJohnson,10,4
33,Chandler Kinney,3,10
33,Dwight Howard ,6,8
33,Danny Amendola,5,10
33,Stephen Nedoroscik,4,10
33,Ilona Maher,2,10
33,Anna Delvey,12,3
33,Brooks Nader,9,5
33,Phaedra Parks,8,6
33,Jenn Tran,7,7
33,Joey Graziadei,1,10
32,Jamie Lynn Spears,13,3
32,Mira Sorvino,10,6
32,Barry Williams,7,9
32,Alyson Hannigan,5,12
32,Xochitl Gomez,1,12
32,Adrian Peterson,11,5
32,Matt Walsh,14,2
32,Tyson Beckford,12,4
32,Jason Mraz,2,12
32,Lele Pons,8,8
32,Harry Jowsey,6,10
32,Mauricio Umansky,9,7
32,Charity Lawson,4,12
32,Ariana Madix,3,12
31,Jason Lewis,16,2
31,Cheryl Ladd,14,4
31,Selma Blair,12,6
31,Joseph Baena,11,6
31,Trevor Donovan,6,10
31,Daniel Durant,5,10
31,Wayne Brady,3,11
31,Sam Champion,13,5
31,Jessie James Decker,10,7
31,Jordin Sparks,9,8
31,Heidi D'Amelio,8,9
31,Charli D'Amelio,1,11
31,Teresa Giudice,15,3
31,Vinny Guadagnino,7,9
31,Shangela,4,11
31,Gabby Windey,2,11
30,Martin Kove,15,3
30,Brian Austin Green,13,5
30,Melora Hardin,6,10
30,Matt James,12,5
30,"Mike ""The Miz"" Mizanin",9,8
30,Suni Lee,5,10
30,Iman Shumpert,1,11
30,Cody Rigsby,3,11
30,Melanie C,11,6
30,Jimmie Allen,7,9
30,Olivia Jade,8,9
30,JoJo Siwa,2,11
30,Christine Chiu,14,4
30,Kenya Moore,10,7
30,Amanda Kloots,4,11
29,Anne Heche,13,5
29,Jesse Metcalfe,12,6
29,Chrishell Stause,8,9
29,Skai Jackson,5,11
29,Justina Machado,4,12
29,Charles Oakley,15,3
29,Veron Davis,11,7
29,Johnny Weir,6,11
29,Nev Schulman,2,12
29,AJ McLean,7,10
29,Nelly,3,12
29,Kaitlyn Bristowe,1,12
29,Carole Baskin,14,4
29,Monica Aldama,10,8
29,Jeannie Mai,9,8
28,Kate Flannery,7,9
28,James Van Der Beek,5,11
28,Kel Mitchell,2,12
28,Ray Lewis,11,3
28,Lamar Odom,10,5
28,Sailor Brinkley-Cook,9,7
28,Sean Spicer,6,10
28,Mary Wilson,12,3
28,Lauren Alaina,4,12
28,Ally Brooke,3,12
28,Karamo Brown,8,8
28,Hannah Brown,1,12
27,Juan Pablo Di Pace,5,9
27,Evanna Lynch,3,10
27,Nancy McKeon,11,4
27,John Schneider,8,8
27,Milo Manheim,2,10
27,Danelle Umstead,12,3
27,Mary Lou Retton,9,7
27,DeMarcus Ware,7,8
27,Nikki Glaser,13,2
27,Bobby Bones,1,10
27,Tinashe,10,5
27,Alexis Ren,4,10
27,Joe Amabile,6,9
26,Jamie Anderson,10,2
26,Johnny Damon,9,2
26,Kareem Abdul-Jabbar,8,3
26,Arike Ogunbowale,7,3
26,Jennie Finch Daigle,6,4
26,Chris Mazdzer,5,4
26,Mirai Nagasu,4,4
26,Tonya Harding,3,5
26,Josh Norman,2,5
26,Adam Rippon,1,5
25,Sasha Pieterse,10,6
25,Frankie Muniz,3,11
25,Jordan Fisher,1,11
25,Derek Fisher,11,5
25,Nikki Bella,8,8
25,Terrell Owens,6,9
25,Victoria Arlen,5,10
25,Barbara Corcoran,13,3
25,Lindsey Stirling,2,11
25,Debbie Gibson,12,3
25,Nick Lachey,9,7
25,Drew Scott,4,11
25,Vanessa Lachey,7,8
24,Charo,11,4
24,Mr. T,10,5
24,Heather Morris,8,7
24,Nancy Kerrigan,7,8
24,Bonner Bolton,5,9
24,Simone Biles,4,10
24,David Ross,2,11
24,Rashad Jennings,1,11
24,Chris Kattan,12,3
24,Erika Jayne,9,6
24,Normani,3,11
24,Nick Viall,6,8
23,Jake T. Austin,13,3
23,Maureen McCormick,8,8
23,Marilu Henner,6,10
23,Ryan Lochte,7,9
23,Calvin Johnson Jr.,3,12
23,Laurie Hernandez,1,12
23,Amber Rose,9,7
23,Rick Perry,12,4
23,James Hinchcliffe,2,12
23,Babyface,11,5
23,Vanilla Ice,10,5
23,Jana Kramer,4,12
23,Terra Jole,5,11
22,Mischa Barton,11,4
22,Kim Fields,8,8
22,Jodie Sweetin,6,9
22,Doug Flutie,9,7
22,Von Miller,7,8
22,Antonio Brown,5,10
22,Paige VanZant,2,11
22,Geraldo Rivera,12,3
22,Nyle DiMarco,1,11
22,Ginger Zee,3,11
