season,week,celebrity_name,s_share
34,1,Corey Feldman,0.033091410930370734
34,1,Danielle Fishel,0.042681695219698355
34,1,Elaine Hendrix,0.09642015714398687
34,1,Baron Davis,0.03747448266034357
34,1,Jordan Chiles,0.07666434719607364
34,1,Andy Richter,0.07710635382839923
34,1,Robert Irwin,0.15592138869924982
34,1,Hilaria Baldwin,0.05353305081417483
34,1,Lauren Jauregui,0.0389499604526601
34,1,Scott Hoying,0.031965733029648585
34,1,Alix Earle,0.09593694768614387
34,1,Jen Affleck,0.061217261746510494
34,1,Whitney Leavitt,0.08579208639759439
34,1,Dylan Efron,0.11324512419514542
34,2,Corey Feldman,0.02740713167265172
34,2,Danielle Fishel,0.04058801299566857
34,2,Elaine Hendrix,0.09824894144298975
34,2,Baron Davis,0.03442625801341003
34,2,Jordan Chiles,0.08086404168672047
34,2,Andy Richter,0.06610593095425915
34,2,Robert Irwin,0.16446280620352333
34,2,Hilaria Baldwin,0.0545484028495432
34,2,Lauren Jauregui,0.03968871755732066
34,2,Scott Hoying,0.02936559746109584
34,2,Alix Earle,0.09775656703566099
34,2,Jen Affleck,0.06457076055387363
34,2,Whitney Leavitt,0.09049180100761493
34,2,Dylan Efron,0.11147503056566803
34,3,Corey Feldman,0.02231824978694418
34,3,Danielle Fishel,0.040757987257600846
34,3,Elaine Hendrix,0.0986603878301086
34,3,Baron Davis,0.028034083783373718
34,3,Jordan Chiles,0.08367062437388616
34,3,Andy Richter,0.0644247492449011
34,3,Robert Irwin,0.1668079879166054
34,3,Hilaria Baldwin,0.055326243869003096
34,3,Lauren Jauregui,0.03867936869766367
34,3,Scott Hoying,0.02978434054197376
34,3,Alix Earle,0.10014500635624018
34,3,Jen Affleck,0.06355978538276309
34,3,Whitney Leavitt,0.09363253843232025
34,3,Dylan Efron,0.11419864652661603
34,4,Corey Feldman,0.0
34,4,Danielle Fishel,0.04444049192683552
34,4,Elaine Hendrix,0.10537274544620083
34,4,Baron Davis,0.0
34,4,Jordan Chiles,0.09001626506203593
34,4,Andy Richter,0.06546052193522546
34,4,Robert Irwin,0.17107197121848436
34,4,Hilaria Baldwin,0.06025793267546506
34,4,Lauren Jauregui,0.03302271288869811
34,4,Scott Hoying,0.033592200452186735
34,4,Alix Earle,0.10689368440838597
34,4,Jen Affleck,0.06859323602202369
34,4,Whitney Leavitt,0.10142027362924486
34,4,Dylan Efron,0.11985796433521348
34,5,Corey Feldman,0.0
34,5,Danielle Fishel,0.04687304753062499
34,5,Elaine Hendrix,0.10793837031359325
34,5,Baron Davis,0.0
34,5,Jordan Chiles,0.09414577759175698
34,5,Andy Richter,0.0649750171245891
34,5,Robert Irwin,0.18048599673075097
34,5,Hilaria Baldwin,0.04949993586775289
34,5,Lauren Jauregui,0.0
34,5,Scott Hoying,0.0364468952309822
34,5,Alix Earle,0.11394372352450403
34,5,Jen Affleck,0.07073585762947428
34,5,Whitney Leavitt,0.10654133275862307
34,5,Dylan Efron,0.12841404569734824
