season,alpha,s0_entropy,mean_abs_rank_diff,mean_sq_rank_diff,weekly_elim_match_rate,finals_order_match,placement_match_rate,elim_week_mae,objective,mean_abs_rank_diff_mean,mean_abs_rank_diff_std,mean_sq_rank_diff_mean,mean_sq_rank_diff_std,weekly_elim_match_rate_mean,weekly_elim_match_rate_std,finals_order_match_mean,finals_order_match_std,placement_match_rate_mean,placement_match_rate_std,elim_week_mae_mean,elim_week_mae_std,alpha_p10,alpha_p50,alpha_p90,s0_entropy_p10,s0_entropy_p50,s0_entropy_p90,mean_sq_rank_diff_p10,mean_sq_rank_diff_p50,mean_sq_rank_diff_p90,weekly_elim_match_rate_p10,weekly_elim_match_rate_p50,weekly_elim_match_rate_p90
1,0.012499999999999983,1.7833523640635158,0.0,0.0,1.0,1.0,1.0,0.0,-0.03566704728127032,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.022916666666666682,0.012499999999999983,0.11874999999999997,1.7673447459483609,1.773018975290866,1.781135500164821,0.0,0.0,0.0,1.0,1.0,1.0
2,0.08333333333333331,2.2656837369627185,0.0,0.0,1.0,1.0,1.0,0.0,-0.04531367473925437,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.05833333333333335,0.08333333333333331,0.15416666666666665,2.2003321508840785,2.2519457737223423,2.264613547426045,0.0,0.0,0.0,1.0,1.0,1.0
3,0.012499999999999983,2.388279937144989,0.18181818181818182,0.18181818181818182,1.0,0.0,0.8181818181818182,0.0,0.13405258307528203,0.18181818181818185,2.7755575615628914e-17,0.18181818181818185,2.7755575615628914e-17,1.0,0.0,0.0,0.0,0.8181818181818182,0.0,0.0,0.0,-0.09375000000000001,-0.022916666666666682,0.29583333333333334,2.3826476151353373,2.385958451132973,2.3876715003279037,0.18181818181818182,0.18181818181818182,0.18181818181818182,1.0,1.0,1.0
4,0.22499999999999998,2.386401608284978,0.0,0.0,1.0,1.0,1.0,0.0,-0.047727070351969055,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.04791666666666665,0.11874999999999997,0.1895833333333333,2.3740923396014626,2.378734848043451,2.383964605411882,0.0,0.0,0.0,1.0,1.0,1.0
5,0.012499999999999983,2.471920907303263,0.0,0.0,1.0,1.0,1.0,0.0,-0.04943841814606526,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.012499999999999983,0.04791666666666665,0.22499999999999998,2.4598570455616735,2.4648965485265393,2.4702145107161186,0.0,0.0,0.0,1.0,1.0,1.0
6,0.22499999999999998,2.470340739466182,0.0,0.0,1.0,1.0,1.0,0.0,-0.04937762500595276,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.022916666666666682,0.1895833333333333,0.33125,2.4613367319422776,2.4677116904077483,2.470235072880649,0.0,0.0,0.0,1.0,1.0,1.0
7,0.08333333333333331,2.5427933189186094,0.0,0.0,1.0,1.0,1.0,0.0,-0.05084996485158926,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.05833333333333335,-0.05833333333333335,0.15416666666666665,2.5344190187034146,2.5392547243360113,2.5418777546686195,0.0,0.0,0.0,1.0,1.0,1.0
8,0.22499999999999998,2.550692445733654,0.0,0.0,1.0,1.0,1.0,0.0,-0.050946324020809244,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.05833333333333335,0.08333333333333331,0.22499999999999998,2.530403785283063,2.538144600087482,2.5474145494601155,0.0,0.0,0.0,1.0,1.0,1.0
9,0.012499999999999983,2.7434352491508576,0.25,0.25,1.0,0.0,0.75,0.0,0.19514758682922823,0.25,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.012499999999999983,0.11874999999999997,0.22499999999999998,2.7304448015620464,2.739743434240677,2.7434190082068857,0.25,0.25,0.25,1.0,1.0,1.0
10,0.29583333333333334,2.385617486908107,0.0,0.0,1.0,1.0,1.0,0.0,-0.04767448769171733,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.08333333333333331,0.22499999999999998,0.26041666666666663,2.3766672972921334,2.3791325440968594,2.3834386023969407,0.0,0.0,0.0,1.0,1.0,1.0
