season,weeks,matched,match_rate,kendall_tau,mean_abs_rank_diff
1,6,4,0.6666666666666666,0.8666666666666667,0.3333333333333333
2,8,7,0.875,0.9555555555555556,0.2
3,10,10,1.0,0.9272727272727272,0.36363636363636365
4,10,10,1.0,0.7454545454545455,1.0909090909090908
5,10,10,1.0,0.8484848484848485,0.8333333333333334
6,10,10,1.0,0.8181818181818182,0.8333333333333334
7,10,10,1.0,0.8205128205128205,1.0769230769230769
8,11,11,1.0,0.7692307692307693,1.0769230769230769
9,10,10,1.0,0.8333333333333334,1.25
10,10,10,1.0,0.7454545454545455,1.0909090909090908
11,10,10,1.0,0.7878787878787878,0.8333333333333334
12,10,10,1.0,0.7090909090909091,1.2727272727272727
13,10,10,1.0,0.8181818181818182,1.0
14,10,10,1.0,0.7272727272727273,1.3333333333333333
15,10,10,1.0,0.8461538461538461,0.9230769230769231
16,10,10,1.0,0.6666666666666666,1.6666666666666667
17,11,11,1.0,0.7272727272727273,1.0
18,10,10,1.0,0.696969696969697,1.3333333333333333
19,11,11,1.0,0.7435897435897436,1.2307692307692308
20,10,10,1.0,0.8181818181818182,1.0
21,11,11,1.0,0.6923076923076923,1.5384615384615385
22,10,10,1.0,0.5757575757575758,1.8333333333333333
23,11,11,1.0,0.6153846153846154,1.8461538461538463
24,10,10,1.0,0.8787878787878788,0.6666666666666666
25,10,10,1.0,0.6666666666666666,1.5384615384615385
26,4,4,1.0,0.6444444444444445,1.2
27,9,9,1.0,0.8974358974358975,0.6153846153846154
28,11,10,0.9090909090909091,0.7272727272727273,1.1666666666666667
29,11,9,0.8181818181818182,0.8857142857142857,0.8
30,10,7,0.7,0.8285714285714286,1.0666666666666667
31,10,7,0.7,0.8666666666666667,0.875
32,11,11,1.0,0.8681318681318682,0.8571428571428571
33,9,7,0.7777777777777778,0.6410256410256411,1.6923076923076923
34,11,10,0.9090909090909091,0.8461538461538461,0.9285714285714286
