slice,metric,estimate,ci95_low,ci95_high,n
overall,match_rate,0.9522388059701492,0.9283582089552239,0.9731343283582089,335
overall,top1_acc,0.8301886792452831,0.7849056603773585,0.8754716981132076,265
overall,mean_elim_rank,1.150943396226415,1.1037735849056605,1.2018867924528303,265
overall,median_margin,0.9742799604742308,0.7483252705262324,1.2080644363298778,265
regime:bottom,match_rate,0.8356164383561644,0.7534246575342466,0.9178082191780822,73
regime:bottom,top1_acc,0.75,0.6428571428571429,0.8571428571428571,56
regime:bottom,mean_elim_rank,1.3303571428571428,1.1872767857142856,1.4910714285714286,56
regime:bottom,median_margin,4.107142857142857,3.5357142857142856,4.696428571428571,56
regime:percent,match_rate,0.9959677419354839,0.9879032258064516,1.0,248
regime:percent,top1_acc,0.8592964824120602,0.8090452261306532,0.9045226130653267,199
regime:percent,mean_elim_rank,1.0879396984924623,1.0552763819095476,1.1306532663316582,199
regime:percent,median_margin,0.02605120364658867,0.02046589841944059,0.032119345518814936,199
regime:rank,match_rate,0.7857142857142857,0.5714285714285714,1.0,14
regime:rank,top1_acc,0.7,0.4,1.0,10
regime:rank,mean_elim_rank,1.4,1.0,1.8,10
regime:rank,median_margin,2.3,1.4,3.1,10
