season,week,celebrity_name,s_map
1,1,John O'Hurley,0.04593102
1,1,Kelly Monaco,0.5758813
1,1,Evander Holyfield,0.04624614
1,1,Rachel Hunter,0.0017056826
1,1,Joey McIntyre,0.3288598
1,1,Trista Sutter,0.0013760669
1,2,John O'Hurley,0.18023211
1,2,Kelly Monaco,0.1802287
1,2,Evander Holyfield,0.1802287
1,2,Rachel Hunter,0.18022056
1,2,Joey McIntyre,0.18023276
1,2,Trista Sutter,0.09885714
1,3,John O'Hurley,0.21988155
1,3,Kelly Monaco,0.21990003
1,3,Evander Holyfield,0.12060928
1,3,Rachel Hunter,0.21970005
1,3,Joey McIntyre,0.21990909
1,4,John O'Hurley,0.2818065
1,4,Kelly Monaco,0.28181344
1,4,Rachel Hunter,0.15457354
1,4,Joey McIntyre,0.28180653
1,5,John O'Hurley,0.25641528
1,5,Kelly Monaco,0.42206332
1,5,Joey McIntyre,0.32152146
1,6,John O'Hurley,0.26358056
1,6,Kelly Monaco,0.73641944
2,1,Tatum O'Neal,0.10471633
2,1,Tia Carrere,0.1047312
2,1,George Hamilton,0.10473107
2,1,Lisa Rinna,0.104731105
2,1,Stacy Keibler,0.10472391
2,1,Jerry Rice,0.10473462
2,1,Giselle Fernandez,0.104720734
2,1,Master P,0.10472954
2,1,Drew Lachey,0.1047364
2,1,Kenny Mayne,0.05744514
2,2,Tatum O'Neal,0.06416541
2,2,Tia Carrere,0.11698252
2,2,George Hamilton,0.11698337
2,2,Lisa Rinna,0.11698245
2,2,Stacy Keibler,0.116963215
2,2,Jerry Rice,0.11698649
2,2,Giselle Fernandez,0.116971426
2,2,Master P,0.11698142
2,2,Drew Lachey,0.11698368
2,3,Tia Carrere,0.13247949
2,3,George Hamilton,0.1324803
2,3,Lisa Rinna,0.13248011
2,3,Stacy Keibler,0.13245833
2,3,Jerry Rice,0.13247855
2,3,Giselle Fernandez,0.072665736
2,3,Master P,0.13247855
2,3,Drew Lachey,0.13247898
2,4,Tia Carrere,0.15272672
2,4,George Hamilton,0.1527577
2,4,Lisa Rinna,0.15277003
2,4,Stacy Keibler,0.15250516
2,4,Jerry Rice,0.15277834
2,4,Master P,0.08378738
2,4,Drew Lachey,0.15267466
2,5,Tia Carrere,0.09885895
2,5,George Hamilton,0.1802328
2,5,Lisa Rinna,0.18023266
2,5,Stacy Keibler,0.18021142
2,5,Jerry Rice,0.18023308
2,5,Drew Lachey,0.18023115
2,6,George Hamilton,0.12062432
2,6,Lisa Rinna,0.21991928
2,6,Stacy Keibler,0.21964033
2,6,Jerry Rice,0.21991295
2,6,Drew Lachey,0.21990322
2,7,Lisa Rinna,0.15457803
2,7,Stacy Keibler,0.28179124
2,7,Jerry Rice,0.2818147
2,7,Drew Lachey,0.28181607
2,8,Stacy Keibler,0.002718709
2,8,Jerry Rice,0.8281017
2,8,Drew Lachey,0.16917959
3,1,Harry Hamlin,0.09480009
3,1,Vivica A. Fox,0.09480011
3,1,Monique Coleman,0.09480011
3,1,Joey Lawrence,0.09480011
3,1,Mario Lopez,0.09480034
3,1,Emmitt Smith,0.09480013
3,1,Shanna Moakler,0.094800085
3,1,Willa Ford,0.09480009
3,1,Sara Evans,0.09480013
3,1,Jerry Springer,0.09480011
3,1,Tucker Carlson,0.05199876
3,2,Harry Hamlin,0.104726136
3,2,Vivica A. Fox,0.10472822
3,2,Monique Coleman,0.10472822
3,2,Joey Lawrence,0.10472822
3,2,Mario Lopez,0.104728885
3,2,Emmitt Smith,0.10472822
3,2,Shanna Moakler,0.05744442
3,2,Willa Ford,0.10472823
3,2,Sara Evans,0.104735605
3,2,Jerry Springer,0.10472375
3,3,Harry Hamlin,0.06416439
3,3,Vivica A. Fox,0.116979554
3,3,Monique Coleman,0.116979554
3,3,Joey Lawrence,0.11697891
3,3,Mario Lopez,0.1169798
3,3,Emmitt Smith,0.11698593
3,3,Willa Ford,0.11697512
3,3,Sara Evans,0.116979554
3,3,Jerry Springer,0.116977215
3,4,Vivica A. Fox,0.07266377
3,4,Monique Coleman,0.13247411
3,4,Joey Lawrence,0.13247499
3,4,Mario Lopez,0.13247497
3,4,Emmitt Smith,0.13247672
3,4,Willa Ford,0.13247497
3,4,Sara Evans,0.13248827
3,4,Jerry Springer,0.13247211
3,5,Monique Coleman,0.16402902
3,5,Joey Lawrence,0.164029
3,5,Mario Lopez,0.16402903
3,5,Emmitt Smith,0.16402905
