season,week,celebrity_name,s_mean,s_p50,s_std,s_p10,s_p90
1,1,John O'Hurley,7.002277e-05,4.842905e-05,7.397389e-05,3.8922126e-06,0.000117641925
1,1,Kelly Monaco,0.91182566,0.95999026,0.08819149,0.76655376,0.98141897
1,1,Evander Holyfield,6.870886e-05,5.715676e-05,5.7014837e-05,9.680191e-06,0.000121006975
1,1,Rachel Hunter,0.014821917,0.004351191,0.02029137,0.001230355,0.037610315
1,1,Joey McIntyre,0.073213615,0.024524007,0.085254,0.007651536,0.19813904
1,1,Trista Sutter,3.8795096e-11,7.957459e-12,7.354619e-11,5.509578e-13,7.894486e-11
1,2,John O'Hurley,0.038334604,0.020324204,0.042449933,0.0017641941,0.098983146
1,2,Kelly Monaco,0.672245,0.6515473,0.2265438,0.4288382,0.9619127
1,2,Evander Holyfield,1.6081141e-05,1.1641591e-05,1.4243257e-05,5.078807e-06,2.896915e-05
1,2,Rachel Hunter,0.26868093,0.28943747,0.19916885,0.013209971,0.4586449
1,2,Joey McIntyre,0.020723289,0.01765534,0.011989869,0.0083610695,0.038134728
1,2,Trista Sutter,1.9379092e-16,3.195275e-17,3.357381e-16,2.253994e-19,5.220876e-16
1,3,John O'Hurley,0.40320823,0.42526478,0.19840366,0.16785102,0.6709839
1,3,Kelly Monaco,0.4900461,0.46645778,0.14880903,0.31323066,0.6744202
1,3,Evander Holyfield,6.499953e-06,5.770543e-06,5.190614e-06,2.0169182e-06,1.0766953e-05
1,3,Rachel Hunter,3.140244e-05,3.7289115e-06,5.4930966e-05,1.4211693e-06,9.196888e-05
1,3,Joey McIntyre,0.10670776,0.1144772,0.067325436,0.020843107,0.16536845
1,4,John O'Hurley,0.9975927,0.9997301,0.003920234,0.9935552,0.99999976
1,4,Kelly Monaco,0.0022940047,0.000120632656,0.003882767,1.8743977e-07,0.0061653983
1,4,Rachel Hunter,2.859532e-13,2.0699377e-16,6.2076684e-13,1.5581309e-22,9.309143e-13
1,4,Joey McIntyre,0.00011325659,0.00013144061,9.545343e-05,4.319529e-08,0.00022757702
1,5,John O'Hurley,0.65453136,0.6655905,0.20982371,0.42521888,0.8559513
1,5,Kelly Monaco,0.30346555,0.31574333,0.19953543,0.08763699,0.5574981
1,5,Joey McIntyre,0.04200311,0.042195402,0.026343003,0.0116428025,0.07834909
1,6,John O'Hurley,0.08345599,0.03179177,0.09973463,0.003951636,0.18645462
1,6,Kelly Monaco,0.916544,0.96820825,0.09973462,0.81354535,0.9960484
2,1,Tatum O'Neal,5.4383018e-21,4.267043e-21,3.5338893e-21,1.2701075e-21,1.0552985e-20
2,1,Tia Carrere,1.15555055e-14,2.6721562e-15,2.4463435e-14,4.5009917e-16,2.4005124e-14
2,1,George Hamilton,3.170149e-14,1.16954904e-14,5.99726e-14,1.492859e-15,4.5145423e-14
2,1,Lisa Rinna,1.0,1.0,0.0,1.0,1.0
2,1,Stacy Keibler,9.435275e-18,3.3493574e-19,2.5534599e-17,2.2284226e-21,1.2465613e-17
2,1,Jerry Rice,3.6467267e-16,5.353598e-17,7.1567264e-16,1.926814e-18,1.563334e-15
2,1,Giselle Fernandez,3.883531e-11,3.7128568e-13,1.16179136e-10,1.0266711e-14,3.4670763e-11
2,1,Master P,6.089165e-16,8.321379e-18,1.7694017e-15,2.1764825e-19,5.468203e-16
2,1,Drew Lachey,2.5337905e-14,1.4184976e-14,2.8245118e-14,1.5647703e-16,7.122692e-14
2,1,Kenny Mayne,3.1e-44,7e-45,0.0,0.0,3.4e-44
2,2,Tatum O'Neal,2.8533605e-13,1.4458008e-13,3.2632499e-13,3.5839973e-14,7.2713103e-13
