celebrity_name,pop_score,source,anchor_term,timeframe,geo
AJ McLean,0.0,google_trends_anchor,Barack Obama,all,US
Aaron Carter,0.5765244903735582,google_trends_anchor,Barack Obama,all,US
Adam Carolla,0.2403658507087416,google_trends_anchor,Barack Obama,all,US
Adam Rippon,0.6111111111111112,google_trends_anchor,Barack Obama,all,US
Adrian Peterson,0.6335006130508213,google_trends_anchor,Barack Obama,all,US
Aiden Turner,0.14285714285714285,google_trends_anchor,Barack Obama,all,US
Albert Reed,0.20555555555555557,google_trends_anchor,Barack Obama,all,US
Alek Skarlatos,0.2333333333333333,google_trends_anchor,Barack Obama,all,US
Alexa PenaVega,0.2583333333333333,google_trends_anchor,Barack Obama,all,US
Alexandra Raisman,0.19642857142857142,google_trends_anchor,Barack Obama,all,US
Alexis Ren,0.30602653519320183,google_trends_anchor,Barack Obama,all,US
Alfonso Ribeiro,0.471125730994152,google_trends_anchor,Barack Obama,all,US
Alix Earle,0.6008771929824561,google_trends_anchor,Barack Obama,all,US
Ally Brooke,0.38888888888888884,google_trends_anchor,Barack Obama,all,US
Alyson Hannigan,0.3469495695715993,google_trends_anchor,Barack Obama,all,US
Amanda Kloots,0.7645833333333334,google_trends_anchor,Barack Obama,all,US
Amber Riley,0.46402116402116395,google_trends_anchor,Barack Obama,all,US
Amber Rose,0.8134418742386672,google_trends_anchor,Barack Obama,all,US
Amy Purdy,0.56,google_trends_anchor,Barack Obama,all,US
Andy Dick,0.4254962971810798,google_trends_anchor,Barack Obama,all,US
Andy Grammer,0.28457828355854675,google_trends_anchor,Barack Obama,all,US
Andy Richter,0.8888888888888888,google_trends_anchor,Barack Obama,all,US
Anna Delvey,1.2333333333333332,google_trends_anchor,Barack Obama,all,US
Anne Heche,1.3894783787640932,google_trends_anchor,Barack Obama,all,US
Antonio Brown,1.5994132930635903,google_trends_anchor,Barack Obama,all,US
Antonio Sabato Jr.,0.0,google_trends_anchor,Barack Obama,all,US
Apolo Anton Ohno,0.8527777777777779,google_trends_anchor,Barack Obama,all,US
Ariana Madix,0.5357142857142857,google_trends_anchor,Barack Obama,all,US
Arike Ogunbowale,0.3611111111111111,google_trends_anchor,Barack Obama,all,US
Ashley Hamiliton,0.0,google_trends_anchor,Barack Obama,all,US
Audrina Patridge,0.2602967128930589,google_trends_anchor,Barack Obama,all,US
Babyface,0.3831114857426742,google_trends_anchor,Barack Obama,all,US
Barbara Corcoran,0.37222222222222223,google_trends_anchor,Barack Obama,all,US
Baron Davis,0.20277150766506533,google_trends_anchor,Barack Obama,all,US
Barry Williams,0.75,google_trends_anchor,Barack Obama,all,US
Belinda Carlisle,0.21726708074534162,google_trends_anchor,Barack Obama,all,US
Bethany Mota,0.45837173579109053,google_trends_anchor,Barack Obama,all,US
Betsey Johnson,0.4143785036855153,google_trends_anchor,Barack Obama,all,US
Bill Engvall,0.2645204806462413,google_trends_anchor,Barack Obama,all,US
Bill Nye,0.526253061911176,google_trends_anchor,Barack Obama,all,US
Billy Dee Williams,0.4694444444444444,google_trends_anchor,Barack Obama,all,US
Billy Ray Cyrus,0.3662747909098121,google_trends_anchor,Barack Obama,all,US
Bindi Irwin,0.4379890942390943,google_trends_anchor,Barack Obama,all,US
Bobby Bones,0.31464173119840816,google_trends_anchor,Barack Obama,all,US
Bonner Bolton,0.3,google_trends_anchor,Barack Obama,all,US
Brandy,2.9064827633201338,google_trends_anchor,Barack Obama,all,US
Brant Daugherty,0.39999999999999997,google_trends_anchor,Barack Obama,all,US
Brian Austin Green,0.29081390019699016,google_trends_anchor,Barack Obama,all,US
Bristol Palin,0.0,google_trends_anchor,Barack Obama,all,US
