season,celebrity_name,pop_score,source,anchor_term,timeframe,geo
1,John O'Hurley,0.0001,google_trends_anchor_season,Barack Obama,2005-06-01 2005-07-12,US
1,Kelly Monaco,22.027777777777775,google_trends_anchor_season,Barack Obama,2005-06-01 2005-07-12,US
1,Evander Holyfield,0.49,google_trends_anchor_season,Barack Obama,2005-06-01 2005-07-12,US
1,Rachel Hunter,2.595653031327474,google_trends_anchor_season,Barack Obama,2005-06-01 2005-07-12,US
1,Joey McIntyre,1.158611111111111,google_trends_anchor_season,Barack Obama,2005-06-01 2005-07-12,US
1,Trista Sutter,1.2291666666666667,google_trends_anchor_season,Barack Obama,2005-06-01 2005-07-12,US
2,Tatum O'Neal,0.0001,google_trends_anchor_season,Barack Obama,2006-01-01 2006-02-25,US
2,Tia Carrere,0.9896167665768392,google_trends_anchor_season,Barack Obama,2006-01-01 2006-02-25,US
2,George Hamilton,2.4326923076923075,google_trends_anchor_season,Barack Obama,2006-01-01 2006-02-25,US
2,Lisa Rinna,2.2959496178017496,google_trends_anchor_season,Barack Obama,2006-01-01 2006-02-25,US
2,Stacy Keibler,6.139199447895101,google_trends_anchor_season,Barack Obama,2006-01-01 2006-02-25,US
2,Jerry Rice,1.2223863299310511,google_trends_anchor_season,Barack Obama,2006-01-01 2006-02-25,US
2,Giselle Fernandez,1.3388888888888888,google_trends_anchor_season,Barack Obama,2006-01-01 2006-02-25,US
2,Master P,1.4269694723464417,google_trends_anchor_season,Barack Obama,2006-01-01 2006-02-25,US
2,Drew Lachey,2.3890022675736966,google_trends_anchor_season,Barack Obama,2006-01-01 2006-02-25,US
2,Kenny Mayne,1.1176470588235294,google_trends_anchor_season,Barack Obama,2006-01-01 2006-02-25,US
3,Harry Hamlin,1.002857142857143,google_trends_anchor_season,Barack Obama,2006-09-01 2006-11-09,US
3,Vivica A. Fox,0.7142857142857143,google_trends_anchor_season,Barack Obama,2006-09-01 2006-11-09,US
3,Monique Coleman,0.7817370043216099,google_trends_anchor_season,Barack Obama,2006-09-01 2006-11-09,US
3,Joey Lawrence,1.9455026005909442,google_trends_anchor_season,Barack Obama,2006-09-01 2006-11-09,US
3,Mario Lopez,2.730644598548685,google_trends_anchor_season,Barack Obama,2006-09-01 2006-11-09,US
3,Emmitt Smith,0.665116265271889,google_trends_anchor_season,Barack Obama,2006-09-01 2006-11-09,US
3,Shanna Moakler,2.579000465909394,google_trends_anchor_season,Barack Obama,2006-09-01 2006-11-09,US
3,Willa Ford,3.364272615553189,google_trends_anchor_season,Barack Obama,2006-09-01 2006-11-09,US
3,Sara Evans,3.09890350877193,google_trends_anchor_season,Barack Obama,2006-09-01 2006-11-09,US
3,Jerry Springer,1.1048945596648627,google_trends_anchor_season,Barack Obama,2006-09-01 2006-11-09,US
3,Tucker Carlson,1.1719456469456468,google_trends_anchor_season,Barack Obama,2006-09-01 2006-11-09,US
4,John Ratzenberger,0.20436097661209943,google_trends_anchor_season,Barack Obama,2007-03-01 2007-05-09,US
4,Ian Ziering,0.23175445525085328,google_trends_anchor_season,Barack Obama,2007-03-01 2007-05-09,US
4,Clyde Drexler,0.29534405052146295,google_trends_anchor_season,Barack Obama,2007-03-01 2007-05-09,US
4,Laila Ali,0.3139266177128655,google_trends_anchor_season,Barack Obama,2007-03-01 2007-05-09,US
4,Apolo Anton Ohno,0.2538744225750584,google_trends_anchor_season,Barack Obama,2007-03-01 2007-05-09,US
4,Shandi Finnessey,0.2702392257927964,google_trends_anchor_season,Barack Obama,2007-03-01 2007-05-09,US
4,Paulina Porizkova,0.3584753599372677,google_trends_anchor_season,Barack Obama,2007-03-01 2007-05-09,US
4,Heather Mills,0.5504399381400917,google_trends_anchor_season,Barack Obama,2007-03-01 2007-05-09,US
4,Billy Ray Cyrus,0.22913667447090436,google_trends_anchor_season,Barack Obama,2007-03-01 2007-05-09,US
4,Joey Fatone,0.2588698156706469,google_trends_anchor_season,Barack Obama,2007-03-01 2007-05-09,US
4,Leeza Gibbons,0.3224079512318837,google_trends_anchor_season,Barack Obama,2007-03-01 2007-05-09,US
5,Cameron Mathison,0.14600686083291436,google_trends_anchor_season,Barack Obama,2007-09-01 2007-11-09,US
5,Jane Seymour,0.3996248203980573,google_trends_anchor_season,Barack Obama,2007-09-01 2007-11-09,US
5,Sabrina Bryan,0.4540090946345037,google_trends_anchor_season,Barack Obama,2007-09-01 2007-11-09,US
5,Jennie Garth,0.25626530998460606,google_trends_anchor_season,Barack Obama,2007-09-01 2007-11-09,US
5,Floyd Mayweather Jr. ,0.0001,google_trends_anchor_season,Barack Obama,2007-09-01 2007-11-09,US
5,Josie Maran,0.28097532047060375,google_trends_anchor_season,Barack Obama,2007-09-01 2007-11-09,US
5,Albert Reed,0.4942031083469602,google_trends_anchor_season,Barack Obama,2007-09-01 2007-11-09,US
5,Helio Castroneves,0.20818559333584932,google_trends_anchor_season,Barack Obama,2007-09-01 2007-11-09,US
5,Mel B,0.13546974674624426,google_trends_anchor_season,Barack Obama,2007-09-01 2007-11-09,US
5,Wayne Newton,0.49863241242432327,google_trends_anchor_season,Barack Obama,2007-09-01 2007-11-09,US
5,Marie Osmond,0.8063059581927505,google_trends_anchor_season,Barack Obama,2007-09-01 2007-11-09,US
5,Mark Cuban,0.4144837370896229,google_trends_anchor_season,Barack Obama,2007-09-01 2007-11-09,US
6,Cristian de la Fuente,0.05812287629042522,google_trends_anchor_season,Barack Obama,2008-03-01 2008-05-09,US
6,Steve Guttenberg,0.07148741013428728,google_trends_anchor_season,Barack Obama,2008-03-01 2008-05-09,US
6,Priscilla Presley,0.1373129592093658,google_trends_anchor_season,Barack Obama,2008-03-01 2008-05-09,US
6,Marlee Matlin,0.059101004468199624,google_trends_anchor_season,Barack Obama,2008-03-01 2008-05-09,US
6,Shannon Elizabeth,0.17864713849626238,google_trends_anchor_season,Barack Obama,2008-03-01 2008-05-09,US
6,Marissa Jaret Winokur,0.04449638226173142,google_trends_anchor_season,Barack Obama,2008-03-01 2008-05-09,US
6,Jason Taylor,0.09916456184980779,google_trends_anchor_season,Barack Obama,2008-03-01 2008-05-09,US
6,Kristi Yamaguchi,0.059720275470046234,google_trends_anchor_season,Barack Obama,2008-03-01 2008-05-09,US
6,Monica Seles,0.08639790621214265,google_trends_anchor_season,Barack Obama,2008-03-01 2008-05-09,US
6,Penn Jillette,0.03653067748566425,google_trends_anchor_season,Barack Obama,2008-03-01 2008-05-09,US
6,Adam Carolla,0.051155317476671874,google_trends_anchor_season,Barack Obama,2008-03-01 2008-05-09,US
6,Mario,2.767837130542387,google_trends_anchor_season,Barack Obama,2008-03-01 2008-05-09,US
7,Ted McGinley,0.125,google_trends_anchor_season,Barack Obama,2008-09-01 2008-11-09,US
7,Cloris Leachman,0.12515550169986528,google_trends_anchor_season,Barack Obama,2008-09-01 2008-11-09,US
7,Susan Lucci,0.12042307703097736,google_trends_anchor_season,Barack Obama,2008-09-01 2008-11-09,US
7,Cody Linley,0.12152777777777778,google_trends_anchor_season,Barack Obama,2008-09-01 2008-11-09,US
7,Misty May-Treanor,0.08333333333333333,google_trends_anchor_season,Barack Obama,2008-09-01 2008-11-09,US
7,Maurice Greene,0.0001,google_trends_anchor_season,Barack Obama,2008-09-01 2008-11-09,US
7,Warren Sapp,0.1111111111111111,google_trends_anchor_season,Barack Obama,2008-09-01 2008-11-09,US
7,Jeffrey Ross,0.125,google_trends_anchor_season,Barack Obama,2008-09-01 2008-11-09,US
7,Toni Braxton,0.14087301587301587,google_trends_anchor_season,Barack Obama,2008-09-01 2008-11-09,US
7,Lance Bass,0.12037037037037036,google_trends_anchor_season,Barack Obama,2008-09-01 2008-11-09,US
7,Kim Kardashian,0.3694063310542498,google_trends_anchor_season,Barack Obama,2008-09-01 2008-11-09,US
7,Rocco DiSpirito,0.10096153846153846,google_trends_anchor_season,Barack Obama,2008-09-01 2008-11-09,US
7,Brooke Burke,0.13722671638437606,google_trends_anchor_season,Barack Obama,2008-09-01 2008-11-09,US
8,Gilles Marini,0.1475878502120694,google_trends_anchor_season,Barack Obama,2009-03-01 2009-05-16,US
8,Denise Richards,0.19725157288630002,google_trends_anchor_season,Barack Obama,2009-03-01 2009-05-16,US
8,David Alan Grier,0.0661677746131274,google_trends_anchor_season,Barack Obama,2009-03-01 2009-05-16,US
8,Lawrence Taylor,0.07021135405447963,google_trends_anchor_season,Barack Obama,2009-03-01 2009-05-16,US
8,Ty Murray,0.11828326839773477,google_trends_anchor_season,Barack Obama,2009-03-01 2009-05-16,US
8,Shawn Johnson,0.47640817445842853,google_trends_anchor_season,Barack Obama,2009-03-01 2009-05-16,US
8,Steve Wozniak,0.15079037945046672,google_trends_anchor_season,Barack Obama,2009-03-01 2009-05-16,US
8,Belinda Carlisle,0.12862754066016716,google_trends_anchor_season,Barack Obama,2009-03-01 2009-05-16,US
8,Chuck Wicks,0.12222942632333883,google_trends_anchor_season,Barack Obama,2009-03-01 2009-05-16,US
8,Lil' Kim,0.0001,google_trends_anchor_season,Barack Obama,2009-03-01 2009-05-16,US
8,Steve-O,0.12487812239432977,google_trends_anchor_season,Barack Obama,2009-03-01 2009-05-16,US
8,Holly Madison,0.365145727645576,google_trends_anchor_season,Barack Obama,2009-03-01 2009-05-16,US
8,Melissa Rycroft,0.3594488326473423,google_trends_anchor_season,Barack Obama,2009-03-01 2009-05-16,US
9,Ashley Hamiliton,0.0001,google_trends_anchor_season,Barack Obama,2009-09-01 2009-11-09,US
9,Debi Mazar,0.1505908148563935,google_trends_anchor_season,Barack Obama,2009-09-01 2009-11-09,US
9,Melissa Joan Hart,0.1366288249945869,google_trends_anchor_season,Barack Obama,2009-09-01 2009-11-09,US
9,Mark Dacascos,0.10359438265035689,google_trends_anchor_season,Barack Obama,2009-09-01 2009-11-09,US
9,Chuck Liddell,0.13703124742038358,google_trends_anchor_season,Barack Obama,2009-09-01 2009-11-09,US
9,Natalie Coughlin,0.15517434883322503,google_trends_anchor_season,Barack Obama,2009-09-01 2009-11-09,US
9,Louie Vito,0.16481464026767048,google_trends_anchor_season,Barack Obama,2009-09-01 2009-11-09,US
9,Michael Irvin,0.07645219426805873,google_trends_anchor_season,Barack Obama,2009-09-01 2009-11-09,US
9,Joanna Krupa,0.268651438629889,google_trends_anchor_season,Barack Obama,2009-09-01 2009-11-09,US
9,Kathy Ireland,0.14424213906068686,google_trends_anchor_season,Barack Obama,2009-09-01 2009-11-09,US
9,Tom DeLay,0.28419294983392085,google_trends_anchor_season,Barack Obama,2009-09-01 2009-11-09,US
9,Macy Gray,0.18906849597933312,google_trends_anchor_season,Barack Obama,2009-09-01 2009-11-09,US
9,Aaron Carter,0.21123997276664763,google_trends_anchor_season,Barack Obama,2009-09-01 2009-11-09,US
9,Mya,0.3729361153282263,google_trends_anchor_season,Barack Obama,2009-09-01 2009-11-09,US
9,Donny Osmond,0.13572155079944706,google_trends_anchor_season,Barack Obama,2009-09-01 2009-11-09,US
9,Kelly Osbourne,0.1521906065642023,google_trends_anchor_season,Barack Obama,2009-09-01 2009-11-09,US
10,Aiden Turner,0.2813003435770466,google_trends_anchor_season,Barack Obama,2010-03-01 2010-05-09,US
10,Shannen Doherty,0.1640382893988084,google_trends_anchor_season,Barack Obama,2010-03-01 2010-05-09,US
10,Niecy Nash,0.15109919199445684,google_trends_anchor_season,Barack Obama,2010-03-01 2010-05-09,US
10,Buzz Aldrin,0.23193844463853647,google_trends_anchor_season,Barack Obama,2010-03-01 2010-05-09,US
10,Chad Ochocinco,0.29273299308898676,google_trends_anchor_season,Barack Obama,2010-03-01 2010-05-09,US
10,Evan Lysacek,0.24073552890496813,google_trends_anchor_season,Barack Obama,2010-03-01 2010-05-09,US
10,Pamela Anderson,0.8183781293480454,google_trends_anchor_season,Barack Obama,2010-03-01 2010-05-09,US
10,Nicole Scherzinger,0.43657600233585997,google_trends_anchor_season,Barack Obama,2010-03-01 2010-05-09,US
10,Erin Andrews,1.6728411667697385,google_trends_anchor_season,Barack Obama,2010-03-01 2010-05-09,US
10,Kate Gosselin,1.5830921347832154,google_trends_anchor_season,Barack Obama,2010-03-01 2010-05-09,US
10,Jake Pavelka,0.343958322968788,google_trends_anchor_season,Barack Obama,2010-03-01 2010-05-09,US
11,David Hasselhoff,0.321853357910756,google_trends_anchor_season,Barack Obama,2010-09-01 2010-11-09,US
11,Florence Henderson,0.3975033947721776,google_trends_anchor_season,Barack Obama,2010-09-01 2010-11-09,US
11,Kyle Massey,0.2777820004327381,google_trends_anchor_season,Barack Obama,2010-09-01 2010-11-09,US
11,Jennifer Grey,1.3574078267670704,google_trends_anchor_season,Barack Obama,2010-09-01 2010-11-09,US
11,Rick Fox,0.6525517558126256,google_trends_anchor_season,Barack Obama,2010-09-01 2010-11-09,US
11,Kurt Warner,0.3243728305218751,google_trends_anchor_season,Barack Obama,2010-09-01 2010-11-09,US
11,Margaret Cho,0.2505727721023615,google_trends_anchor_season,Barack Obama,2010-09-01 2010-11-09,US
11,Michael Bolton,0.3550948388189839,google_trends_anchor_season,Barack Obama,2010-09-01 2010-11-09,US
11,Brandy,1.386555238472754,google_trends_anchor_season,Barack Obama,2010-09-01 2010-11-09,US
11,The Situation,1.4226323432951697,google_trends_anchor_season,Barack Obama,2010-09-01 2010-11-09,US
11,Audrina Patridge,0.5378110682658338,google_trends_anchor_season,Barack Obama,2010-09-01 2010-11-09,US
11,Bristol Palin,0.7672574104393648,google_trends_anchor_season,Barack Obama,2010-09-01 2010-11-09,US
12,Ralph Macchio,0.6582158601591376,google_trends_anchor_season,Barack Obama,2011-03-01 2011-05-09,US
12,Chelsea Kane,0.6366537143267513,google_trends_anchor_season,Barack Obama,2011-03-01 2011-05-09,US
12,Kirstie Alley,0.9806469359305495,google_trends_anchor_season,Barack Obama,2011-03-01 2011-05-09,US
12,Hines Ward,0.47323817973748716,google_trends_anchor_season,Barack Obama,2011-03-01 2011-05-09,US
12,Sugar Ray Leonard,0.3006258091525228,google_trends_anchor_season,Barack Obama,2011-03-01 2011-05-09,US
12,Chris Jericho,0.23093680509309797,google_trends_anchor_season,Barack Obama,2011-03-01 2011-05-09,US
12,Petra Nemcova,0.32518356501671775,google_trends_anchor_season,Barack Obama,2011-03-01 2011-05-09,US
12,Mike Catherwood,0.2727674998674673,google_trends_anchor_season,Barack Obama,2011-03-01 2011-05-09,US
12,Romeo,2.782138064468826,google_trends_anchor_season,Barack Obama,2011-03-01 2011-05-09,US
12,Wendy Williams,0.8441951786817391,google_trends_anchor_season,Barack Obama,2011-03-01 2011-05-09,US
12,Kendra Wilkinson,0.786336286933271,google_trends_anchor_season,Barack Obama,2011-03-01 2011-05-09,US
13,Elisabetta Canalis,0.2608249384616125,google_trends_anchor_season,Barack Obama,2011-09-01 2011-11-09,US
13,David Arquette,0.41140130728894464,google_trends_anchor_season,Barack Obama,2011-09-01 2011-11-09,US
13,Ricki Lake,0.3280509884932977,google_trends_anchor_season,Barack Obama,2011-09-01 2011-11-09,US
13,J.R. Martinez,0.27538745933196157,google_trends_anchor_season,Barack Obama,2011-09-01 2011-11-09,US
13,Metta World Peace (Ron),0.11506656426011264,google_trends_anchor_season,Barack Obama,2011-09-01 2011-11-09,US
13,Hope Solo,1.6022778330446397,google_trends_anchor_season,Barack Obama,2011-09-01 2011-11-09,US
13,Chynna Phillips,0.4288506309097504,google_trends_anchor_season,Barack Obama,2011-09-01 2011-11-09,US
13,Kristin Cavallari,0.6128168076210978,google_trends_anchor_season,Barack Obama,2011-09-01 2011-11-09,US
13,Carson Kressley,0.19905723307962842,google_trends_anchor_season,Barack Obama,2011-09-01 2011-11-09,US
13,Chaz Bono,1.6795144538001678,google_trends_anchor_season,Barack Obama,2011-09-01 2011-11-09,US
13,Nancy Grace,2.3964285714285714,google_trends_anchor_season,Barack Obama,2011-09-01 2011-11-09,US
13,Rob Kardashian,0.5143065110487687,google_trends_anchor_season,Barack Obama,2011-09-01 2011-11-09,US
14,William Levy,1.2553084613798902,google_trends_anchor_season,Barack Obama,2012-03-01 2012-05-09,US
14,Jack Wagner,0.3559912304483519,google_trends_anchor_season,Barack Obama,2012-03-01 2012-05-09,US
14,Sherri Sheperd,0.0001,google_trends_anchor_season,Barack Obama,2012-03-01 2012-05-09,US
14,Jaleel White,0.44238580018801094,google_trends_anchor_season,Barack Obama,2012-03-01 2012-05-09,US
14,Roshon Fegan,0.242541464729418,google_trends_anchor_season,Barack Obama,2012-03-01 2012-05-09,US
