season,week,celebrity_name,pop_score,source,anchor_term,timeframe,geo
1,1,John O'Hurley,0.0,google_trends_anchor_weekly,Barack Obama,2005-06-01 2005-06-07,US
1,1,Kelly Monaco,0.0,google_trends_anchor_weekly,Barack Obama,2005-06-01 2005-06-07,US
1,1,Evander Holyfield,0.0,google_trends_anchor_weekly,Barack Obama,2005-06-01 2005-06-07,US
1,1,Rachel Hunter,0.0,google_trends_anchor_weekly,Barack Obama,2005-06-01 2005-06-07,US
1,1,Joey McIntyre,0.0,google_trends_anchor_weekly,Barack Obama,2005-06-01 2005-06-07,US
1,1,Trista Sutter,0.0,google_trends_anchor_weekly,Barack Obama,2005-06-01 2005-06-07,US
1,2,John O'Hurley,0.0,google_trends_anchor_weekly,Barack Obama,2005-06-08 2005-06-14,US
1,2,Kelly Monaco,0.0,google_trends_anchor_weekly,Barack Obama,2005-06-08 2005-06-14,US
1,2,Evander Holyfield,0.0,google_trends_anchor_weekly,Barack Obama,2005-06-08 2005-06-14,US
1,2,Rachel Hunter,0.0,google_trends_anchor_weekly,Barack Obama,2005-06-08 2005-06-14,US
1,2,Joey McIntyre,0.0,google_trends_anchor_weekly,Barack Obama,2005-06-08 2005-06-14,US
1,2,Trista Sutter,0.0,google_trends_anchor_weekly,Barack Obama,2005-06-08 2005-06-14,US
1,3,John O'Hurley,0.0,google_trends_anchor_weekly,Barack Obama,2005-06-15 2005-06-21,US
1,3,Kelly Monaco,0.0,google_trends_anchor_weekly,Barack Obama,2005-06-15 2005-06-21,US
1,3,Evander Holyfield,0.0,google_trends_anchor_weekly,Barack Obama,2005-06-15 2005-06-21,US
1,3,Rachel Hunter,0.0,google_trends_anchor_weekly,Barack Obama,2005-06-15 2005-06-21,US
1,3,Joey McIntyre,0.0,google_trends_anchor_weekly,Barack Obama,2005-06-15 2005-06-21,US
1,4,John O'Hurley,0.0,google_trends_anchor_weekly,Barack Obama,2005-06-22 2005-06-28,US
1,4,Kelly Monaco,0.0,google_trends_anchor_weekly,Barack Obama,2005-06-22 2005-06-28,US
1,4,Rachel Hunter,0.0,google_trends_anchor_weekly,Barack Obama,2005-06-22 2005-06-28,US
1,4,Joey McIntyre,0.0,google_trends_anchor_weekly,Barack Obama,2005-06-22 2005-06-28,US
1,5,John O'Hurley,0.0,google_trends_anchor_weekly,Barack Obama,2005-06-29 2005-07-05,US
1,5,Kelly Monaco,0.0,google_trends_anchor_weekly,Barack Obama,2005-06-29 2005-07-05,US
1,5,Joey McIntyre,0.0,google_trends_anchor_weekly,Barack Obama,2005-06-29 2005-07-05,US
1,6,John O'Hurley,0.0,google_trends_anchor_weekly,Barack Obama,2005-07-06 2005-07-12,US
1,6,Kelly Monaco,100.0,google_trends_anchor_weekly,Barack Obama,2005-07-06 2005-07-12,US
2,1,Tatum O'Neal,0.0,google_trends_anchor_weekly,Barack Obama,2006-01-01 2006-01-07,US
2,1,Tia Carrere,0.0,google_trends_anchor_weekly,Barack Obama,2006-01-01 2006-01-07,US
2,1,George Hamilton,0.0,google_trends_anchor_weekly,Barack Obama,2006-01-01 2006-01-07,US
2,1,Lisa Rinna,0.0,google_trends_anchor_weekly,Barack Obama,2006-01-01 2006-01-07,US
2,1,Stacy Keibler,0.0,google_trends_anchor_weekly,Barack Obama,2006-01-01 2006-01-07,US
2,1,Jerry Rice,0.0,google_trends_anchor_weekly,Barack Obama,2006-01-01 2006-01-07,US
2,1,Giselle Fernandez,0.0,google_trends_anchor_weekly,Barack Obama,2006-01-01 2006-01-07,US
2,1,Master P,0.0,google_trends_anchor_weekly,Barack Obama,2006-01-01 2006-01-07,US
2,1,Drew Lachey,0.0,google_trends_anchor_weekly,Barack Obama,2006-01-01 2006-01-07,US
2,1,Kenny Mayne,0.0,google_trends_anchor_weekly,Barack Obama,2006-01-01 2006-01-07,US
2,2,Tatum O'Neal,0.0,google_trends_anchor_weekly,Barack Obama,2006-01-08 2006-01-14,US
2,2,Tia Carrere,0.0,google_trends_anchor_weekly,Barack Obama,2006-01-08 2006-01-14,US
