celebrity_name,wiki_title,pop_score,source
AJ McLean,AJ McLean,689588,pageviews_1y
Aaron Carter,Aaron Carter,1490244,pageviews_1y
Adam Carolla,Adam Carolla,485601,pageviews_1y
Adam Rippon,Adam Rippon,110447,pageviews_1y
Adrian Peterson,Adrian Peterson,656186,pageviews_1y
Aiden Turner,Aiden Turner,58937,pageviews_1y
Albert Reed,Albert Reed,202,pageviews_1y
Alek Skarlatos,Alek Skarlatos,64245,pageviews_1y
Alexa PenaVega,Alexa PenaVega,645425,pageviews_1y
Alexandra Raisman,Aly Raisman,234725,pageviews_1y
Alexis Ren,Alexis Ren,312693,pageviews_1y
Alfonso Ribeiro,Alfonso Ribeiro,838330,pageviews_1y
Alix Earle,Alix Earle,2993100,pageviews_1y
Ally Brooke,Ally Brooke,214541,pageviews_1y
Alyson Hannigan,Alyson Hannigan,1125554,pageviews_1y
Amanda Kloots,Amanda Kloots,182655,pageviews_1y
Amber Riley,Amber Riley,250425,pageviews_1y
Amber Rose,Amber Rose,710613,pageviews_1y
Amy Purdy,Amy Purdy,146051,pageviews_1y
Andy Dick,Andy Dick,1280745,pageviews_1y
Andy Grammer,Andy Grammer,447581,pageviews_1y
Andy Richter,Andy Richter,908171,pageviews_1y
Anna Delvey,Anna Delvey,1045161,pageviews_1y
Anne Heche,Anne Heche,2373965,pageviews_1y
Antonio Brown,Antonio Brown,1260636,pageviews_1y
Antonio Sabato Jr.,Antonio Sabàto Jr.,232760,pageviews_1y
Apolo Anton Ohno,Apolo Ohno,196660,pageviews_1y
Ariana Madix,Ariana Madix,941343,pageviews_1y
Arike Ogunbowale,Arike Ogunbowale,138881,pageviews_1y
Ashley Hamiliton,The Secret Storm,30856,pageviews_1y
Audrina Patridge,Audrina Patridge,181066,pageviews_1y
Babyface,Babyface (musician),555826,pageviews_1y
Barbara Corcoran,Barbara Corcoran,454799,pageviews_1y
Baron Davis,Baron Davis,357378,pageviews_1y
Barry Williams,Barry Williams (actor),306157,pageviews_1y
Belinda Carlisle,Belinda Carlisle,1002327,pageviews_1y
Bethany Mota,Bethany Mota,46205,pageviews_1y
Betsey Johnson,Betsey Johnson,165862,pageviews_1y
Bill Engvall,Bill Engvall,190075,pageviews_1y
Bill Nye,Bill Nye,687325,pageviews_1y
Billy Dee Williams,Billy Dee Williams,623657,pageviews_1y
Billy Ray Cyrus,Billy Ray Cyrus,1434438,pageviews_1y
Bindi Irwin,Bindi Irwin,1234064,pageviews_1y
Bobby Bones,Bobby Bones,203516,pageviews_1y
Bonner Bolton,Bonner Bolton,9183,pageviews_1y
Brandy,Brandy,517478,pageviews_1y
Brant Daugherty,Brant Daugherty,89220,pageviews_1y
Brian Austin Green,Brian Austin Green,1034936,pageviews_1y
Bristol Palin,Bristol Palin,295182,pageviews_1y
Brooke Burke,Brooke Burke,486206,pageviews_1y
Brooks Nader,Brooks Nader,944653,pageviews_1y
Buzz Aldrin,Buzz Aldrin,1423293,pageviews_1y
Calvin Johnson Jr.,Calvin Johnson,495180,pageviews_1y
Cameron Mathison,Cameron Mathison,353100,pageviews_1y
Candace Cameron Bure,Candace Cameron Bure,1271795,pageviews_1y
Carlos PenaVega,Carlos PenaVega,361413,pageviews_1y
Carole Baskin,Carole Baskin,325270,pageviews_1y
Carson Kressley,Carson Kressley,205328,pageviews_1y
Chad Ochocinco,Chad Johnson,800759,pageviews_1y
Chaka Khan,Chaka Khan,704374,pageviews_1y
Chandler Kinney,Chandler Kinney,151183,pageviews_1y
Charity Lawson,The Bachelorette (American TV series) season 20,18822,pageviews_1y
Charles Oakley,Charles Oakley,374971,pageviews_1y
Charli D'Amelio,Charli D'Amelio,926191,pageviews_1y
Charlie White,Charlie White (figure skater),39517,pageviews_1y
Charlotte McKinney,Charlotte McKinney,105925,pageviews_1y
Charo,Charo,496437,pageviews_1y
Chaz Bono,Chaz Bono,887479,pageviews_1y
Chelsea Kane,Chelsea Kane,176795,pageviews_1y
Cheryl Ladd,Cheryl Ladd,548823,pageviews_1y
Chris Jericho,Chris Jericho,886650,pageviews_1y
Chris Kattan,Chris Kattan,823739,pageviews_1y
Chris Mazdzer,Chris Mazdzer,9302,pageviews_1y
Chris Soules,Chris Soules,35146,pageviews_1y
Chrishell Stause,Chrishell Stause,840289,pageviews_1y
Christina Milian,Christina Milian,617251,pageviews_1y
Christine Chiu,Bling Empire,57245,pageviews_1y
Chuck Liddell,Chuck Liddell,382664,pageviews_1y
Chuck Wicks,Chuck Wicks,35157,pageviews_1y
Chynna Phillips,Chynna Phillips,946178,pageviews_1y
Cloris Leachman,Cloris Leachman,857990,pageviews_1y
Clyde Drexler,Clyde Drexler,363978,pageviews_1y
Cody Linley,Cody Linley,75676,pageviews_1y
Cody Rigsby,Cody Rigsby,42166,pageviews_1y
Cody Simpson,Cody Simpson,549836,pageviews_1y
Corbin Bleu,Corbin Bleu,507663,pageviews_1y
Corey Feldman,Corey Feldman,2337854,pageviews_1y
Cristian de la Fuente,Cristián de la Fuente,46104,pageviews_1y
D. L. Hughley,D. L. Hughley,213021,pageviews_1y
Danelle Umstead,Danelle Umstead,5676,pageviews_1y
Danica McKellar,Danica McKellar,791271,pageviews_1y
Daniel Durant,Daniel Durant,215393,pageviews_1y
Danielle Fishel,Danielle Fishel,1348003,pageviews_1y
Danny Amendola,Danny Amendola,294649,pageviews_1y
David Alan Grier,David Alan Grier,440275,pageviews_1y
