season,celebrity_name,wiki_title,pop_score,pop_score_end,pop_score_start,pop_score_delta,source,window_start,window_end
1,Evander Holyfield,Evander Holyfield,56,56,52,4,wikipedia_edits_cumulative,2005-06-01,2005-07-06
1,Joey McIntyre,Joey McIntyre,19,19,0,19,wikipedia_edits_cumulative,2005-06-01,2005-07-06
1,John O'Hurley,John O'Hurley,6,6,4,2,wikipedia_edits_cumulative,2005-06-01,2005-07-06
1,Kelly Monaco,Kelly Monaco,51,51,30,21,wikipedia_edits_cumulative,2005-06-01,2005-07-06
1,Rachel Hunter,Rachel Hunter,26,26,15,11,wikipedia_edits_cumulative,2005-06-01,2005-07-06
1,Trista Sutter,Trista Sutter,28,28,26,2,wikipedia_edits_cumulative,2005-06-01,2005-07-06
2,Drew Lachey,Drew Lachey,39,39,10,29,wikipedia_edits_cumulative,2006-01-01,2006-02-19
2,George Hamilton,George Hamilton (actor),57,57,32,25,wikipedia_edits_cumulative,2006-01-01,2006-02-19
2,Giselle Fernandez,Giselle Fernández,27,27,18,9,wikipedia_edits_cumulative,2006-01-01,2006-02-19
2,Jerry Rice,Jerry Rice,222,222,165,57,wikipedia_edits_cumulative,2006-01-01,2006-02-19
2,Kenny Mayne,Kenny Mayne,22,22,10,12,wikipedia_edits_cumulative,2006-01-01,2006-02-19
2,Lisa Rinna,Lisa Rinna,70,70,40,30,wikipedia_edits_cumulative,2006-01-01,2006-02-19
2,Master P,Master P,306,306,210,96,wikipedia_edits_cumulative,2006-01-01,2006-02-19
2,Stacy Keibler,Stacy Keibler,773,773,606,167,wikipedia_edits_cumulative,2006-01-01,2006-02-19
2,Tatum O'Neal,Tatum O'Neal,72,72,59,13,wikipedia_edits_cumulative,2006-01-01,2006-02-19
2,Tia Carrere,Tia Carrere,93,93,79,14,wikipedia_edits_cumulative,2006-01-01,2006-02-19
3,Emmitt Smith,Emmitt Smith,328,328,255,73,wikipedia_edits_cumulative,2006-09-01,2006-11-03
3,Harry Hamlin,Harry Hamlin,81,81,58,23,wikipedia_edits_cumulative,2006-09-01,2006-11-03
3,Jerry Springer,Jerry Springer,431,431,361,70,wikipedia_edits_cumulative,2006-09-01,2006-11-03
3,Joey Lawrence,Joey Lawrence,126,126,91,35,wikipedia_edits_cumulative,2006-09-01,2006-11-03
3,Mario Lopez,Mario Lopez,268,268,181,87,wikipedia_edits_cumulative,2006-09-01,2006-11-03
3,Monique Coleman,Monique Coleman,253,253,155,98,wikipedia_edits_cumulative,2006-09-01,2006-11-03
3,Sara Evans,Sara Evans,507,507,307,200,wikipedia_edits_cumulative,2006-09-01,2006-11-03
3,Shanna Moakler,Shanna Moakler,167,167,126,41,wikipedia_edits_cumulative,2006-09-01,2006-11-03
3,Tucker Carlson,Tucker Carlson,971,971,825,146,wikipedia_edits_cumulative,2006-09-01,2006-11-03
3,Vivica A. Fox,Vivica A. Fox,151,151,127,24,wikipedia_edits_cumulative,2006-09-01,2006-11-03
3,Willa Ford,Willa Ford,757,757,643,114,wikipedia_edits_cumulative,2006-09-01,2006-11-03
4,Apolo Anton Ohno,Apolo Ohno,505,505,411,94,wikipedia_edits_cumulative,2007-03-01,2007-05-03
4,Billy Ray Cyrus,Billy Ray Cyrus,569,569,444,125,wikipedia_edits_cumulative,2007-03-01,2007-05-03
4,Clyde Drexler,Clyde Drexler,209,209,166,43,wikipedia_edits_cumulative,2007-03-01,2007-05-03
4,Heather Mills,Heather Mills,764,764,584,180,wikipedia_edits_cumulative,2007-03-01,2007-05-03
4,Ian Ziering,Ian Ziering,105,105,51,54,wikipedia_edits_cumulative,2007-03-01,2007-05-03
4,Joey Fatone,Joey Fatone,216,216,145,71,wikipedia_edits_cumulative,2007-03-01,2007-05-03
4,John Ratzenberger,John Ratzenberger,290,290,205,85,wikipedia_edits_cumulative,2007-03-01,2007-05-03
4,Laila Ali,Laila Ali,205,205,158,47,wikipedia_edits_cumulative,2007-03-01,2007-05-03
4,Leeza Gibbons,Leeza Gibbons,80,80,67,13,wikipedia_edits_cumulative,2007-03-01,2007-05-03
4,Paulina Porizkova,Paulina Porizkova,278,278,220,58,wikipedia_edits_cumulative,2007-03-01,2007-05-03
4,Shandi Finnessey,Shandi Finnessey,233,233,178,55,wikipedia_edits_cumulative,2007-03-01,2007-05-03
5,Albert Reed,Albert Reed,0,0,0,0,wikipedia_edits_cumulative,2007-09-01,2007-11-03
5,Cameron Mathison,Cameron Mathison,73,73,56,17,wikipedia_edits_cumulative,2007-09-01,2007-11-03
5,Floyd Mayweather Jr. ,Floyd Mayweather Jr.,1109,1109,1009,100,wikipedia_edits_cumulative,2007-09-01,2007-11-03
5,Helio Castroneves,Hélio Castroneves,193,193,174,19,wikipedia_edits_cumulative,2007-09-01,2007-11-03
5,Jane Seymour,Jane Seymour,406,406,331,75,wikipedia_edits_cumulative,2007-09-01,2007-11-03
5,Jennie Garth,Jennie Garth,238,238,208,30,wikipedia_edits_cumulative,2007-09-01,2007-11-03
5,Josie Maran,Josie Maran,441,441,372,69,wikipedia_edits_cumulative,2007-09-01,2007-11-03
5,Marie Osmond,Marie Osmond,451,451,280,171,wikipedia_edits_cumulative,2007-09-01,2007-11-03
5,Mark Cuban,Mark Cuban,1371,1371,1216,155,wikipedia_edits_cumulative,2007-09-01,2007-11-03
5,Mel B,Mel B,1003,1003,974,29,wikipedia_edits_cumulative,2007-09-01,2007-11-03
5,Sabrina Bryan,Sabrina Bryan,717,717,595,122,wikipedia_edits_cumulative,2007-09-01,2007-11-03
5,Wayne Newton,Wayne Newton,305,305,234,71,wikipedia_edits_cumulative,2007-09-01,2007-11-03
6,Adam Carolla,Adam Carolla,1171,1171,1090,81,wikipedia_edits_cumulative,2008-03-01,2008-05-03
6,Cristian de la Fuente,Cristián de la Fuente,97,97,74,23,wikipedia_edits_cumulative,2008-03-01,2008-05-03
6,Jason Taylor,Jason Taylor (American football),472,472,348,124,wikipedia_edits_cumulative,2008-03-01,2008-05-03
6,Kristi Yamaguchi,Kristi Yamaguchi,470,470,352,118,wikipedia_edits_cumulative,2008-03-01,2008-05-03
6,Mario,Mario,8474,8474,8320,154,wikipedia_edits_cumulative,2008-03-01,2008-05-03
6,Marissa Jaret Winokur,Marissa Jaret Winokur,146,146,109,37,wikipedia_edits_cumulative,2008-03-01,2008-05-03
6,Marlee Matlin,Marlee Matlin,352,352,289,63,wikipedia_edits_cumulative,2008-03-01,2008-05-03
6,Monica Seles,Monica Seles,923,923,872,51,wikipedia_edits_cumulative,2008-03-01,2008-05-03
6,Penn Jillette,Penn Jillette,626,626,580,46,wikipedia_edits_cumulative,2008-03-01,2008-05-03
6,Priscilla Presley,Priscilla Presley,543,543,411,132,wikipedia_edits_cumulative,2008-03-01,2008-05-03
6,Shannon Elizabeth,Shannon Elizabeth,646,646,543,103,wikipedia_edits_cumulative,2008-03-01,2008-05-03
6,Steve Guttenberg,Steve Guttenberg,539,539,516,23,wikipedia_edits_cumulative,2008-03-01,2008-05-03
7,Brooke Burke,Brooke Burke,641,641,561,80,wikipedia_edits_cumulative,2008-09-01,2008-11-03
7,Cloris Leachman,Cloris Leachman,540,540,447,93,wikipedia_edits_cumulative,2008-09-01,2008-11-03
7,Cody Linley,Cody Linley,1634,1634,1439,195,wikipedia_edits_cumulative,2008-09-01,2008-11-03
7,Jeffrey Ross,Jeff Ross,129,129,113,16,wikipedia_edits_cumulative,2008-09-01,2008-11-03
7,Kim Kardashian,Kim Kardashian,2550,2550,2241,309,wikipedia_edits_cumulative,2008-09-01,2008-11-03
7,Lance Bass,Lance Bass,2596,2596,2486,110,wikipedia_edits_cumulative,2008-09-01,2008-11-03
7,Maurice Greene,Maurice Greene (fighter),0,0,0,0,wikipedia_edits_cumulative,2008-09-01,2008-11-03
7,Misty May-Treanor,Misty May-Treanor,639,639,529,110,wikipedia_edits_cumulative,2008-09-01,2008-11-03
7,Rocco DiSpirito,Rocco DiSpirito,132,132,111,21,wikipedia_edits_cumulative,2008-09-01,2008-11-03
7,Susan Lucci,Susan Lucci,446,446,376,70,wikipedia_edits_cumulative,2008-09-01,2008-11-03
7,Ted McGinley,Ted McGinley,251,251,213,38,wikipedia_edits_cumulative,2008-09-01,2008-11-03
7,Toni Braxton,Toni Braxton,1886,1886,1798,88,wikipedia_edits_cumulative,2008-09-01,2008-11-03
7,Warren Sapp,Warren Sapp,662,662,573,89,wikipedia_edits_cumulative,2008-09-01,2008-11-03
8,Belinda Carlisle,Belinda Carlisle,1083,1083,981,102,wikipedia_edits_cumulative,2009-03-01,2009-05-10
8,Chuck Wicks,Chuck Wicks,373,373,302,71,wikipedia_edits_cumulative,2009-03-01,2009-05-10
8,David Alan Grier,David Alan Grier,336,336,316,20,wikipedia_edits_cumulative,2009-03-01,2009-05-10
8,Denise Richards,Denise Richards,1121,1121,1049,72,wikipedia_edits_cumulative,2009-03-01,2009-05-10
8,Gilles Marini,Gilles Marini,61,61,24,37,wikipedia_edits_cumulative,2009-03-01,2009-05-10
8,Holly Madison,Holly Madison,1027,1027,932,95,wikipedia_edits_cumulative,2009-03-01,2009-05-10
8,Lawrence Taylor,Lawrence Taylor,1840,1840,1806,34,wikipedia_edits_cumulative,2009-03-01,2009-05-10
8,Lil' Kim,Lil' Kim,4113,4113,3890,223,wikipedia_edits_cumulative,2009-03-01,2009-05-10
8,Melissa Rycroft,Melissa Rycroft,198,198,0,198,wikipedia_edits_cumulative,2009-03-01,2009-05-10
8,Shawn Johnson,Shawn Johnson East,1200,1200,1014,186,wikipedia_edits_cumulative,2009-03-01,2009-05-10
8,Steve Wozniak,Steve Wozniak,2346,2346,2168,178,wikipedia_edits_cumulative,2009-03-01,2009-05-10
8,Steve-O,Steve-O,1541,1541,1516,25,wikipedia_edits_cumulative,2009-03-01,2009-05-10
8,Ty Murray,Ty Murray,181,181,123,58,wikipedia_edits_cumulative,2009-03-01,2009-05-10
9,Aaron Carter,Aaron Carter,2467,2467,2457,10,wikipedia_edits_cumulative,2009-09-01,2009-11-03
9,Ashley Hamiliton,The Secret Storm,146,146,144,2,wikipedia_edits_cumulative,2009-09-01,2009-11-03
9,Chuck Liddell,Chuck Liddell,3579,3579,3561,18,wikipedia_edits_cumulative,2009-09-01,2009-11-03
9,Debi Mazar,Debi Mazar,258,258,228,30,wikipedia_edits_cumulative,2009-09-01,2009-11-03
9,Donny Osmond,Donny Osmond,907,907,872,35,wikipedia_edits_cumulative,2009-09-01,2009-11-03
9,Joanna Krupa,Joanna Krupa,508,508,421,87,wikipedia_edits_cumulative,2009-09-01,2009-11-03
9,Kathy Ireland,Kathy Ireland,480,480,449,31,wikipedia_edits_cumulative,2009-09-01,2009-11-03
9,Kelly Osbourne,Kelly Osbourne,1330,1330,1234,96,wikipedia_edits_cumulative,2009-09-01,2009-11-03
9,Louie Vito,Louie Vito,136,136,56,80,wikipedia_edits_cumulative,2009-09-01,2009-11-03
9,Macy Gray,Macy Gray,827,827,795,32,wikipedia_edits_cumulative,2009-09-01,2009-11-03
9,Mark Dacascos,Mark Dacascos,297,297,268,29,wikipedia_edits_cumulative,2009-09-01,2009-11-03
9,Melissa Joan Hart,Melissa Joan Hart,1231,1231,1173,58,wikipedia_edits_cumulative,2009-09-01,2009-11-03
9,Michael Irvin,Michael Irvin,1137,1137,1120,17,wikipedia_edits_cumulative,2009-09-01,2009-11-03
9,Mya,Mya (singer),4200,4200,4089,111,wikipedia_edits_cumulative,2009-09-01,2009-11-03
9,Natalie Coughlin,Natalie Coughlin,533,533,512,21,wikipedia_edits_cumulative,2009-09-01,2009-11-03
9,Tom DeLay,Tom DeLay,3324,3324,2920,404,wikipedia_edits_cumulative,2009-09-01,2009-11-03
10,Aiden Turner,Aiden Turner,155,155,117,38,wikipedia_edits_cumulative,2010-03-01,2010-05-03
10,Buzz Aldrin,Buzz Aldrin,1931,1931,1864,67,wikipedia_edits_cumulative,2010-03-01,2010-05-03
10,Chad Ochocinco,Chad Johnson,3001,3001,2893,108,wikipedia_edits_cumulative,2010-03-01,2010-05-03
10,Erin Andrews,Erin Andrews,1135,1135,1076,59,wikipedia_edits_cumulative,2010-03-01,2010-05-03
10,Evan Lysacek,Evan Lysacek,1145,1145,1038,107,wikipedia_edits_cumulative,2010-03-01,2010-05-03
10,Jake Pavelka,Jake Pavelka,37,37,31,6,wikipedia_edits_cumulative,2010-03-01,2010-05-03
10,Kate Gosselin,Kate Gosselin,1188,1188,1022,166,wikipedia_edits_cumulative,2010-03-01,2010-05-03
10,Nicole Scherzinger,Nicole Scherzinger,6455,6455,6273,182,wikipedia_edits_cumulative,2010-03-01,2010-05-03
10,Niecy Nash,Niecy Nash,255,255,203,52,wikipedia_edits_cumulative,2010-03-01,2010-05-03
10,Pamela Anderson,Pamela Anderson,4838,4838,4536,302,wikipedia_edits_cumulative,2010-03-01,2010-05-03
10,Shannen Doherty,Shannen Doherty,1546,1546,1481,65,wikipedia_edits_cumulative,2010-03-01,2010-05-03
11,Audrina Patridge,Audrina Patridge,1527,1527,1438,89,wikipedia_edits_cumulative,2010-09-01,2010-11-03
11,Brandy,Brandy,997,997,980,17,wikipedia_edits_cumulative,2010-09-01,2010-11-03
11,Bristol Palin,Bristol Palin,824,824,637,187,wikipedia_edits_cumulative,2010-09-01,2010-11-03
11,David Hasselhoff,David Hasselhoff,4587,4587,4432,155,wikipedia_edits_cumulative,2010-09-01,2010-11-03
11,Florence Henderson,Florence Henderson,443,443,398,45,wikipedia_edits_cumulative,2010-09-01,2010-11-03
11,Jennifer Grey,Jennifer Grey,420,420,370,50,wikipedia_edits_cumulative,2010-09-01,2010-11-03
11,Kurt Warner,Kurt Warner,2311,2311,2256,55,wikipedia_edits_cumulative,2010-09-01,2010-11-03
11,Kyle Massey,Kyle Massey,2108,2108,2013,95,wikipedia_edits_cumulative,2010-09-01,2010-11-03
11,Margaret Cho,Margaret Cho,1258,1258,1210,48,wikipedia_edits_cumulative,2010-09-01,2010-11-03
11,Michael Bolton,Michael Bolton,1477,1477,1435,42,wikipedia_edits_cumulative,2010-09-01,2010-11-03
11,Rick Fox,Rick Fox,616,616,580,36,wikipedia_edits_cumulative,2010-09-01,2010-11-03
11,The Situation,Situation,14,14,13,1,wikipedia_edits_cumulative,2010-09-01,2010-11-03
12,Chelsea Kane,Chelsea Kane,1620,1620,1411,209,wikipedia_edits_cumulative,2011-03-01,2011-05-03
12,Chris Jericho,Chris Jericho,7456,7456,7364,92,wikipedia_edits_cumulative,2011-03-01,2011-05-03
12,Hines Ward,Hines Ward,1684,1684,1621,63,wikipedia_edits_cumulative,2011-03-01,2011-05-03
12,Kendra Wilkinson,Kendra Wilkinson,2197,2197,2189,8,wikipedia_edits_cumulative,2011-03-01,2011-05-03
12,Kirstie Alley,Kirstie Alley,1446,1446,1370,76,wikipedia_edits_cumulative,2011-03-01,2011-05-03
12,Mike Catherwood,Michael Catherwood,183,183,83,100,wikipedia_edits_cumulative,2011-03-01,2011-05-03
12,Petra Nemcova,Petra Němcová,732,732,692,40,wikipedia_edits_cumulative,2011-03-01,2011-05-03
12,Ralph Macchio,Ralph Macchio,1088,1088,984,104,wikipedia_edits_cumulative,2011-03-01,2011-05-03
12,Romeo,Romeo,851,851,771,80,wikipedia_edits_cumulative,2011-03-01,2011-05-03
