season,week,celebrity_name,s_map
1,1,John O'Hurley,0.12921731
1,1,Kelly Monaco,0.62043047
1,1,Evander Holyfield,0.061247356
1,1,Rachel Hunter,0.077857144
1,1,Joey McIntyre,0.094811246
1,1,Trista Sutter,0.016436432
1,2,John O'Hurley,0.153394
1,2,Kelly Monaco,0.33358455
1,2,Evander Holyfield,0.23127529
1,2,Rachel Hunter,0.10703523
1,2,Joey McIntyre,0.13802624
1,2,Trista Sutter,0.03668474
1,3,John O'Hurley,0.19687971
1,3,Kelly Monaco,0.4341322
1,3,Evander Holyfield,0.089971274
1,3,Rachel Hunter,0.08908298
1,3,Joey McIntyre,0.18993388
1,4,John O'Hurley,0.2551727
1,4,Kelly Monaco,0.3116075
1,4,Rachel Hunter,0.06428388
1,4,Joey McIntyre,0.36893588
1,5,John O'Hurley,0.221234
1,5,Kelly Monaco,0.51199114
1,5,Joey McIntyre,0.26677492
1,6,John O'Hurley,0.3946037
1,6,Kelly Monaco,0.60539633
2,1,Tatum O'Neal,0.013756399
2,1,Tia Carrere,0.046850458
2,1,George Hamilton,0.08134831
2,1,Lisa Rinna,0.07476658
2,1,Stacy Keibler,0.060994554
2,1,Jerry Rice,0.23972495
2,1,Giselle Fernandez,0.014869452
2,1,Master P,0.07774236
2,1,Drew Lachey,0.37607044
2,1,Kenny Mayne,0.013876382
2,2,Tatum O'Neal,0.018863436
2,2,Tia Carrere,0.054041132
2,2,George Hamilton,0.09572808
2,2,Lisa Rinna,0.08273115
2,2,Stacy Keibler,0.08263874
2,2,Jerry Rice,0.22116435
2,2,Giselle Fernandez,0.018347949
2,2,Master P,0.09579298
2,2,Drew Lachey,0.3306922
2,3,Tia Carrere,0.07097435
2,3,George Hamilton,0.10263563
2,3,Lisa Rinna,0.100734904
2,3,Stacy Keibler,0.08843786
2,3,Jerry Rice,0.18109345
2,3,Giselle Fernandez,0.031452302
2,3,Master P,0.18822087
2,3,Drew Lachey,0.23645063
2,4,Tia Carrere,0.06686383
2,4,George Hamilton,0.11535493
2,4,Lisa Rinna,0.116674535
2,4,Stacy Keibler,0.096915856
2,4,Jerry Rice,0.24921888
2,4,Master P,0.06474975
2,4,Drew Lachey,0.2902222
2,5,Tia Carrere,0.05315973
2,5,George Hamilton,0.113355614
2,5,Lisa Rinna,0.13026978
2,5,Stacy Keibler,0.13165066
2,5,Jerry Rice,0.2590916
2,5,Drew Lachey,0.31247264
2,6,George Hamilton,0.07639129
2,6,Lisa Rinna,0.1389541
2,6,Stacy Keibler,0.14986695
2,6,Jerry Rice,0.25935742
2,6,Drew Lachey,0.3754302
2,7,Lisa Rinna,0.09363608
2,7,Stacy Keibler,0.16838147
2,7,Jerry Rice,0.30281782
2,7,Drew Lachey,0.4351646
2,8,Stacy Keibler,0.16107194
2,8,Jerry Rice,0.3047874
2,8,Drew Lachey,0.53414065
3,1,Harry Hamlin,0.019050742
3,1,Vivica A. Fox,0.023484379
3,1,Monique Coleman,0.111195706
3,1,Joey Lawrence,0.11332105
3,1,Mario Lopez,0.122279935
3,1,Emmitt Smith,0.22179532
3,1,Shanna Moakler,0.011064069
3,1,Willa Ford,0.05402592
3,1,Sara Evans,0.17755605
3,1,Jerry Springer,0.14416291
3,1,Tucker Carlson,0.0020638374
3,2,Harry Hamlin,0.023597516
3,2,Vivica A. Fox,0.024661025
3,2,Monique Coleman,0.13311563
3,2,Joey Lawrence,0.15029286
3,2,Mario Lopez,0.09417856
3,2,Emmitt Smith,0.20709346
3,2,Shanna Moakler,0.016721383
3,2,Willa Ford,0.05130262
3,2,Sara Evans,0.17485483
3,2,Jerry Springer,0.12418214
3,3,Harry Hamlin,0.025521098
3,3,Vivica A. Fox,0.031580847
3,3,Monique Coleman,0.15696046
3,3,Joey Lawrence,0.12337774
3,3,Mario Lopez,0.102985136
3,3,Emmitt Smith,0.1570897
3,3,Willa Ford,0.05178608
3,3,Sara Evans,0.21125817
3,3,Jerry Springer,0.13944079
3,4,Vivica A. Fox,0.03195906
3,4,Monique Coleman,0.13383508
3,4,Joey Lawrence,0.1427385
3,4,Mario Lopez,0.1392314
3,4,Emmitt Smith,0.20114893
3,4,Willa Ford,0.06502534
3,4,Sara Evans,0.13845389
3,4,Jerry Springer,0.14760773
3,5,Monique Coleman,0.15216577
3,5,Joey Lawrence,0.1307223
3,5,Mario Lopez,0.14320837
3,5,Emmitt Smith,0.27046585
