season,week,celebrity_name,s_mean,s_p50,s_std,s_p10,s_p90
1,1,John O'Hurley,0.012190822,0.0077048023,0.009479152,0.005417106,0.01887813
1,1,Kelly Monaco,0.77280545,0.8362751,0.2328088,0.5218845,0.96890175
1,1,Evander Holyfield,0.016185438,0.009255825,0.016448827,0.0051464997,0.04367687
1,1,Rachel Hunter,0.014526877,0.008869562,0.018761229,0.0013436914,0.025131725
1,1,Joey McIntyre,0.18164627,0.1287097,0.2209973,0.010504044,0.38135117
1,1,Trista Sutter,0.0026451505,0.0019256533,0.0024634742,0.0006711121,0.0055600004
1,2,John O'Hurley,0.13986349,0.10892129,0.07702257,0.06585902,0.25816703
1,2,Kelly Monaco,0.4059322,0.36422867,0.123029955,0.31326216,0.5950888
1,2,Evander Holyfield,0.31857213,0.32577008,0.114931405,0.1797445,0.46739608
1,2,Rachel Hunter,0.040464953,0.030222256,0.03468986,0.0031821628,0.094263636
1,2,Joey McIntyre,0.08028587,0.09123547,0.043528832,0.026976047,0.12998605
1,2,Trista Sutter,0.014881354,0.01337795,0.01171516,0.0028573682,0.03261299
1,3,John O'Hurley,0.21539377,0.15516883,0.13818803,0.07904273,0.35575616
1,3,Kelly Monaco,0.39310923,0.38723648,0.19041121,0.11304802,0.6061104
1,3,Evander Holyfield,0.069897816,0.054452643,0.049004294,0.015853573,0.14571954
1,3,Rachel Hunter,0.15358259,0.13435644,0.09215487,0.0781635,0.17444444
1,3,Joey McIntyre,0.16801657,0.11836556,0.1490698,0.020146152,0.39680532
1,4,John O'Hurley,0.30104256,0.29766095,0.21054573,0.023680355,0.5501524
1,4,Kelly Monaco,0.13053815,0.09976816,0.10837072,0.03286822,0.22459213
1,4,Rachel Hunter,0.006776247,0.006673692,0.0040343213,0.0029209063,0.01000323
1,4,Joey McIntyre,0.56164306,0.5677234,0.22519264,0.369793,0.84256756
1,5,John O'Hurley,0.3395915,0.33911294,0.082430154,0.22200723,0.45197123
1,5,Kelly Monaco,0.38831806,0.44770414,0.13547266,0.18693915,0.5182569
1,5,Joey McIntyre,0.27209046,0.24216348,0.16201371,0.09885088,0.4129929
1,6,John O'Hurley,0.40730658,0.4057901,0.14254984,0.2173821,0.5247556
1,6,Kelly Monaco,0.5926934,0.5942099,0.14254984,0.4752444,0.78261787
2,1,Tatum O'Neal,0.0025605229,0.002097847,0.0016416329,0.0008334506,0.004155245
2,1,Tia Carrere,0.011136838,0.0019988883,0.019217813,0.000699622,0.024974354
2,1,George Hamilton,0.014898274,0.014434032,0.0056993105,0.008041707,0.02352452
2,1,Lisa Rinna,0.04269873,0.018140025,0.059848413,0.002231047,0.11671166
2,1,Stacy Keibler,0.14643545,0.13299887,0.11002458,0.017068762,0.2614813
2,1,Jerry Rice,0.3465266,0.32441488,0.16178694,0.1873497,0.55846006
2,1,Giselle Fernandez,0.0016139201,0.00018305582,0.0026744343,4.8033166e-05,0.0045178668
2,1,Master P,0.17333068,0.13863605,0.09694033,0.09170873,0.34076512
2,1,Drew Lachey,0.25979725,0.2767626,0.15205057,0.05585314,0.45961723
2,1,Kenny Mayne,0.0010017414,0.00092808285,0.0005321502,0.0003899876,0.0017384347
