season,week,celebrity_name,s_mean,s_std,s_p10,s_p90
1,1,John O'Hurley,0.6487234,0.041984282,0.6055917,0.6846104
1,2,John O'Hurley,0.3140597,0.060990594,0.24493124,0.361827
1,3,John O'Hurley,0.4853911,0.06137013,0.40826634,0.5630046
1,4,John O'Hurley,0.30076054,0.04603748,0.26965383,0.3434855
1,5,John O'Hurley,0.3869283,0.06437405,0.31870508,0.476111
1,6,John O'Hurley,0.8716996,0.06040011,0.78578365,0.9206769
1,1,Kelly Monaco,0.034224663,0.0073142857,0.028341033,0.03779368
1,2,Kelly Monaco,0.18507892,0.041320845,0.13774699,0.21748573
1,3,Kelly Monaco,0.24801244,0.045749165,0.19191994,0.28278762
1,4,Kelly Monaco,0.13138308,0.015068573,0.11484553,0.15197791
1,5,Kelly Monaco,0.29711792,0.08294532,0.18930654,0.404236
1,6,Kelly Monaco,0.12830047,0.060400106,0.079323165,0.21421635
1,1,Evander Holyfield,0.05196922,0.013472672,0.036234964,0.069530964
1,2,Evander Holyfield,0.34329566,0.055141784,0.25375837,0.40501794
1,3,Evander Holyfield,0.027526332,0.007880611,0.016839908,0.03706695
1,1,Rachel Hunter,0.04771166,0.011230756,0.03379945,0.060944524
1,2,Rachel Hunter,0.04804496,0.009535606,0.038917106,0.057010997
1,3,Rachel Hunter,0.029527262,0.009876168,0.016431909,0.040468417
1,4,Rachel Hunter,0.061360795,0.014776556,0.04907799,0.08655471
1,1,Joey McIntyre,0.1674399,0.03734534,0.14267635,0.21058738
1,2,Joey McIntyre,0.082350075,0.031409383,0.04339642,0.1299797
1,3,Joey McIntyre,0.20954287,0.039666045,0.16021244,0.25745055
1,4,Joey McIntyre,0.5064956,0.051948324,0.45416984,0.55658597
1,5,Joey McIntyre,0.31595382,0.064752884,0.22055016,0.39218396
1,1,Trista Sutter,0.049931165,0.013183348,0.03892739,0.06968691
1,2,Trista Sutter,0.027170734,0.007212934,0.019524686,0.031783447
2,1,Tatum O'Neal,0.009180891,0.004377385,0.0054612644,0.01620052
2,2,Tatum O'Neal,0.025240809,0.015280723,0.008357883,0.045281168
2,1,Tia Carrere,0.01752567,0.011442581,0.0064684935,0.03315064
2,2,Tia Carrere,0.01762804,0.00579389,0.012226024,0.02326464
2,3,Tia Carrere,0.015363052,0.0063824356,0.0074629774,0.022021182
2,4,Tia Carrere,0.047459412,0.009498403,0.036930963,0.059123036
2,5,Tia Carrere,0.024396332,0.0049562943,0.018155457,0.028549416
2,1,George Hamilton,0.028523332,0.0031113578,0.025800565,0.03221046
2,2,George Hamilton,0.007141657,0.0035326248,0.0032734822,0.01158676
2,3,George Hamilton,0.015284329,0.010758803,0.0062416666,0.03164629
2,4,George Hamilton,0.029484427,0.0063100136,0.02335037,0.03819371
2,5,George Hamilton,0.02508185,0.008648937,0.018126495,0.036328826
2,6,George Hamilton,0.03133952,0.007838158,0.023077665,0.04468492
2,1,Lisa Rinna,0.036721732,0.0074823936,0.03084089,0.045104764
2,2,Lisa Rinna,0.08511805,0.025107374,0.050873503,0.111205585
2,3,Lisa Rinna,0.12903148,0.042931914,0.081370376,0.18700415
2,4,Lisa Rinna,0.06953196,0.017467784,0.05252139,0.09045589
2,5,Lisa Rinna,0.055976976,0.015364608,0.04274914,0.069140814
2,6,Lisa Rinna,0.074312605,0.052639466,0.036613293,0.16911644
2,7,Lisa Rinna,0.017104179,0.012472618,0.006427067,0.032491647
2,1,Stacy Keibler,0.22649246,0.049543973,0.16566272,0.28922182
2,2,Stacy Keibler,0.2041821,0.057799116,0.1154681,0.2659988
2,3,Stacy Keibler,0.30789378,0.07390505,0.22902776,0.42030612
2,4,Stacy Keibler,0.41148022,0.049918532,0.3494541,0.4817878
2,5,Stacy Keibler,0.4427229,0.077441975,0.34615567,0.52743393
2,6,Stacy Keibler,0.5839435,0.10944144,0.41409662,0.69819665
2,7,Stacy Keibler,0.41782793,0.046255443,0.3472508,0.47317326
