season,temp,lam_hard,lam_final,match_rate
1,0.5,50.0,0.0,1.0
10,0.5,50.0,0.0,0.9
34,0.5,50.0,0.0,1.0
1,0.5,50.0,5.0,0.8333333333333334
10,0.5,50.0,5.0,1.0
34,0.5,50.0,5.0,0.9090909090909091
1,0.5,50.0,10.0,0.6666666666666666
10,0.5,50.0,10.0,0.9
34,0.5,50.0,10.0,0.8181818181818182
1,0.5,150.0,0.0,1.0
10,0.5,150.0,0.0,1.0
34,0.5,150.0,0.0,1.0
1,0.5,150.0,5.0,0.8333333333333334
10,0.5,150.0,5.0,1.0
34,0.5,150.0,5.0,0.9090909090909091
1,0.5,150.0,10.0,0.8333333333333334
10,0.5,150.0,10.0,1.0
34,0.5,150.0,10.0,0.9090909090909091
1,0.7,50.0,0.0,1.0
10,0.7,50.0,0.0,1.0
34,0.7,50.0,0.0,1.0
1,0.7,50.0,5.0,0.6666666666666666
10,0.7,50.0,5.0,0.9
34,0.7,50.0,5.0,0.9090909090909091
1,0.7,50.0,10.0,0.6666666666666666
10,0.7,50.0,10.0,1.0
34,0.7,50.0,10.0,0.9090909090909091
1,0.7,150.0,0.0,1.0
10,0.7,150.0,0.0,1.0
34,0.7,150.0,0.0,1.0
1,0.7,150.0,5.0,0.8333333333333334
10,0.7,150.0,5.0,1.0
34,0.7,150.0,5.0,1.0
1,0.7,150.0,10.0,0.8333333333333334
10,0.7,150.0,10.0,1.0
34,0.7,150.0,10.0,1.0
1,1.0,50.0,0.0,1.0
10,1.0,50.0,0.0,1.0
34,1.0,50.0,0.0,1.0
1,1.0,50.0,5.0,0.6666666666666666
10,1.0,50.0,5.0,0.9
34,1.0,50.0,5.0,1.0
1,1.0,50.0,10.0,0.6666666666666666
10,1.0,50.0,10.0,1.0
34,1.0,50.0,10.0,0.9090909090909091
1,1.0,150.0,0.0,1.0
10,1.0,150.0,0.0,1.0
34,1.0,150.0,0.0,1.0
1,1.0,150.0,5.0,0.8333333333333334
10,1.0,150.0,5.0,1.0
34,1.0,150.0,5.0,1.0
1,1.0,150.0,10.0,0.8333333333333334
10,1.0,150.0,10.0,0.9
34,1.0,150.0,10.0,0.9090909090909091
