season,week,celebrity_name,s_map
1,1,John O'Hurley,0.1903000762641861
1,1,Kelly Monaco,0.3363662531897498
1,1,Evander Holyfield,0.18023389562319847
1,1,Rachel Hunter,0.05841600150573625
1,1,Joey McIntyre,0.1873016299715147
1,1,Trista Sutter,0.047382143445614824
1,2,John O'Hurley,0.19030008
1,2,Kelly Monaco,0.33636625
1,2,Evander Holyfield,0.1802339
1,2,Rachel Hunter,0.058416002
1,2,Joey McIntyre,0.18730163
1,2,Trista Sutter,0.047382143
1,3,John O'Hurley,0.20516528
1,3,Kelly Monaco,0.36123909
1,3,Evander Holyfield,0.17862098
1,3,Rachel Hunter,0.059600349
1,3,Joey McIntyre,0.1953743
1,4,John O'Hurley,0.25234467
1,4,Kelly Monaco,0.42204792
1,4,Rachel Hunter,0.073262732
1,4,Joey McIntyre,0.25234467
1,5,John O'Hurley,0.2680021349746045
1,5,Kelly Monaco,0.4847842889190217
1,5,Joey McIntyre,0.24721357610637384
1,6,John O'Hurley,0.2680021349746045
1,6,Kelly Monaco,0.4847842889190217
1,6,Joey McIntyre,0.24721357610637384
2,1,Tatum O'Neal,0.026801327
2,1,Tia Carrere,0.058485078
2,1,George Hamilton,0.10855876
2,1,Lisa Rinna,0.11347913
2,1,Stacy Keibler,0.10103697
2,1,Jerry Rice,0.21778597
2,1,Giselle Fernandez,0.025568136
2,1,Master P,0.19401171
2,1,Drew Lachey,0.10233867
2,1,Kenny Mayne,0.05193425
2,2,Tatum O'Neal,0.028185568
2,2,Tia Carrere,0.062102708
2,2,George Hamilton,0.11444102
2,2,Lisa Rinna,0.12078378
2,2,Stacy Keibler,0.10919477
2,2,Jerry Rice,0.22988744
2,2,Giselle Fernandez,0.027219689
2,2,Master P,0.19762945
2,2,Drew Lachey,0.11055558
2,3,Tia Carrere,0.062972468
2,3,George Hamilton,0.11667963
2,3,Lisa Rinna,0.12565171
2,3,Stacy Keibler,0.11670827
2,3,Jerry Rice,0.24045058
2,3,Giselle Fernandez,0.027084262
2,3,Master P,0.19233458
2,3,Drew Lachey,0.1181185
2,4,Tia Carrere,0.059242511
2,4,George Hamilton,0.12123442
2,4,Lisa Rinna,0.14358186
2,4,Stacy Keibler,0.12123442
2,4,Jerry Rice,0.26754307
2,4,Master P,0.14358186
2,4,Drew Lachey,0.14358186
2,5,Tia Carrere,0.064001311
2,5,George Hamilton,0.13695524
2,5,Lisa Rinna,0.16297502
2,5,Stacy Keibler,0.14031879
2,5,Jerry Rice,0.3333411
2,5,Drew Lachey,0.16240854
2,6,George Hamilton,0.13309623
2,6,Lisa Rinna,0.163922
2,6,Stacy Keibler,0.14935375
2,6,Jerry Rice,0.38391347
2,6,Drew Lachey,0.16971454
2,7,Lisa Rinna,0.16822031
2,7,Stacy Keibler,0.1842307
2,7,Jerry Rice,0.44338576
2,7,Drew Lachey,0.20416324
2,8,Stacy Keibler,0.24106537062059674
2,8,Jerry Rice,0.4980998223077767
2,8,Drew Lachey,0.26083480707162643
3,1,Harry Hamlin,0.049904292619287985
3,1,Vivica A. Fox,0.026319386958910614
3,1,Monique Coleman,0.09117294833362559
3,1,Joey Lawrence,0.10594863292261542
3,1,Mario Lopez,0.12291951678875992
3,1,Emmitt Smith,0.16588669441285528
3,1,Shanna Moakler,0.045187311487212514
3,1,Willa Ford,0.03215912689351195
3,1,Sara Evans,0.07918910798833712
3,1,Jerry Springer,0.20782478331521828
3,1,Tucker Carlson,0.07348819827966534
3,2,Harry Hamlin,0.05417449911916059
3,2,Vivica A. Fox,0.031212257364107376
3,2,Monique Coleman,0.09599148388325973
3,2,Joey Lawrence,0.10872930929657042
3,2,Mario Lopez,0.12360423126169966
3,2,Emmitt Smith,0.1723908867535461
3,2,Shanna Moakler,0.03990690953802041
3,2,Willa Ford,0.03783981324592178
3,2,Sara Evans,0.092530968903929
3,2,Jerry Springer,0.24361964063378486
3,3,Harry Hamlin,0.044720254329164245
3,3,Vivica A. Fox,0.02846515788301857
3,3,Monique Coleman,0.10121915984062814
3,3,Joey Lawrence,0.11663825717056145
3,3,Mario Lopez,0.13652640896073515
3,3,Emmitt Smith,0.19230993805494945
3,3,Willa Ford,0.044721254329164246
3,3,Sara Evans,0.09214531182417904
3,3,Jerry Springer,0.2432542576075998
3,4,Vivica A. Fox,0.029385622001292907
3,4,Monique Coleman,0.10554611770463801
3,4,Joey Lawrence,0.12553784160079948
3,4,Mario Lopez,0.1560190264092269
3,4,Emmitt Smith,0.22555803670937927
3,4,Willa Ford,0.03823731274172933
3,4,Sara Evans,0.08749652927159626
3,4,Jerry Springer,0.23221951356133777
3,5,Monique Coleman,0.0986370465613894
3,5,Joey Lawrence,0.12253298409854037
3,5,Mario Lopez,0.17070511410591832
3,5,Emmitt Smith,0.2764150587814564
3,5,Willa Ford,0.027601760025452466
3,5,Sara Evans,0.07810999400090056
3,5,Jerry Springer,0.22599804242634242
3,6,Monique Coleman,0.09378802849853243
3,6,Joey Lawrence,0.12017125645939983
3,6,Mario Lopez,0.20426321208802936
3,6,Emmitt Smith,0.3860356584301116
3,6,Jerry Springer,0.19574184452392676
3,7,Monique Coleman,0.10877813021434952
3,7,Joey Lawrence,0.10816996138704507
3,7,Mario Lopez,0.20071079032275904
3,7,Emmitt Smith,0.44393435823186717
3,7,Jerry Springer,0.13840675984397918
3,8,Monique Coleman,0.11449580283536367
3,8,Joey Lawrence,0.1233515065831878
3,8,Mario Lopez,0.20531912981890352
3,8,Emmitt Smith,0.556833560762545
3,9,Joey Lawrence,0.12958775323147384
3,9,Mario Lopez,0.27463690573945077
3,9,Emmitt Smith,0.5957753410290755
3,10,Joey Lawrence,0.11894474624363982
3,10,Mario Lopez,0.28502107517570385
3,10,Emmitt Smith,0.5960341785806563
4,1,John Ratzenberger,0.14120136574798917
4,1,Ian Ziering,0.10053782763457683
4,1,Clyde Drexler,0.13671286654092277
4,1,Laila Ali,0.0981735981382212
4,1,Apolo Anton Ohno,0.08488840211363861
4,1,Shandi Finnessey,0.02530349200242044
4,1,Paulina Porizkova,0.017951927112755908
4,1,Heather Mills,0.0492155073583888
4,1,Billy Ray Cyrus,0.21379484053166342
4,1,Joey Fatone,0.08712122490278723
4,1,Leeza Gibbons,0.045098947916635615
4,2,John Ratzenberger,0.14039512950548602
4,2,Ian Ziering,0.10130275893554994
4,2,Clyde Drexler,0.13290400882835302
4,2,Laila Ali,0.10056304675702353
4,2,Apolo Anton Ohno,0.08618809214306354
4,2,Shandi Finnessey,0.02388162052395111
4,2,Paulina Porizkova,0.017423929256498372
4,2,Heather Mills,0.04709283183863352
4,2,Billy Ray Cyrus,0.21912399816821695
4,2,Joey Fatone,0.08858524697129902
4,2,Leeza Gibbons,0.042539337071924865
4,3,John Ratzenberger,0.13956041434674923
4,3,Ian Ziering,0.10518154640724187
4,3,Clyde Drexler,0.12306142925941643
4,3,Laila Ali,0.10931538618220311
4,3,Apolo Anton Ohno,0.09167115580011095
4,3,Shandi Finnessey,0.021199999657315737
4,3,Heather Mills,0.04230879884814026
4,3,Billy Ray Cyrus,0.2366954646466501
4,3,Joey Fatone,0.09456130674560702
4,3,Leeza Gibbons,0.03644449810656524
4,4,John Ratzenberger,0.13437476838190948
4,4,Ian Ziering,0.10931675136977533
4,4,Clyde Drexler,0.10509919608329671
4,4,Laila Ali,0.1230283475188469
4,4,Apolo Anton Ohno,0.09929432319339263
4,4,Heather Mills,0.03589398830814414
4,4,Billy Ray Cyrus,0.26036701454591094
4,4,Joey Fatone,0.10307070696460278
4,4,Leeza Gibbons,0.029554903634121114
4,5,John Ratzenberger,0.12165936835267244
4,5,Ian Ziering,0.11410342505137995
4,5,Clyde Drexler,0.07944227371726317
4,5,Laila Ali,0.14531070897416695
