season,n_contestants,total_weeks_with_elim,agreement_count,disagreement_count,agreement_rate,rank_favors_by_judge,pct_favors_by_judge,rank_favors_by_fan,pct_favors_by_fan
1,6,4,4,0,1.0,0,0,0,0
2,10,7,7,0,1.0,0,0,0,0
3,11,8,7,1,0.875,1,0,1,0
4,11,8,7,1,0.875,1,0,1,0
5,12,9,7,2,0.7778,2,0,2,0
6,12,8,7,1,0.875,1,0,1,0
7,13,8,7,1,0.875,1,0,1,0
8,13,9,7,2,0.7778,1,0,1,0
9,16,9,3,6,0.3333,3,0,3,0
10,11,8,8,0,1.0,0,0,0,0
11,12,9,7,2,0.7778,2,0,2,0
12,11,8,6,2,0.75,2,0,2,0
13,12,9,6,3,0.6667,3,0,3,0
14,12,8,4,4,0.5,4,0,4,0
15,13,7,7,0,1.0,0,0,0,0
16,12,8,2,6,0.25,6,0,6,0
17,12,8,4,4,0.5,4,0,4,0
18,12,7,3,4,0.4286,3,0,3,0
19,13,9,5,4,0.5556,4,0,4,0
20,12,8,3,5,0.375,5,0,5,0
21,13,6,1,5,0.1667,3,0,3,0
22,12,7,5,2,0.7143,2,0,2,0
23,13,8,7,1,0.875,1,0,1,0
24,12,8,1,7,0.125,6,0,6,0
25,13,7,5,2,0.7143,2,0,2,0
26,10,3,2,1,0.6667,0,0,0,0
27,13,7,1,6,0.1429,4,0,4,0
28,12,7,5,2,0.7143,2,0,2,0
29,15,9,6,3,0.6667,3,0,3,0
30,15,8,5,3,0.625,3,0,3,0
31,16,9,7,2,0.7778,2,0,2,0
32,14,9,5,4,0.5556,4,0,4,0
33,13,6,4,2,0.6667,2,0,2,0
34,14,8,7,1,0.875,1,0,1,0
