season,mean_kendall_tau,max_kendall_tau,mean_displacement,max_displacement,distinct_winners,rule_sensitivity,weeks_elim_differ,total_elim_weeks,kendall_rank_judge_save_vs_rank_fan_decide,kendall_rank_judge_save_vs_percent_judge_save,kendall_rank_judge_save_vs_percent_fan_decide,kendall_rank_fan_decide_vs_percent_judge_save,kendall_rank_fan_decide_vs_percent_fan_decide,kendall_percent_judge_save_vs_percent_fan_decide,disp_rank_judge_save_vs_rank_fan_decide,disp_rank_judge_save_vs_percent_judge_save,disp_rank_judge_save_vs_percent_fan_decide,disp_rank_fan_decide_vs_percent_judge_save,disp_rank_fan_decide_vs_percent_fan_decide,disp_percent_judge_save_vs_percent_fan_decide,winner_rank_judge_save,winner_rank_fan_decide,winner_percent_judge_save,winner_percent_fan_decide
1,0.0,0.0,0.0,0.0,1,0.0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kelly Monaco,Kelly Monaco,Kelly Monaco,Kelly Monaco
2,0.0,0.0,0.0,0.0,1,0.0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Drew Lachey,Drew Lachey,Drew Lachey,Drew Lachey
4,0.024242424242424242,0.03636363636363636,0.24242424242424243,0.36363636363636365,1,0.14545454545454545,3,10,0.0,0.03636363636363636,0.03636363636363636,0.03636363636363636,0.03636363636363636,0.0,0.0,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.0,Apolo Anton Ohno,Apolo Anton Ohno,Apolo Anton Ohno,Apolo Anton Ohno
5,0.050505050505050504,0.07575757575757576,0.4444444444444444,0.6666666666666666,1,0.30303030303030304,4,11,0.0,0.07575757575757576,0.07575757575757576,0.07575757575757576,0.07575757575757576,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,Helio Castroneves,Helio Castroneves,Helio Castroneves,Helio Castroneves
7,0.0,0.0,0.0,0.0,1,0.0,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brooke Burke,Brooke Burke,Brooke Burke,Brooke Burke
11,0.08080808080808081,0.12121212121212122,0.6666666666666666,1.0,1,0.48484848484848486,7,11,0.0,0.12121212121212122,0.12121212121212122,0.12121212121212122,0.12121212121212122,0.0,0.0,1.0,1.0,1.0,1.0,0.0,Jennifer Grey,Jennifer Grey,Jennifer Grey,Jennifer Grey
13,0.06060606060606061,0.09090909090909091,0.5555555555555556,0.8333333333333334,1,0.36363636363636365,4,11,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,J.R. Martinez,J.R. Martinez,J.R. Martinez,J.R. Martinez
17,0.050505050505050504,0.07575757575757576,0.4444444444444444,0.6666666666666666,1,0.30303030303030304,4,11,0.0,0.07575757575757576,0.07575757575757576,0.07575757575757576,0.07575757575757576,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,Amber Riley,Amber Riley,Amber Riley,Amber Riley
19,0.05982905982905983,0.08974358974358974,0.717948717948718,1.0769230769230769,1,0.358974358974359,7,12,0.0,0.08974358974358974,0.08974358974358974,0.08974358974358974,0.08974358974358974,0.0,0.0,1.0769230769230769,1.0769230769230769,1.0769230769230769,1.0769230769230769,0.0,Alfonso Ribeiro,Alfonso Ribeiro,Alfonso Ribeiro,Alfonso Ribeiro
21,0.13675213675213674,0.20512820512820512,1.2307692307692308,1.8461538461538463,2,0.8205128205128205,7,12,0.0,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.0,0.0,1.8461538461538463,1.8461538461538463,1.8461538461538463,1.8461538461538463,0.0,Carlos PenaVega,Carlos PenaVega,Bindi Irwin,Bindi Irwin
24,0.10101010101010101,0.15151515151515152,1.0,1.5,1,0.6060606060606061,7,11,0.0,0.15151515151515152,0.15151515151515152,0.15151515151515152,0.15151515151515152,0.0,0.0,1.5,1.5,1.5,1.5,0.0,Rashad Jennings,Rashad Jennings,Rashad Jennings,Rashad Jennings
27,0.10256410256410257,0.15384615384615385,1.0256410256410258,1.5384615384615385,2,0.6153846153846154,7,12,0.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.0,0.0,1.5384615384615385,1.5384615384615385,1.5384615384615385,1.5384615384615385,0.0,Evanna Lynch,Evanna Lynch,Bobby Bones,Bobby Bones
34,0.402930402930403,0.5934065934065934,3.357142857142857,5.0,2,2.417582417582418,6,13,0.0,0.5934065934065934,0.5054945054945055,0.5934065934065934,0.5054945054945055,0.21978021978021978,0.0,5.0,4.285714285714286,5.0,4.285714285714286,1.5714285714285714,Robert Irwin,Robert Irwin,Whitney Leavitt,Robert Irwin
