season,celebrity_name,n_contestants,placement,mean_judge_score,judge_rank_in_season,judge_percentile,placement_percentile,controversy_score,weeks_lowest_judge_score,low_judge_high_place,high_judge_low_place,controversy_posterior,controversial,in_list_reason,controversy_type
1,Kelly Monaco,6,1,21.333333333333332,3,0.6,1.0,0.4,1,False,False,0.9893051527578403,True,mixture,fan_favored
1,Rachel Hunter,6,4,23.75,2,0.8,0.4,0.4,0,False,True,0.9893051527578403,True,mixture,judge_favored
2,Jerry Rice,10,2,22.520825000000002,6,0.4444444444444444,0.8888888888888888,0.4444444444444444,2,True,False,0.9986155567503293,True,mixture,fan_favored
4,Shandi Finnessey,11,10,20.0,6,0.5,0.09999999999999998,0.4,0,False,True,0.9893051527578403,True,mixture,judge_favored
4,Paulina Porizkova,11,11,20.0,7,0.4,0.0,0.4,0,False,False,0.9893051527578403,True,mixture,judge_favored
4,Billy Ray Cyrus,11,5,19.0,9,0.2,0.6,0.39999999999999997,3,True,False,0.9893051527578403,True,mixture,fan_favored
5,Sabrina Bryan,12,7,27.0,2,0.9090909090909091,0.4545454545454546,0.4545454545454545,0,False,True,0.999119902026159,True,mixture,judge_favored
5,Marie Osmond,12,3,24.25,7,0.45454545454545453,0.8181818181818181,0.3636363636363636,4,True,False,0.9413728607697187,True,mixture,fan_favored
7,Cloris Leachman,13,7,17.5,12,0.08333333333333333,0.5,0.4166666666666667,4,True,False,0.9950753491195392,True,mixture,fan_favored
11,Bristol Palin,12,3,22.91664,7,0.45454545454545453,0.8181818181818181,0.3636363636363636,5,True,False,0.9413728607697187,True,mixture,fan_favored
13,Chynna Phillips,12,9,22.5,5,0.6363636363636364,0.2727272727272727,0.36363636363636365,0,False,True,0.9413728607697189,True,mixture,judge_favored
17,Bill Engvall,12,4,23.409072727272726,9,0.2727272727272727,0.7272727272727273,0.4545454545454546,6,True,False,0.999119902026159,True,mixture,fan_favored
19,Michael Waltrip,13,7,25.625,12,0.08333333333333333,0.5,0.4166666666666667,4,True,False,0.9950753491195392,True,mixture,fan_favored
21,Alek Skarlatos,13,3,26.727263636363638,8,0.4166666666666667,0.8333333333333334,0.4166666666666667,2,True,False,0.9950753491195392,True,mixture,fan_favored
24,Heather Morris,12,8,32.833333333333336,4,0.7272727272727273,0.36363636363636365,0.36363636363636365,0,False,True,0.9413728607697189,True,mixture,judge_favored
24,David Ross,12,2,31.28333,6,0.5454545454545454,0.9090909090909091,0.36363636363636365,3,False,False,0.9413728607697189,True,mixture,fan_favored
27,Bobby Bones,13,1,22.38888888888889,8,0.4166666666666667,1.0,0.5833333333333333,2,True,False,0.9999958263774199,True,mixture,fan_favored
27,Tinashe,13,10,25.5,5,0.6666666666666666,0.25,0.41666666666666663,0,False,True,0.9950753491195392,True,mixture,judge_favored
27,Joe Amabile,13,6,18.75,11,0.16666666666666666,0.5833333333333333,0.41666666666666663,6,True,False,0.9950753491195392,True,mixture,fan_favored
30,Iman Shumpert,15,1,31.1,6,0.6428571428571429,1.0,0.3571428571428571,1,False,False,0.9210536879793179,True,mixture,fan_favored
34,Whitney Leavitt,14,6,31.05,1,1.0,0.6153846153846154,0.3846153846153846,0,False,False,0.9779932970500814,True,mixture,judge_favored
