group,n,r,p
industry_Actor/Actress,128,0.2981202404278023,0.0006312523249930975
industry_Athlete,95,0.509151605196623,1.372765917067805e-07
industry_Comedian,12,0.5429255934990211,0.06813938262241809
industry_Model,17,0.38762976387395404,0.12421059274609458
industry_Other,29,0.5032363020412514,0.005390723665495634
industry_Singer/Rapper,61,0.19619195223215535,0.12967679650973665
industry_TV Personality,67,0.2920157259666557,0.016494504905676124
age_<30,127,0.30729842424070747,0.0004409697657878891
age_30-40,126,0.2070237427096165,0.02002210738875694
age_40-50,89,0.3661621833661179,0.00041724851811054915
age_50+,79,0.35619108675535227,0.0012738842335661491
