celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,norm_name,success_score,week1_total,week2_total,week3_total,mean_judge_w1_3,fan_w1,fan_w2,fan_w3,mean_fan_w1_3,judge_slope,fan_slope,age,industry,partner,country,homestate,industry_b,partner_b
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,7.0,7.0,6.0,,8.0,9.0,9.0,,9.0,8.0,7.0,,7.0,8.0,6.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,john ohurley,0.8,20.0,26.0,24.0,23.333333333333332,0.1618955827276668,0.163399253524318,0.1640541497193003,0.16311632865709502,1.999999999999999,0.0010792834958167647,50,Actor/Actress,Charlotte Jorgensen,United States,Maine,Actor/Actress,Other
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,5.0,4.0,4.0,,5.0,6.0,6.0,,6.0,7.0,8.0,,9.0,9.0,8.0,,8.5,7.5,7.5,,8.5,9.5,9.5,,,,,,,,,,,,,,,,,,,,,,kelly monaco,1.0,13.0,17.0,21.0,17.0,0.1950152674995765,0.1941174569797221,0.1944844750041696,0.1945390664944894,4.0,-0.00026539624770347036,29,Actor/Actress,Alec Mazo,United States,Pennsylvania,Actor/Actress,Other
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,5.0,7.0,6.0,,5.0,4.0,5.0,,5.0,4.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,evander holyfield,0.19999999999999996,18.0,14.0,13.0,15.0,0.1779357141051208,0.1763001748015064,0.1756419586022259,0.17662594916961769,-2.4999999999999964,-0.0011468777514474547,42,Athlete,Edyta Sliwinska,United States,Alabama,Athlete,Other
Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,1,Eliminated Week 4,4,7.0,6.0,7.0,,8.0,8.0,8.0,,8.0,9.0,9.0,,7.0,9.0,9.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,rachel hunter,0.4,20.0,24.0,26.0,23.333333333333332,0.1537603642750815,0.1547112491979855,0.1555500837239945,0.15467389906568718,2.999999999999997,0.0008948597244564904,35,Model,Jonathan Roberts,New Zealand,Unknown,Model,Other
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,7.0,7.0,6.0,,8.0,7.0,6.0,,7.0,7.0,8.0,,7.0,6.0,7.0,,8.5,7.0,7.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,joey mcintyre,0.6,20.0,21.0,22.0,21.0,0.1806145228407374,0.1808938486517532,0.1813634408105178,0.18095727076766946,0.9999999999999954,0.0003744589848902183,32,Singer/Rapper,Ashly DelGrosso,United States,Massachusetts,Singer/Rapper,Other
Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,1,Eliminated Week 2,6,6.0,6.0,6.0,,6.0,7.0,6.0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,trista sutter,0.0,18.0,19.0,,18.5,0.1307785485518167,0.1305780168447146,0.1289058921397916,0.13008748584544097,0.9999999999999964,-0.0009363282060125482,32,TV Personality,Louis van Amstel,United States,Indiana,TV Personality,Other
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,7.0,8.0,8.0,,5.0,6.0,6.0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,tatum oneal,0.11111111111111116,23.0,17.0,,20.0,0.0626240613465444,0.0614740826283606,0.0597424484983,0.06128019749106833,-6.0000000000000036,-0.0014408064241222035,42,Actor/Actress,Nick Kosovich,United States,California,Actor/Actress,Other
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,6.0,7.0,7.0,,7.0,8.0,7.0,,9.0,8.0,9.0,,9.0,8.0,8.0,,7.0,7.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,tia carrere,0.4444444444444444,20.0,22.0,26.0,22.666666666666668,0.099862363917848,0.1007283963180766,0.1117365855740325,0.10410911526998569,3.0,0.005937110828092244,39,Actor/Actress,Maksim Chmerkoskiy,United States,Hawaii,Actor/Actress,Maksim Chmerkoskiy
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,7.0,5.0,6.0,,8.0,7.0,7.0,,7.0,7.0,8.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,8.0,7.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,george hamilton,0.5555555555555556,18.0,22.0,22.0,20.666666666666668,0.1073180847116062,0.1082487750622492,0.1176596679943604,0.11107550925607194,2.0000000000000013,0.005170791641377101,66,Actor/Actress,Edyta Sliwinska,United States,Tennessee,Actor/Actress,Other
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,5.0,7.0,7.0,,6.0,7.0,7.0,,8.0,8.0,9.0,,9.0,9.0,8.0,,7.0,9.0,9.0,,9.0,9.0,9.0,,8.5,9.0,9.0,,0.0,0.0,0.0,,,,,,,,,,,,,,lisa rinna,0.6666666666666667,19.0,20.0,25.0,21.333333333333332,0.1143847339565842,0.1141296390199106,0.1259598712320525,0.1181580814028491,2.9999999999999982,0.005787568637734134,42,Actor/Actress,Louis van Amstel,United States,California,Actor/Actress,Other
