partner_b,mean_resid,n
Derek Hough,0.2748436353360537,17
Cheryl Burke,0.10996020166170897,25
Kym Johnson,0.07543483879791626,14
Witney Carson,0.05695740509647386,14
Maksim Chmerkoskiy,0.04472184794629386,17
Valentin Chmerkovskiy,0.043307106832079334,19
Sharna Burgess,0.032378185207973795,14
Emma Slater,0.003622450221085975,16
Mark Ballas,-0.013659784980207987,21
Peta Murgatroyd,-0.02035152069868678,15
Tony Dovolani,-0.027226922199183465,21
Karina Smirnoff,-0.03530198788792085,18
Other,-0.04557080502317444,210
