season,celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry_region,celebrity_age_during_season,placement_final,placement_source
1,Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,5,placement_col
1,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3,placement_col
1,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2,placement_col
1,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,placement_col
1,Rachel Hunter,Jonathan Roberts,Model,NA,New Zealand,35,4,placement_col
1,Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,6,placement_col
2,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1,placement_col
2,George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,5,placement_col
2,Giselle Fernandez,Jonathan Roberts,News Anchor,NA,Mexico,44,8,placement_col
2,Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,placement_col
2,Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,10,placement_col
2,Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,4,placement_col
2,Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,7,placement_col
2,Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,3,placement_col
2,Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,9,placement_col
2,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,6,placement_col
3,Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,1,placement_col
3,Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,9,placement_col
3,Jerry Springer,Kym Johnson,TV Personality,NA,England,62,5,placement_col
3,Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,placement_col
3,Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,2,placement_col
3,Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,4,placement_col
3,Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,6,placement_col
3,Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,10,placement_col
3,Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,11,placement_col
3,Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,8,placement_col
3,Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,7,placement_col
4,Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,1,placement_col
4,Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,5,placement_col
4,Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,8,placement_col
4,Heather Mills,Jonathan Roberts,Model,NA,England,39,7,placement_col
4,Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,placement_col
4,Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,2,placement_col
4,John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,6,placement_col
4,Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,3,placement_col
4,Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,9,placement_col
4,Paulina Porizkova,Alec Mazo,Model,NA,Czechoslovakia,41,11,placement_col
4,Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,10,placement_col
5,Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,11,placement_col
5,Cameron Mathison,Edyta Sliwinska,Actor/Actress,NA,Canada,38,5,placement_col
5,Floyd Mayweather Jr.,Karina Smirnoff,Athlete,Michigan,United States,30,9,placement_col
5,Helio Castroneves,Julianne Hough,Racing Driver,NA,Brazil,32,1,placement_col
5,Jane Seymour,Tony Dovolani,Actor/Actress,NA,England,56,6,placement_col
5,Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,4,placement_col
5,Josie Maran,Alec Mazo,Model,California,United States,29,12,placement_col
5,Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,3,placement_col
5,Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,8,placement_col
5,Mel B,Maksim Chmerkoskiy,Singer/Rapper,NA,England,32,2,placement_col
5,Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,7,placement_col
5,Wayne Newton,Cheryl Burke,Singer/Rapper,Virginia,United States,65,10,placement_col
6,Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,9,placement_col
6,Cristian de la Fuente,Cheryl Burke,Actor/Actress,NA,Chile,34,3,placement_col
6,Jason Taylor,Edyta Sliwinska,Athlete,Pennsylvania,United States,33,2,placement_col
6,Kristi Yamaguchi,Mark Ballas,Athlete,California,United States,36,1,placement_col
6,Mario,Karina Smirnoff,Singer/Rapper,Maryland,United States,21,5,placement_col
6,Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,New York,United States,35,4,placement_col
6,Marlee Matlin,Fabian Sanchez,Actor/Actress,Illinois,United States,42,7,placement_col
6,Monica Seles,Jonathan Roberts,Athlete,NA,Yugoslavia,34,11,placement_col
6,Penn Jillette,Kym Johnson,Magician,Massachusetts,United States,53,12,placement_col
6,Priscilla Presley,Louis van Amstel,Actor/Actress,New York,United States,62,8,placement_col
6,Shannon Elizabeth,Derek Hough,Actor/Actress,Texas,United States,34,6,placement_col
6,Steve Guttenberg,Anna Trebunskaya,Actor/Actress,New York,United States,49,10,placement_col
7,Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,1,placement_col
7,Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,7,placement_col
7,Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,4,placement_col
7,Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,13,placement_col
7,Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,11,placement_col
7,Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,3,placement_col
7,Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,5,placement_col
7,Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,10,placement_col
7,Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,9,placement_col
7,Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,6,placement_col
7,Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,12,placement_col
7,Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,8,placement_col
7,Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,2,placement_col
8,Belinda Carlisle,Jonathan Roberts,Singer/Rapper,California,United States,50,13,placement_col
8,Chuck Wicks,Julianne Hough,Singer/Rapper,Delaware,United States,29,6,placement_col
8,David Alan Grier,Kym Johnson,Actor/Actress,Michigan,United States,52,9,placement_col
8,Denise Richards,Maksim Chmerkoskiy,Actor/Actress,Illinois,United States,38,12,placement_col
8,Gilles Marini,Cheryl Burke,Actor/Actress,NA,France,33,2,placement_col
8,Holly Madison,Dmitry Chaplin,TV Personality,Oregon,United States,30,11,placement_col
8,Lawrence Taylor,Edyta Sliwinska,Athlete,Virginia,United States,50,7,placement_col
8,Lil' Kim,Derek Hough,Singer/Rapper,New York,United States,34,5,placement_col
8,Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,26,3,placement_col
8,Shawn Johnson,Mark Ballas,Athlete,Iowa,United States,17,1,placement_col
8,Steve Wozniak,Karina Smirnoff,Entrepreneur,California,United States,58,10,placement_col
8,Steve-O,Lacey Schwimmer,TV Personality,NA,England,34,8,placement_col
8,Ty Murray,Chelsie Hightower,Athlete,Arizona,United States,39,4,placement_col
9,Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,5,placement_col
9,Ashley Hamiliton,Edyta Sliwinska,Actor/Actress,California,United States,34,16,placement_col
9,Chuck Liddell,Anna Trebunskaya,Athlete,California,United States,39,11,placement_col
9,Debi Mazar,Maksim Chmerkoskiy,Actor/Actress,New York,United States,45,12,placement_col
9,Donny Osmond,Kym Johnson,Singer/Rapper,Utah,United States,51,1,placement_col
9,Joanna Krupa,Derek Hough,Model,NA,Poland,30,4,placement_col
9,Kathy Ireland,Tony Dovolani,Model,California,United States,46,14,placement_col
9,Kelly Osbourne,Louis van Amstel,TV Personality,NA,England,24,3,placement_col
9,Louie Vito,Chelsie Hightower,Athlete,Ohio,United States,21,8,placement_col
9,Macy Gray,Jonathan Roberts,Singer/Rapper,Ohio,United States,42,15,placement_col
9,Mark Dacascos,Lacey Schwimmer,Actor/Actress,Hawaii,United States,45,6,placement_col
9,Melissa Joan Hart,Mark Ballas,Actor/Actress,New York,United States,33,9,placement_col
9,Michael Irvin,Anna Demidova,Athlete,Florida,United States,43,7,placement_col
9,Mya,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,2,placement_col
9,Natalie Coughlin,Alec Mazo,Athlete,California,United States,27,10,placement_col
9,Tom DeLay,Cheryl Burke,Politician,Texas,United States,62,13,placement_col
10,Aiden Turner,Edyta Sliwinska,Actor/Actress,NA,England,32,9,placement_col
10,Buzz Aldrin,Ashly DelGrosso,Astronaut,New Jersey,United States,80,10,placement_col
10,Chad Ochocinco,Cheryl Burke,Athlete,Florida,United States,32,4,placement_col
10,Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,3,placement_col
10,Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,2,placement_col
10,Jake Pavelka,Chelsie Hightower,TV Personality,Texas,United States,32,7,placement_col
10,Kate Gosselin,Tony Dovolani,TV Personality,Pennsylvania,United States,35,8,placement_col
10,Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,1,placement_col
10,Niecy Nash,Louis van Amstel,Actor/Actress,California,United States,40,5,placement_col
10,Pamela Anderson,Damian Whitewood,Model,NA,Canada,42,6,placement_col
10,Shannen Doherty,Mark Ballas,Actor/Actress,Tennessee,United States,38,11,placement_col
11,Audrina Patridge,Tony Dovolani,TV Personality,California,United States,25,7,placement_col
11,Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,4,placement_col
11,Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,3,placement_col
11,David Hasselhoff,Kym Johnson,Actor/Actress,Maryland,United States,58,12,placement_col
11,Florence Henderson,Corky Ballas,Actor/Actress,Indiana,United States,76,8,placement_col
11,Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,1,placement_col
11,Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,5,placement_col
11,Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,2,placement_col
11,Margaret Cho,Louis van Amstel,Comedian,California,United States,41,10,placement_col
11,Michael Bolton,Chelsie Hightower,Singer/Rapper,Connecticut,United States,57,11,placement_col
11,Rick Fox,Cheryl Burke,Athlete,NA,Canada,41,6,placement_col
11,The Situation,Karina Smirnoff,TV Personality,New York,United States,28,9,placement_col
12,Chelsea Kane,Mark Ballas,Actor/Actress,Arizona,United States,22,3,placement_col
12,Chris Jericho,Cheryl Burke,Athlete,New York,United States,40,7,placement_col
12,Hines Ward,Kym Johnson,Athlete,NA,South Korea,35,1,placement_col
12,Kendra Wilkinson,Louis van Amstel,TV Personality,California,United States,25,6,placement_col
12,Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,60,2,placement_col
12,Mike Catherwood,Lacey Schwimmer,Radio Personality,California,United States,32,11,placement_col
12,Petra Nemcova,Dmitry Chaplin,Model,NA,Czechoslovakia,31,8,placement_col
12,Ralph Macchio,Karina Smirnoff,Actor/Actress,New York,United States,49,4,placement_col
12,Romeo,Chelsie Hightower,Singer/Rapper,Louisiana,United States,21,5,placement_col
12,Sugar Ray Leonard,Anna Trebunskaya,Athlete,North Carolina,United States,54,9,placement_col
12,Wendy Williams,Tony Dovolani,TV Personality,New Jersey,United States,46,10,placement_col
13,Carson Kressley,Anna Trebunskaya,TV Personality,Pennsylvania,United States,41,8,placement_col
13,Chaz Bono,Lacey Schwimmer,TV Personality,California,United States,42,7,placement_col
13,Chynna Phillips,Tony Dovolani,Singer/Rapper,California,United States,43,9,placement_col
13,David Arquette,Kym Johnson,Actor/Actress,Virginia,United States,40,6,placement_col
13,Elisabetta Canalis,Valentin Chmerkovskiy,Actor/Actress,NA,Italy,33,11,placement_col
13,Hope Solo,Maksim Chmerkoskiy,Athlete,Washington,United States,30,4,placement_col
13,J.R. Martinez,Karina Smirnoff,Actor/Actress,Louisiana,United States,28,1,placement_col
13,Kristin Cavallari,Mark Ballas,TV Personality,Colorado,United States,24,10,placement_col
13,Metta World Peace (Ron),Peta Murgatroyd,Athlete,New York,United States,31,12,placement_col
13,Nancy Grace,Tristan MacManus,TV Personality,Georgia,United States,51,5,placement_col
13,Ricki Lake,Derek Hough,Actor/Actress,New York,United States,42,3,placement_col
13,Rob Kardashian,Cheryl Burke,TV Personality,California,United States,24,2,placement_col
14,Donald Driver,Peta Murgatroyd,Athlete,Texas,United States,37,1,placement_col
14,Gavin DeGraw,Karina Smirnoff,Singer/Rapper,New York,United States,35,9,placement_col
14,Gladys Knight,Tristan MacManus,Singer/Rapper,Georgia,United States,67,8,placement_col
14,Jack Wagner,Anna Trebunskaya,Actor/Actress,Missouri,United States,52,11,placement_col
14,Jaleel White,Kym Johnson,Actor/Actress,California,United States,35,7,placement_col
14,Katherine Jenkins,Mark Ballas,Singer/Rapper,NA,Wales,31,2,placement_col
14,Maria Menounos,Derek Hough,TV Personality,Massachusetts,United States,33,4,placement_col
14,Martina Navratilova,Tony Dovolani,Athlete,NA,Czechoslovakia,55,12,placement_col
14,Melissa Gilbert,Maksim Chmerkoskiy,Actor/Actress,California,United States,47,5,placement_col
14,Roshon Fegan,Chelsie Hightower,Actor/Actress,California,United States,20,6,placement_col
14,Sherri Sheperd,Valentin Chmerkovskiy,Actor/Actress,Illinois,United States,44,10,placement_col
14,William Levy,Cheryl Burke,Actor/Actress,NA,Cuba,31,3,placement_col
15,Apolo Anton Ohno,Karina Smirnoff,Athlete,Washington,United States,30,5,placement_col
15,Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,21,9,placement_col
15,Drew Lachey,Anna Trebunskaya,Singer/Rapper,Ohio,United States,36,11,placement_col
15,Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,43,4,placement_col
15,Gilles Marini,Peta Murgatroyd,Actor/Actress,NA,France,36,6,placement_col
15,Helio Castroneves,Chelsie Hightower,Racing Driver,NA,Brazil,37,10,placement_col
