term,estimate,std_error,z,p_value,odds_ratio,ci_low,ci_high
1|2,-2.42376602420088,0.2574302303010402,-9.415234649662226,4.72026880387544e-21,0.08858736629010444,0.053486324445830964,0.14672388778864448
2|3,-1.5597974929244804,0.22528489812644426,-6.923666459209453,4.401014473713044e-12,0.21017862955104286,0.13515190738640542,0.3268548492893706
3|4,-0.9699603864407007,0.2143335027025891,-4.5254725659321,6.026069861612331e-6,0.379098055229247,0.24906184204245738,0.5770267107158799
4|5,-0.4809995146262419,0.20974924486084007,-2.293212139787989,0.02183579457339376,0.6181652177440279,0.40979098803314656,0.9324954613145674
5|6,-0.04226747226946639,0.20837063604723152,-0.20284754642629008,0.8392541937138205,0.9586133437925447,0.6371985867073898,1.4421556514203522
6|7,0.3734775038535796,0.2104379134624977,1.7747633860670133,0.07593696426239806,1.452777881271945,0.9617691686540962,2.19445958666624
7|8,0.7725338861802289,0.21464928757460047,3.5990517131893016,3.1937968036174823e-4,2.1652457949829444,1.4216544265368303,3.2977700242611427
8|9,1.1819601476697768,0.22052197531939166,5.359829313871744,8.330061726992346e-8,3.2607595129308873,2.116443479759608,5.023782918302621
9|10,1.624941687436419,0.2286274090804038,7.107379180704265,1.1826718729314803e-12,5.078122910181131,3.244080547527053,7.9490419282480635
10|11,2.147277532154221,0.24028172611997817,8.936499528399576,4.016928315936161e-19,8.561518182139631,5.345875606668775,13.7114289550002
11|12,2.741864315784572,0.25862303363114864,10.601779266478841,2.923642160358726e-26,15.515884657694219,9.34613762637078,25.75852040008469
12|13,3.635608853813552,0.3016691033283588,12.05164471171013,1.9011806032121237e-33,37.924936611409876,20.996114804340493,68.5031888224444
13|14,4.599211635662821,0.38320162097920746,12.002067277038933,3.465312587050947e-33,99.40591666291319,46.90557125786297,210.66871168182524
14|15,5.2464920337340795,0.47341631285784697,11.08219529247495,1.5307263031606932e-28,189.8989395853786,75.08314207473008,480.2890004224815
15|16,6.370062933237715,0.7471281456523693,8.526064732410225,1.5141055500657922e-17,584.0945866981117,135.05630529682455,2526.1055784121136
age_z,0.921539498391217,0.10570617106501216,8.717934715698341,2.8332223109093503e-18,2.5131564135597175,2.042869430461726,3.091707705268673
celebrity_industryAthlete,0.41136514521117146,0.2594279562656159,1.585662359341082,0.11281592208421516,1.5088762149044168,0.9074528690985398,2.5088988193579156
celebrity_industryComedian,0.5902540685229968,0.6195716403383236,0.9526809009538951,0.3407517731220245,1.8044468102994524,0.5357399805445163,6.077627971484414
celebrity_industryModel,1.9386096346180821,0.47783683563771134,4.057053558943092,4.969568882909942e-5,6.949082487106234,2.723858487737897,17.728434729628745
celebrity_industryOther,0.20754228607052624,0.36442647009655327,0.5695038727991926,0.5690142432552964,1.230649755082175,0.6024602473364005,2.5138568501070813
celebrity_industrySinger/Rapper,0.5402001376891453,0.28934607631343384,1.8669689410406038,0.06190592527484261,1.716350334202515,0.9734408930985894,3.026232502252945
celebrity_industrySocial Media Personality,0.658869577621275,0.6354123843558916,1.0369164873756145,0.2997747793764041,1.9326064375751546,0.5562493045685716,6.71455696552067
celebrity_industryTV Personality,0.5228283176996015,0.277226225533085,1.8859266171309812,0.05930484412667477,1.6867916922088428,0.9796743246393314,2.9042980318508
