ballroom_partner,blup
Derek Hough,-0.7919853169720484
Cheryl Burke,-0.3168880817644523
Lindsay Arnold,-0.19725470314971608
Daniella Karagach,-0.19552810263885148
Corky Ballas,-0.18598441278162844
Kym Johnson,-0.1808951143457782
Valentin Chmerkovskiy,-0.14742607058139462
Julianne Hough,-0.1301487982516043
Witney Carson,-0.1205282180479204
Charlotte Jorgensen,-0.11572657406475892
Maksim Chmerkoskiy,-0.11378474622888853
Witney Carson (Xoshitl Gomez week 9),-0.11155471590537303
Ashly DelGrosso,-0.1096152846039524
Damian Whitewood,-0.10205228404516714
Emma Slater/Kaitlyn Bristowe (week 9),-0.10035011462604891
Jenna Johnson,-0.08457052087910086
Daniella Karagach (Rumer Willis week 9),-0.08083348619587319
Val Chmerkovskiy (Joey Graziadei week 9),-0.0726325675594855
Alan Bersten (Rashad Jennings week 9),-0.0578596750298836
Artem Chigvintsev,-0.04413448052288206
Ezra Sosa (Apolo Anton Ohno week 9),-0.04122058267969565
Emma Slater,-0.03462021871647506
Alan Bersten,-0.025422062090064094
Sasha Farber,-0.02410686616041568
Louis van Amstel,-0.022906880358269377
Tony Dovolani,-0.01830858971694505
Anna Demidova,-0.01229248994189084
Dmitry Chaplin,-0.009959065098459318
Tristan MacManus,0.0014317501380108379
Val Chmerkovskiy,0.0019471763075439193
Lacey Schwimmer,0.008519347662569628
Kym Herjavec,0.01044028601615367
Fabian Sanchez,0.020674022794483257
Mark Ballas,0.023478185113051192
Edyta Sliwinska,0.025475284814637657
Jesse DeSoto,0.0278975719031484
Sharna Burgess,0.03106288121254974
Tyne Stecklein,0.043758286169107305
Allison Holker,0.04943352529097971
Karina Smirnoff,0.05417015826534719
Henry Byalikov,0.055036609866215946
Jonathan Roberts,0.06555435936088246
Rylee Arnold,0.06614318357777117
Andrea Hale,0.07062713171111601
Nick Kosovich,0.08082094435693729
Alec Mazo,0.08708043110277212
Inna Brayer,0.09637745122008862
Jan Ravnik,0.09803590382472628
Elena Grinenko,0.10590404296047226
Brian Fortuna,0.108646724298006
Anna Trebunskaya,0.1251113203317222
Peta Murgatroyd,0.12709979591839643
Ezra Sosa,0.12763386173496488
Koko Iwasaki,0.12943616332444272
Chelsie Hightower,0.2162541174188202
Britt Stewart,0.2714802875741186
Brandon Armstrong,0.2853773287754908
Pasha Pashkov,0.3181815419460446
Gleb Savchenko,0.35257998886465913
Keo Motsepe,0.36305508754043536
