celebrity_name,season,results,placement,placement_final,placement_source,notes
Kelly Monaco,1,1st Place,1,1,placement_col,
John O'Hurley,1,2nd Place,2,2,placement_col,
Joey McIntyre,1,3rd Place,3,3,placement_col,
Rachel Hunter,1,Eliminated Week 4,4,4,placement_col,
Evander Holyfield,1,Eliminated Week 3,5,5,placement_col,
Trista Sutter,1,Eliminated Week 2,6,6,placement_col,
Drew Lachey,2,1st Place,1,1,placement_col,
Jerry Rice,2,2nd Place,2,2,placement_col,
Stacy Keibler,2,3rd Place,3,3,placement_col,
Lisa Rinna,2,Eliminated Week 7,4,4,placement_col,
George Hamilton,2,Eliminated Week 6,5,5,placement_col,
Tia Carrere,2,Eliminated Week 5,6,6,placement_col,
Master P,2,Eliminated Week 4,7,7,placement_col,
Giselle Fernandez,2,Eliminated Week 3,8,8,placement_col,
Tatum O'Neal,2,Eliminated Week 2,9,9,placement_col,
Kenny Mayne,2,Eliminated Week 1,10,10,placement_col,
Emmitt Smith,3,1st Place,1,1,placement_col,
Mario Lopez,3,2nd Place,2,2,placement_col,
Joey Lawrence,3,3rd Place,3,3,placement_col,
Monique Coleman,3,Eliminated Week 8,4,4,placement_col,
Jerry Springer,3,Eliminated Week 7,5,5,placement_col,
Sara Evans,3,Withdrew,6,6,placement_col,
Willa Ford,3,Eliminated Week 5,7,7,placement_col,
Vivica A. Fox,3,Eliminated Week 4,8,8,placement_col,
Harry Hamlin,3,Eliminated Week 3,9,9,placement_col,
Shanna Moakler,3,Eliminated Week 2,10,10,placement_col,
Tucker Carlson,3,Eliminated Week 1,11,11,placement_col,
Apolo Anton Ohno,4,1st Place,1,1,placement_col,
Joey Fatone,4,2nd Place,2,2,placement_col,
Laila Ali,4,3rd Place,3,3,placement_col,
Ian Ziering,4,Eliminated Week 9,4,4,placement_col,
Billy Ray Cyrus,4,Eliminated Week 8,5,5,placement_col,
John Ratzenberger,4,Eliminated Week 7,6,6,placement_col,
Heather Mills,4,Eliminated Week 6,7,7,placement_col,
Clyde Drexler,4,Eliminated Week 5,8,8,placement_col,
Leeza Gibbons,4,Eliminated Week 4,9,9,placement_col,
Shandi Finnessey,4,Eliminated Week 3,10,10,placement_col,
Paulina Porizkova,4,Eliminated Week 2,11,11,placement_col,
Helio Castroneves,5,1st Place,1,1,placement_col,
Mel B,5,2nd Place,2,2,placement_col,
Marie Osmond,5,3rd Place,3,3,placement_col,
Jennie Garth,5,Eliminated Week 9,4,4,placement_col,
Cameron Mathison,5,Eliminated Week 8,5,5,placement_col,
Jane Seymour,5,Eliminated Week 7,6,6,placement_col,
Sabrina Bryan,5,Eliminated Week 6,7,7,placement_col,
Mark Cuban,5,Eliminated Week 5,8,8,placement_col,
Floyd Mayweather Jr.,5,Eliminated Week 4,9,9,placement_col,
Wayne Newton,5,Eliminated Week 3,10,10,placement_col,
Albert Reed,5,Eliminated Week 2,11,11,placement_col,
Josie Maran,5,Eliminated Week 1,12,12,placement_col,
Kristi Yamaguchi,6,1st Place,1,1,placement_col,
Jason Taylor,6,2nd Place,2,2,placement_col,
Cristian de la Fuente,6,3rd Place,3,3,placement_col,
Marissa Jaret Winokur,6,Eliminated Week 9,4,4,placement_col,
Mario,6,Eliminated Week 8,5,5,placement_col,
Shannon Elizabeth,6,Eliminated Week 7,6,6,placement_col,
Marlee Matlin,6,Eliminated Week 6,7,7,placement_col,
Priscilla Presley,6,Eliminated Week 5,8,8,placement_col,
Adam Carolla,6,Eliminated Week 4,9,9,placement_col,
Steve Guttenberg,6,Eliminated Week 3,10,10,placement_col,
Monica Seles,6,Eliminated Week 2,11,11,placement_col,
Penn Jillette,6,Eliminated Week 2,12,12,placement_col,
Brooke Burke,7,1st Place,1,1,placement_col,
Warren Sapp,7,2nd Place,2,2,placement_col,
Lance Bass,7,3rd Place,3,3,placement_col,
Cody Linley,7,Eliminated Week 9,4,4,placement_col,
Maurice Greene,7,Eliminated Week 8,5,5,placement_col,
Susan Lucci,7,Eliminated Week 7,6,6,placement_col,
Cloris Leachman,7,Eliminated Week 6,7,7,placement_col,
Toni Braxton,7,Eliminated Week 5,8,8,placement_col,
Rocco DiSpirito,7,Eliminated Week 4,9,9,placement_col,
Misty May-Treanor,7,Withdrew,10,10,placement_col,
Kim Kardashian,7,Eliminated Week 2,11,11,placement_col,
Ted McGinley,7,Eliminated Week 1,12,12,placement_col,
Jeffrey Ross,7,Eliminated Week 1,13,13,placement_col,
Shawn Johnson,8,1st Place,1,1,placement_col,
Gilles Marini,8,2nd Place,2,2,placement_col,
Melissa Rycroft,8,3rd Place,3,3,placement_col,
Ty Murray,8,Eliminated Week 10,4,4,placement_col,
Lil' Kim,8,Eliminated Week 9,5,5,placement_col,
Chuck Wicks,8,Eliminated Week 8,6,6,placement_col,
Lawrence Taylor,8,Eliminated Week 7,7,7,placement_col,
Steve-O,8,Eliminated Week 6,8,8,placement_col,
David Alan Grier,8,Eliminated Week 5,9,9,placement_col,
Steve Wozniak,8,Eliminated Week 4,10,10,placement_col,
Holly Madison,8,Eliminated Week 4,11,11,placement_col,
Denise Richards,8,Eliminated Week 3,12,12,placement_col,
