celebrity_homestate,n
California,72
Unknown,56
New York,47
Texas,25
Florida,20
Georgia,15
Illinois,15
Ohio,13
Pennsylvania,13
Michigan,9
New Jersey,9
Kentucky,8
Louisiana,8
Alabama,7
Connecticut,6
Iowa,6
Maryland,6
Massachusetts,6
Virginia,6
Kansas,5
Mississippi,5
Washington,5
Hawaii,4
Indiana,4
Missouri,4
North Carolina,4
South Carolina,4
Utah,4
Washington D.C.,4
Arizona,3
Oregon,3
Alaska,2
Arkansas,2
Colorado,2
Delaware,2
Maine,2
Minnesota,2
Nevada,2
New Mexico,2
Tennessee,2
Wisconsin,2
Nebraska,1
New Hamshire,1
Rhode Island,1
South Dakota,1
West Virginia,1
