state,blup,n
Georgia,-0.3934967153437458,15
Pennsylvania,-0.377446055326229,13
Connecticut,-0.26782106808407957,6
Louisiana,-0.24686334157290182,8
Alabama,-0.20263551699071863,7
Virginia,-0.19207946161876363,6
Maine,-0.160801941660839,2
Iowa,-0.14437029123402922,6
Utah,-0.1325060699830884,4
Hawaii,-0.1040917195253407,4
South Carolina,-0.09062766734874055,4
Nevada,-0.0710496318957904,2
Nebraska,-0.06623333304302428,1
Oregon,-0.06288501323883385,3
Kansas,-0.036317198144652424,5
Arkansas,-0.03171286131088486,2
Arizona,-0.023226953940749487,3
Texas,-0.021100088325625824,25
Washington,-0.011870917609725152,5
Washington D.C.,-0.006670079555124815,4
Minnesota,-8.324367328322806e-7,2
Unknown,0.0033145242977332717,56
Tennessee,0.007714741711648895,2
Mississippi,0.00839551727284051,5
Indiana,0.011999280864691975,4
West Virginia,0.016651432523444993,1
Massachusetts,0.020989558253999,6
Rhode Island,0.027312504045427788,1
Illinois,0.0347033053442175,15
New Hamshire,0.036835477448049186,1
Wisconsin,0.03796891995774414,2
Delaware,0.0391736642443875,2
Maryland,0.039444160187450346,6
Colorado,0.04794579587849515,2
Alaska,0.06662540255955829,2
Michigan,0.0705101488562287,9
Florida,0.07082636666449492,20
North Carolina,0.09983747816084666,4
Kentucky,0.11398614905242355,8
South Dakota,0.11779768726616263,1
New York,0.15740547476988723,47
Missouri,0.16881631962802118,4
New Jersey,0.17315357679238397,9
New Mexico,0.20849630549222542,2
Ohio,0.49826717048633645,13
California,0.5657676993448462,72
