model,fold,season,n_items,nll,nll_per_item,spearman,kendall_tau,top1,top3_overlap
baseline_age_industry,1,3,11,17.020928348138703,1.547357122558064,0.38181818181818183,0.23636363636363636,0,1
baseline_age_industry,1,4,11,16.7039444205579,1.5185404018689,0.4818181818181818,0.45454545454545453,0,1
baseline_age_industry,1,7,13,22.92174165826708,1.7632108967897755,0.06593406593406594,0.02564102564102564,0,1
baseline_age_industry,1,11,12,18.847246512997387,1.5706038760831156,0.4685314685314686,0.36363636363636365,0,1
baseline_age_industry,1,13,12,20.23313501475686,1.6860945845630717,0.11908949961751886,0.10687334289668039,0,1
baseline_age_industry,1,21,13,20.666385705352447,1.5897219773348037,0.6483516483516484,0.48717948717948717,0,1
baseline_age_industry,1,27,13,22.837524286693185,1.7567326374379373,0.2197802197802198,0.1794871794871795,0,1
baseline_age_industry,2,1,6,6.642148349334722,1.1070247248891203,0.14285714285714285,0.06666666666666667,1,1
baseline_age_industry,2,9,16,30.669194610443682,1.9168246631527301,0.18837385526568326,0.15899720766358738,0,1
baseline_age_industry,2,14,12,18.912603501409926,1.5760502917841606,0.48251748251748255,0.36363636363636365,0,1
baseline_age_industry,2,20,12,19.437249478995962,1.6197707899163303,0.47635799847007543,0.2900847878624182,0,1
baseline_age_industry,2,24,12,18.42906848192868,1.5357557068273902,0.6993006993006995,0.5454545454545454,0,1
baseline_age_industry,2,30,15,26.101676415857465,1.7401117610571644,0.557142857142857,0.39047619047619053,0,1
baseline_age_industry,2,34,14,24.08182991665791,1.7201307083327078,0.541254452937086,0.4198959112834707,1,1
baseline_age_industry,3,2,10,15.283728440005575,1.5283728440005575,0.07294866524160774,0.08989331499509895,0,1
baseline_age_industry,3,10,11,17.26831924355206,1.5698472039592781,0.4646936885297692,0.36698792170878686,0,1
baseline_age_industry,3,15,13,21.67598990756275,1.6673838390432887,0.26134825274334655,0.16774542658006547,0,1
baseline_age_industry,3,17,12,19.201132439866857,1.6000943699889048,0.5384615384615385,0.36363636363636365,0,1
baseline_age_industry,3,18,12,18.85767744532908,1.5714731204440902,0.43356643356643365,0.30303030303030304,0,0
baseline_age_industry,3,26,10,15.15958571869066,1.515958571869066,0.054545454545454536,0.06666666666666667,0,0
baseline_age_industry,3,31,16,29.951208052396137,1.8719505032747585,0.37941176470588234,0.2833333333333333,0,1
baseline_age_industry,4,5,12,19.29016493005749,1.6075137441714575,0.4475524475524476,0.3333333333333333,0,1
baseline_age_industry,4,6,12,19.868743515806706,1.6557286263172255,0.3607711311942483,0.2595495470347952,0,1
baseline_age_industry,4,12,11,20.242196310954416,1.8401996646322196,-0.018181818181818184,0.01818181818181818,0,1
baseline_age_industry,4,19,13,24.127524313550893,1.8559634087346841,0.0632737875062839,-0.012903494352312729,0,1
baseline_age_industry,4,25,13,20.81190333929805,1.6009156414844652,0.6115725685621386,0.49354811679282456,0,1
baseline_age_industry,4,28,12,18.452896041289414,1.5377413367741177,0.6503496503496504,0.45454545454545453,1,1
baseline_age_industry,4,29,15,26.56835909860999,1.7712239399073326,0.5701521490256695,0.40191847623425025,0,1
baseline_age_industry,5,8,13,21.74051741028233,1.6723474930986408,0.5824175824175825,0.4358974358974359,1,1
baseline_age_industry,5,16,12,18.041614025509947,1.5034678354591622,0.7832167832167833,0.5757575757575758,0,1
baseline_age_industry,5,22,12,19.580681134855073,1.6317234279045894,0.10507897025075193,0.07633810206905742,0,1
baseline_age_industry,5,23,13,22.64370519332885,1.7418234764099114,0.47252747252747257,0.46153846153846156,0,1
baseline_age_industry,5,32,14,24.15057710567567,1.7250412218339763,0.43296703296703293,0.27472527472527475,1,1
baseline_age_industry,5,33,13,21.78445570946685,1.6757273622666808,0.46832133628632233,0.3636670334262918,0,1
full_all,1,3,11,16.47340546924576,1.497582315385978,0.6181818181818182,0.41818181818181815,0,1
full_all,1,4,11,16.633792808854533,1.5121629826231393,0.49090909090909096,0.41818181818181815,1,1
full_all,1,7,13,21.697736751251817,1.6690566731732166,0.598901098901099,0.38461538461538464,0,1
full_all,1,11,12,18.605491133049316,1.5504575944207764,0.6713286713286714,0.5151515151515151,0,1
full_all,1,13,12,20.123301881830397,1.6769418234858664,0.18881118881118883,0.15151515151515152,1,1
full_all,1,21,13,20.165244659577514,1.5511726661213472,0.6593406593406593,0.48717948717948717,1,1
full_all,1,27,13,22.51802625821462,1.732155866016509,0.29120879120879123,0.2564102564102564,0,1
full_all,2,1,6,6.616025393178382,1.1026708988630636,0.31428571428571433,0.2,1,1
full_all,2,9,16,29.860207731121363,1.8662629831950852,0.39705882352941174,0.3,0,1
full_all,2,14,12,18.639082956523737,1.5532569130436447,0.5104895104895106,0.36363636363636365,0,1
full_all,2,20,12,18.699119413112943,1.5582599510927453,0.5944055944055945,0.42424242424242425,0,1
full_all,2,24,12,17.988675945188444,1.4990563287657037,0.6853146853146853,0.48484848484848486,0,1
full_all,2,30,15,25.888424213212826,1.7258949475475218,0.5464285714285714,0.39047619047619053,0,1
full_all,2,34,14,23.618652413776026,1.687046600984002,0.6644668487276422,0.5082950505010434,0,1
full_all,3,2,10,15.80170725727765,1.580170725727765,-0.17575757575757575,-0.1111111111111111,0,0
full_all,3,10,11,17.158604335318454,1.5598731213925867,0.2727272727272727,0.2,1,1
full_all,3,15,13,21.466573403528194,1.6512748771944765,0.35714285714285715,0.2564102564102564,0,1
full_all,3,17,12,18.770115738961593,1.5641763115801328,0.6153846153846154,0.42424242424242425,1,1
full_all,3,18,12,19.32431310831785,1.6103594256931542,0.27972027972027974,0.24242424242424243,0,0
full_all,3,26,10,14.761227396662342,1.4761227396662342,0.5515151515151514,0.37777777777777777,0,1
full_all,3,31,16,29.78145506812176,1.86134094175761,0.2794117647058823,0.09999999999999999,1,1
full_all,4,5,12,19.328864749213363,1.6107387291011135,0.27272727272727276,0.21212121212121213,0,1
full_all,4,6,12,19.851889597671175,1.6543241331392646,0.18181818181818185,0.09090909090909091,0,1
full_all,4,12,11,19.565677055925253,1.778697914175023,0.045454545454545456,0.05454545454545454,0,1
full_all,4,19,13,24.031026390190796,1.848540491553138,0.005494505494505494,-0.07692307692307693,0,1
full_all,4,25,13,20.704385680662934,1.5926450523586873,0.6373626373626373,0.5128205128205128,0,1
full_all,4,28,12,18.78683143744642,1.5655692864538684,0.5104895104895106,0.36363636363636365,0,1
full_all,4,29,15,26.517552286410304,1.7678368190940204,0.45357142857142846,0.33333333333333337,0,0
full_all,5,8,13,21.704223034504317,1.6695556180387936,0.42307692307692313,0.3333333333333333,0,1
full_all,5,16,12,18.128868120132886,1.5107390100110738,0.7832167832167833,0.6363636363636364,1,1
full_all,5,22,12,20.251939763943867,1.6876616469953223,-0.02097902097902098,0,0,1
full_all,5,23,13,22.325907371059643,1.7173774900815109,0.46153846153846156,0.38461538461538464,0,1
full_all,5,32,14,25.078983966597082,1.7913559976140774,0.33186813186813185,0.23076923076923078,0,1
full_all,5,33,13,21.435312999721173,1.6488702307477825,0.33884426096010384,0.20780973338645245,0,0
baseline_plus_partner,1,3,11,16.982166869164672,1.543833351742243,0.49090909090909096,0.2727272727272727,0,1
baseline_plus_partner,1,4,11,16.452369452622957,1.4956699502384507,0.5909090909090909,0.4909090909090909,1,1
baseline_plus_partner,1,7,13,22.492362971668573,1.7301817670514288,0.32967032967032966,0.1794871794871795,0,1
baseline_plus_partner,1,11,12,18.72060780468853,1.5600506503907108,0.6153846153846154,0.42424242424242425,0,1
baseline_plus_partner,1,13,12,20.16146603891123,1.680122169909269,0.14685314685314688,0.15151515151515152,0,1
baseline_plus_partner,1,21,13,20.124480426226082,1.5480369558635447,0.7032967032967032,0.5641025641025641,1,1
baseline_plus_partner,1,27,13,22.82535022708069,1.7557961713138992,0.06593406593406594,0.05128205128205128,0,1
baseline_plus_partner,2,1,6,6.814234824895596,1.135705804149266,0.14285714285714285,0.06666666666666667,1,1
baseline_plus_partner,2,9,16,30.46381412262944,1.90398838266434,0.19411764705882353,0.15,0,1
baseline_plus_partner,2,14,12,18.7329520286114,1.5610793357176167,0.45454545454545464,0.3333333333333333,0,1
baseline_plus_partner,2,20,12,18.93662431785374,1.5780520264878117,0.5524475524475525,0.3333333333333333,0,1
baseline_plus_partner,2,24,12,18.51812962567949,1.543177468806624,0.6433566433566434,0.48484848484848486,0,1
baseline_plus_partner,2,30,15,25.978048839596813,1.7318699226397876,0.5857142857142855,0.40952380952380957,0,1
baseline_plus_partner,2,34,14,24.03396314536219,1.7167116532401565,0.5940597654187529,0.4861952656966503,1,1
baseline_plus_partner,3,2,10,15.26257425725139,1.5262574257251391,0.17575757575757575,0.15555555555555556,1,1
baseline_plus_partner,3,10,11,17.011627070544016,1.5465115518676378,0.5181818181818182,0.41818181818181815,1,1
baseline_plus_partner,3,15,13,21.69770783731776,1.6690544490244432,0.13186813186813187,0.05128205128205128,0,1
baseline_plus_partner,3,17,12,19.16622271284286,1.5971852260702384,0.5454545454545455,0.36363636363636365,1,1
baseline_plus_partner,3,18,12,18.65158854773145,1.5542990456442876,0.5594405594405595,0.42424242424242425,0,1
baseline_plus_partner,3,26,10,15.175254866420211,1.5175254866420211,0.06666666666666667,0.022222222222222223,0,0
baseline_plus_partner,3,31,16,30.37663236884849,1.8985395230530306,0.22941176470588234,0.16666666666666666,0,1
baseline_plus_partner,4,5,12,19.186230008379514,1.5988525006982928,0.34965034965034975,0.2727272727272727,0,1
baseline_plus_partner,4,6,12,19.94419920615544,1.6620166005129533,0.4125874125874126,0.18181818181818182,0,1
baseline_plus_partner,4,12,11,20.396414447031304,1.854219495184664,-0.09090909090909091,-0.05454545454545454,0,1
baseline_plus_partner,4,19,13,23.82005341245328,1.8323118009579447,0.13736263736263737,0.05128205128205128,0,1
baseline_plus_partner,4,25,13,20.534373019062695,1.579567155312515,0.6868131868131868,0.5641025641025641,0,1
