season,celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry_region,celebrity_age_during_season,results,placement_raw,placement_from_place,elim_week,placement_final,placement_source,item_id
1,Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,NA,NA,5,placement_col,S1:Evander Holyfield
1,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,NA,NA,3,placement_col,S1:Joey McIntyre
1,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,NA,NA,2,placement_col,S1:John O'Hurley
1,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,NA,NA,1,placement_col,S1:Kelly Monaco
1,Rachel Hunter,Jonathan Roberts,Model,Unknown,New Zealand,35,Eliminated Week 4,4,NA,NA,4,placement_col,S1:Rachel Hunter
1,Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,NA,NA,6,placement_col,S1:Trista Sutter
2,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,NA,NA,1,placement_col,S2:Drew Lachey
2,George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,NA,NA,5,placement_col,S2:George Hamilton
2,Giselle Fernandez,Jonathan Roberts,News Anchor,Unknown,Mexico,44,Eliminated Week 3,8,NA,NA,8,placement_col,S2:Giselle Fernandez
2,Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,NA,NA,2,placement_col,S2:Jerry Rice
2,Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,Eliminated Week 1,10,NA,NA,10,placement_col,S2:Kenny Mayne
2,Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,NA,NA,4,placement_col,S2:Lisa Rinna
2,Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,Eliminated Week 4,7,NA,NA,7,placement_col,S2:Master P
2,Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,NA,NA,3,placement_col,S2:Stacy Keibler
2,Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,Eliminated Week 2,9,NA,NA,9,placement_col,S2:Tatum O'Neal
2,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,Eliminated Week 5,6,NA,NA,6,placement_col,S2:Tia Carrere
3,Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,1st Place,1,NA,NA,1,placement_col,S3:Emmitt Smith
3,Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,Eliminated Week 3,9,NA,NA,9,placement_col,S3:Harry Hamlin
3,Jerry Springer,Kym Johnson,TV Personality,Unknown,England,62,Eliminated Week 7,5,NA,NA,5,placement_col,S3:Jerry Springer
3,Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3rd Place,3,NA,NA,3,placement_col,S3:Joey Lawrence
3,Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,2nd Place,2,NA,NA,2,placement_col,S3:Mario Lopez
3,Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,Eliminated Week 8,4,NA,NA,4,placement_col,S3:Monique Coleman
3,Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,Withdrew,6,NA,NA,6,placement_col,S3:Sara Evans
3,Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,Eliminated Week 2,10,NA,NA,10,placement_col,S3:Shanna Moakler
3,Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,Eliminated Week 1,11,NA,NA,11,placement_col,S3:Tucker Carlson
3,Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,Eliminated Week 4,8,NA,NA,8,placement_col,S3:Vivica A. Fox
3,Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,Eliminated Week 5,7,NA,NA,7,placement_col,S3:Willa Ford
4,Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,1st Place,1,NA,NA,1,placement_col,S4:Apolo Anton Ohno
4,Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,Eliminated Week 8,5,NA,NA,5,placement_col,S4:Billy Ray Cyrus
4,Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,Eliminated Week 5,8,NA,NA,8,placement_col,S4:Clyde Drexler
4,Heather Mills,Jonathan Roberts,Model,Unknown,England,39,Eliminated Week 6,7,NA,NA,7,placement_col,S4:Heather Mills
4,Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,Eliminated Week 9,4,NA,NA,4,placement_col,S4:Ian Ziering
