fold,season,spearman,kendall_tau,kendall_tau_top3,mse_top3,se_top1,top1,top3,ndcg,loglik,loglik_per_item
1,31,0.39999999999999997,0.2833333333333333,1,43.33333333333333,0,1,1,0.9173063131842429,-29.571994762331595,-1.8482496726457247
1,10,0.018181818181818184,-0.01818181818181818,1,29.666666666666664,0,1,1,0.9177383091915792,-18.65324802716097,-1.6957498206509973
1,20,0.3566433566433567,0.2727272727272727,1,7.333333333333333,4,0,1,0.6721359916158001,-19.007482178340023,-1.583956848195002
1,9,0.2764705882352941,0.16666666666666666,-1,56.33333333333333,144,0,1,0.5554500243418571,-30.194362682126865,-1.887147667632929
1,16,0.7692307692307694,0.6060606060606061,0.33333333333333337,6.333333333333333,9,0,1,0.7652473907646917,-17.844366654931946,-1.487030554577662
1,33,0.3636377434693797,0.23378595005975902,-0.33333333333333337,21.666666666666668,25,0,0,0.5967344958175264,-21.61751193440043,-1.6628855334154176
1,12,0.2,0.12727272727272726,-0.33333333333333337,26,25,0,1,0.6447395667997853,-17.17643653646528,-1.5614942305877526
2,15,0.35714285714285715,0.2564102564102564,-0.33333333333333337,12.333333333333332,36,0,1,0.7022494505671703,-21.406173427617112,-1.6466287252013163
2,18,0.39160839160839167,0.3333333333333333,0.33333333333333337,14,16,0,1,0.6354996409453358,-19.390168860489183,-1.6158474050407652
2,34,0.6292633070731976,0.4861952656966503,1,0.33333333333333337,0,1,1,0.9806626511325591,-23.813493211509066,-1.7009638008220762
2,30,0.5178571428571428,0.3714285714285715,-0.33333333333333337,10,25,0,1,0.7172745064981715,-26.068011531893866,-1.737867435459591
2,24,0.7062937062937064,0.5151515151515151,-1,12.666666666666666,25,0,1,0.6695583403606185,-18.22136929932563,-1.5184474416104692
2,21,0.7252747252747253,0.5384615384615384,0.33333333333333337,6.666666666666666,0,1,1,0.9399672313479761,-20.276301308532954,-1.5597154852717656
2,23,0.4450549450549451,0.358974358974359,-0.33333333333333337,3.333333333333333,9,0,1,0.7533316754163698,-22.746877234446377,-1.7497597872651058
3,19,0.4560439560439561,0.3076923076923077,-1,23,64,0,1,0.6621732410215098,-21.52727461751727,-1.6559442013474823
3,22,0.013986013986013988,0,-0.33333333333333337,45.666666666666664,100,0,1,0.5630048710690699,-20.033771705959957,-1.669480975496663
3,27,0.3131868131868132,0.2564102564102564,-0.33333333333333337,49.66666666666667,144,0,1,0.6747385577005693,-22.382710782191886,-1.7217469832455297
3,8,0.6868131868131868,0.5641025641025641,1,0,0,1,1,0.9913966935750539,-21.219819340245525,-1.632293795403502
3,28,0.6293706293706295,0.3939393939393939,-0.33333333333333337,7,4,0,1,0.7266905416095549,-18.466253954265824,-1.5388544961888186
3,26,0.19999999999999996,0.15555555555555556,1,11.666666666666666,1,0,1,0.7369823447976064,-15.197232266748287,-1.5197232266748286
3,13,0.3286713286713287,0.21212121212121213,0.33333333333333337,9.666666666666666,0,1,1,0.9294256639221812,-19.82431637067733,-1.6520263642231108
4,14,0.45454545454545464,0.3333333333333333,-0.33333333333333337,17,25,0,1,0.6460344668486119,-18.948255560415298,-1.579021296701275
4,11,0.7062937062937064,0.48484848484848486,-0.33333333333333337,2,4,0,1,0.8102474835449891,-18.737525080138028,-1.5614604233448357
4,25,0.543956043956044,0.4358974358974359,0.33333333333333337,12.333333333333332,0,1,1,0.9310396948057961,-20.581586020605698,-1.5831989246619769
4,29,0.6107142857142855,0.46666666666666673,-0.33333333333333337,28.333333333333336,81,0,1,0.6324221120626454,-26.052230908370532,-1.7368153938913689
4,4,0.4454545454545455,0.41818181818181815,0.33333333333333337,1.6666666666666665,1,0,1,0.7500312811527198,-16.892926704624223,-1.535720609511293
4,2,-0.19999999999999996,-0.1111111111111111,-0.33333333333333337,22,16,0,1,0.6184854861786075,-15.850713748439707,-1.5850713748439706
4,6,0.2517482517482518,0.12121212121212122,-1,35.666666666666664,81,0,1,0.5934554956782983,-19.854349646770952,-1.6545291372309128
5,3,0.5636363636363636,0.34545454545454546,-0.33333333333333337,6.333333333333333,9,0,1,0.6916741074071646,-16.714046405974095,-1.5194587641794632
5,5,0.43356643356643365,0.3333333333333333,1,20.666666666666668,1,0,1,0.7596172520405351,-19.07313914691046,-1.5894282622425384
5,32,0.389010989010989,0.27472527472527475,1,24.333333333333332,1,0,1,0.7548550615237263,-24.552579534915687,-1.7537556810654062
5,7,0.5604395604395604,0.3333333333333333,0.33333333333333337,6,1,0,1,0.7791470121774209,-21.597804501200738,-1.6613695770154413
5,1,0.31428571428571433,0.2,0.33333333333333337,1.3333333333333335,0,1,1,0.9597221633503942,-6.807608221092165,-1.1346013701820274
5,17,0.5944055944055945,0.45454545454545453,1,0.6666666666666666,0,1,1,0.9573686307056085,-18.651936080903877,-1.5543280067419898
