season,celebrity_name,results,placement,placement_final,placement_source
1,Kelly Monaco,1st Place,1,1,placement_col
1,John O'Hurley,2nd Place,2,2,placement_col
1,Joey McIntyre,3rd Place,3,3,placement_col
1,Rachel Hunter,Eliminated Week 4,4,4,placement_col
1,Evander Holyfield,Eliminated Week 3,5,5,placement_col
1,Trista Sutter,Eliminated Week 2,6,6,placement_col
2,Drew Lachey,1st Place,1,1,placement_col
2,Jerry Rice,2nd Place,2,2,placement_col
2,Stacy Keibler,3rd Place,3,3,placement_col
2,Lisa Rinna,Eliminated Week 7,4,4,placement_col
2,George Hamilton,Eliminated Week 6,5,5,placement_col
2,Tia Carrere,Eliminated Week 5,6,6,placement_col
2,Master P,Eliminated Week 4,7,7,placement_col
2,Giselle Fernandez,Eliminated Week 3,8,8,placement_col
2,Tatum O'Neal,Eliminated Week 2,9,9,placement_col
2,Kenny Mayne,Eliminated Week 1,10,10,placement_col
3,Emmitt Smith,1st Place,1,1,placement_col
3,Mario Lopez,2nd Place,2,2,placement_col
3,Joey Lawrence,3rd Place,3,3,placement_col
3,Monique Coleman,Eliminated Week 8,4,4,placement_col
3,Jerry Springer,Eliminated Week 7,5,5,placement_col
3,Sara Evans,Withdrew,6,6,placement_col
3,Willa Ford,Eliminated Week 5,7,7,placement_col
3,Vivica A. Fox,Eliminated Week 4,8,8,placement_col
3,Harry Hamlin,Eliminated Week 3,9,9,placement_col
3,Shanna Moakler,Eliminated Week 2,10,10,placement_col
3,Tucker Carlson,Eliminated Week 1,11,11,placement_col
4,Apolo Anton Ohno,1st Place,1,1,placement_col
4,Joey Fatone,2nd Place,2,2,placement_col
4,Laila Ali,3rd Place,3,3,placement_col
4,Ian Ziering,Eliminated Week 9,4,4,placement_col
4,Billy Ray Cyrus,Eliminated Week 8,5,5,placement_col
4,John Ratzenberger,Eliminated Week 7,6,6,placement_col
4,Heather Mills,Eliminated Week 6,7,7,placement_col
4,Clyde Drexler,Eliminated Week 5,8,8,placement_col
4,Leeza Gibbons,Eliminated Week 4,9,9,placement_col
4,Shandi Finnessey,Eliminated Week 3,10,10,placement_col
4,Paulina Porizkova,Eliminated Week 2,11,11,placement_col
5,Helio Castroneves,1st Place,1,1,placement_col
5,Mel B,2nd Place,2,2,placement_col
5,Marie Osmond,3rd Place,3,3,placement_col
5,Jennie Garth,Eliminated Week 9,4,4,placement_col
5,Cameron Mathison,Eliminated Week 8,5,5,placement_col
5,Jane Seymour,Eliminated Week 7,6,6,placement_col
5,Sabrina Bryan,Eliminated Week 6,7,7,placement_col
5,Mark Cuban,Eliminated Week 5,8,8,placement_col
5,Floyd Mayweather Jr.,Eliminated Week 4,9,9,placement_col
5,Wayne Newton,Eliminated Week 3,10,10,placement_col
5,Albert Reed,Eliminated Week 2,11,11,placement_col
5,Josie Maran,Eliminated Week 1,12,12,placement_col
6,Kristi Yamaguchi,1st Place,1,1,placement_col
6,Jason Taylor,2nd Place,2,2,placement_col
6,Cristian de la Fuente,3rd Place,3,3,placement_col
6,Marissa Jaret Winokur,Eliminated Week 9,4,4,placement_col
6,Mario,Eliminated Week 8,5,5,placement_col
6,Shannon Elizabeth,Eliminated Week 7,6,6,placement_col
