season,season_premiere_date,season_finale_date,celebrity_name
1,2005-06-01,2005-07-06,Evander Holyfield
1,2005-06-01,2005-07-06,Joey McIntyre
1,2005-06-01,2005-07-06,John O'Hurley
1,2005-06-01,2005-07-06,Kelly Monaco
1,2005-06-01,2005-07-06,Rachel Hunter
1,2005-06-01,2005-07-06,Trista Sutter
2,2006-01-05,2006-02-26,Drew Lachey
2,2006-01-05,2006-02-26,George Hamilton
2,2006-01-05,2006-02-26,Giselle Fernandez
2,2006-01-05,2006-02-26,Jerry Rice
2,2006-01-05,2006-02-26,Kenny Mayne
2,2006-01-05,2006-02-26,Lisa Rinna
2,2006-01-05,2006-02-26,Master P
2,2006-01-05,2006-02-26,Stacy Keibler
2,2006-01-05,2006-02-26,Tatum O'Neal
2,2006-01-05,2006-02-26,Tia Carrere
3,2006-09-12,2006-11-15,Emmitt Smith
3,2006-09-12,2006-11-15,Harry Hamlin
3,2006-09-12,2006-11-15,Jerry Springer
3,2006-09-12,2006-11-15,Joey Lawrence
3,2006-09-12,2006-11-15,Mario Lopez
3,2006-09-12,2006-11-15,Monique Coleman
3,2006-09-12,2006-11-15,Sara Evans
3,2006-09-12,2006-11-15,Shanna Moakler
3,2006-09-12,2006-11-15,Tucker Carlson
3,2006-09-12,2006-11-15,Vivica A. Fox
3,2006-09-12,2006-11-15,Willa Ford
4,2007-03-19,2007-05-22,Apolo Anton Ohno
4,2007-03-19,2007-05-22,Billy Ray Cyrus
4,2007-03-19,2007-05-22,Clyde Drexler
4,2007-03-19,2007-05-22,Heather Mills
4,2007-03-19,2007-05-22,Ian Ziering
4,2007-03-19,2007-05-22,Joey Fatone
4,2007-03-19,2007-05-22,John Ratzenberger
4,2007-03-19,2007-05-22,Laila Ali
4,2007-03-19,2007-05-22,Leeza Gibbons
4,2007-03-19,2007-05-22,Paulina Porizkova
4,2007-03-19,2007-05-22,Shandi Finnessey
5,2007-09-24,2007-11-27,Albert Reed
5,2007-09-24,2007-11-27,Cameron Mathison
5,2007-09-24,2007-11-27,Floyd Mayweather Jr.
5,2007-09-24,2007-11-27,Helio Castroneves
5,2007-09-24,2007-11-27,Jane Seymour
5,2007-09-24,2007-11-27,Jennie Garth
5,2007-09-24,2007-11-27,Josie Maran
5,2007-09-24,2007-11-27,Marie Osmond
5,2007-09-24,2007-11-27,Mark Cuban
5,2007-09-24,2007-11-27,Mel B
5,2007-09-24,2007-11-27,Sabrina Bryan
5,2007-09-24,2007-11-27,Wayne Newton
6,2008-03-17,2008-05-20,Adam Carolla
6,2008-03-17,2008-05-20,Cristian de la Fuente
6,2008-03-17,2008-05-20,Jason Taylor
6,2008-03-17,2008-05-20,Kristi Yamaguchi
6,2008-03-17,2008-05-20,Mario
6,2008-03-17,2008-05-20,Marissa Jaret Winokur
6,2008-03-17,2008-05-20,Marlee Matlin
6,2008-03-17,2008-05-20,Monica Seles
6,2008-03-17,2008-05-20,Penn Jillette
6,2008-03-17,2008-05-20,Priscilla Presley
6,2008-03-17,2008-05-20,Shannon Elizabeth
6,2008-03-17,2008-05-20,Steve Guttenberg
7,2008-09-22,2008-11-25,Brooke Burke
7,2008-09-22,2008-11-25,Cloris Leachman
7,2008-09-22,2008-11-25,Cody Linley
7,2008-09-22,2008-11-25,Jeffrey Ross
7,2008-09-22,2008-11-25,Kim Kardashian
7,2008-09-22,2008-11-25,Lance Bass
7,2008-09-22,2008-11-25,Maurice Greene
7,2008-09-22,2008-11-25,Misty May-Treanor
7,2008-09-22,2008-11-25,Rocco DiSpirito
7,2008-09-22,2008-11-25,Susan Lucci
7,2008-09-22,2008-11-25,Ted McGinley
7,2008-09-22,2008-11-25,Toni Braxton
7,2008-09-22,2008-11-25,Warren Sapp
8,2009-03-09,2009-05-19,Belinda Carlisle
8,2009-03-09,2009-05-19,Chuck Wicks
8,2009-03-09,2009-05-19,David Alan Grier
8,2009-03-09,2009-05-19,Denise Richards
8,2009-03-09,2009-05-19,Gilles Marini
8,2009-03-09,2009-05-19,Holly Madison
8,2009-03-09,2009-05-19,Lawrence Taylor
8,2009-03-09,2009-05-19,Lil' Kim
8,2009-03-09,2009-05-19,Melissa Rycroft
8,2009-03-09,2009-05-19,Shawn Johnson
8,2009-03-09,2009-05-19,Steve Wozniak
8,2009-03-09,2009-05-19,Steve-O
8,2009-03-09,2009-05-19,Ty Murray
9,2009-09-21,2009-11-24,Aaron Carter
9,2009-09-21,2009-11-24,Ashley Hamiliton
9,2009-09-21,2009-11-24,Chuck Liddell
9,2009-09-21,2009-11-24,Debi Mazar
9,2009-09-21,2009-11-24,Donny Osmond
9,2009-09-21,2009-11-24,Joanna Krupa
9,2009-09-21,2009-11-24,Kathy Ireland
9,2009-09-21,2009-11-24,Kelly Osbourne
9,2009-09-21,2009-11-24,Louie Vito
9,2009-09-21,2009-11-24,Macy Gray
9,2009-09-21,2009-11-24,Mark Dacascos
9,2009-09-21,2009-11-24,Melissa Joan Hart
9,2009-09-21,2009-11-24,Michael Irvin
9,2009-09-21,2009-11-24,Mya
9,2009-09-21,2009-11-24,Natalie Coughlin
9,2009-09-21,2009-11-24,Tom DeLay
10,2010-03-22,2010-05-25,Aiden Turner
10,2010-03-22,2010-05-25,Buzz Aldrin
10,2010-03-22,2010-05-25,Chad Ochocinco
10,2010-03-22,2010-05-25,Erin Andrews
10,2010-03-22,2010-05-25,Evan Lysacek
10,2010-03-22,2010-05-25,Jake Pavelka
10,2010-03-22,2010-05-25,Kate Gosselin
10,2010-03-22,2010-05-25,Nicole Scherzinger
10,2010-03-22,2010-05-25,Niecy Nash
10,2010-03-22,2010-05-25,Pamela Anderson
10,2010-03-22,2010-05-25,Shannen Doherty
11,2010-09-20,2010-11-23,Audrina Patridge
11,2010-09-20,2010-11-23,Brandy
11,2010-09-20,2010-11-23,Bristol Palin
11,2010-09-20,2010-11-23,David Hasselhoff
11,2010-09-20,2010-11-23,Florence Henderson
11,2010-09-20,2010-11-23,Jennifer Grey
11,2010-09-20,2010-11-23,Kurt Warner
11,2010-09-20,2010-11-23,Kyle Massey
11,2010-09-20,2010-11-23,Margaret Cho
11,2010-09-20,2010-11-23,Michael Bolton
11,2010-09-20,2010-11-23,Rick Fox
11,2010-09-20,2010-11-23,The Situation
12,2011-03-21,2011-05-24,Chelsea Kane
12,2011-03-21,2011-05-24,Chris Jericho
12,2011-03-21,2011-05-24,Hines Ward
12,2011-03-21,2011-05-24,Kendra Wilkinson
12,2011-03-21,2011-05-24,Kirstie Alley
12,2011-03-21,2011-05-24,Mike Catherwood
12,2011-03-21,2011-05-24,Petra Nemcova
12,2011-03-21,2011-05-24,Ralph Macchio
12,2011-03-21,2011-05-24,Romeo
12,2011-03-21,2011-05-24,Sugar Ray Leonard
12,2011-03-21,2011-05-24,Wendy Williams
13,2011-09-19,2011-11-22,Carson Kressley
13,2011-09-19,2011-11-22,Chaz Bono
13,2011-09-19,2011-11-22,Chynna Phillips
13,2011-09-19,2011-11-22,David Arquette
13,2011-09-19,2011-11-22,Elisabetta Canalis
13,2011-09-19,2011-11-22,Hope Solo
13,2011-09-19,2011-11-22,J.R. Martinez
13,2011-09-19,2011-11-22,Kristin Cavallari
13,2011-09-19,2011-11-22,Metta World Peace (Ron)
13,2011-09-19,2011-11-22,Nancy Grace
13,2011-09-19,2011-11-22,Ricki Lake
13,2011-09-19,2011-11-22,Rob Kardashian
14,2012-03-19,2012-05-22,Donald Driver
14,2012-03-19,2012-05-22,Gavin DeGraw
14,2012-03-19,2012-05-22,Gladys Knight
14,2012-03-19,2012-05-22,Jack Wagner
14,2012-03-19,2012-05-22,Jaleel White
14,2012-03-19,2012-05-22,Katherine Jenkins
14,2012-03-19,2012-05-22,Maria Menounos
14,2012-03-19,2012-05-22,Martina Navratilova
14,2012-03-19,2012-05-22,Melissa Gilbert
14,2012-03-19,2012-05-22,Roshon Fegan
14,2012-03-19,2012-05-22,Sherri Sheperd
14,2012-03-19,2012-05-22,William Levy
15,2012-09-24,2012-11-27,Apolo Anton Ohno
15,2012-09-24,2012-11-27,Bristol Palin
15,2012-09-24,2012-11-27,Drew Lachey
15,2012-09-24,2012-11-27,Emmitt Smith
15,2012-09-24,2012-11-27,Gilles Marini
15,2012-09-24,2012-11-27,Helio Castroneves
15,2012-09-24,2012-11-27,Joey Fatone
15,2012-09-24,2012-11-27,Kelly Monaco
15,2012-09-24,2012-11-27,Kirstie Alley
15,2012-09-24,2012-11-27,Melissa Rycroft
15,2012-09-24,2012-11-27,Pamela Anderson
15,2012-09-24,2012-11-27,Sabrina Bryan
15,2012-09-24,2012-11-27,Shawn Johnson
16,2013-03-18,2013-05-21,Alexandra Raisman
16,2013-03-18,2013-05-21,Andy Dick
16,2013-03-18,2013-05-21,D. L. Hughley
16,2013-03-18,2013-05-21,Dorothy Hamill
16,2013-03-18,2013-05-21,Ingo Rademacher
16,2013-03-18,2013-05-21,Jacoby Jones
16,2013-03-18,2013-05-21,Kellie Pickler
16,2013-03-18,2013-05-21,Lisa Vanderpump
16,2013-03-18,2013-05-21,Sean Lowe
16,2013-03-18,2013-05-21,Victor Ortiz
16,2013-03-18,2013-05-21,Wynonna Judd
16,2013-03-18,2013-05-21,Zendaya
17,2013-09-16,2013-11-26,Amber Riley
17,2013-09-16,2013-11-26,Bill Engvall
17,2013-09-16,2013-11-26,Bill Nye
17,2013-09-16,2013-11-26,Brant Daugherty
17,2013-09-16,2013-11-26,Christina Milian
17,2013-09-16,2013-11-26,Corbin Bleu
17,2013-09-16,2013-11-26,Elizabeth Berkley Lauren
17,2013-09-16,2013-11-26,Jack Osbourne
17,2013-09-16,2013-11-26,Keyshawn Johnson
17,2013-09-16,2013-11-26,Leah Remini
17,2013-09-16,2013-11-26,"Nicole ""Snooki"" Polizzi"
17,2013-09-16,2013-11-26,Valerie Harper
18,2014-03-17,2014-05-20,Amy Purdy
18,2014-03-17,2014-05-20,Billy Dee Williams
18,2014-03-17,2014-05-20,Candace Cameron Bure
18,2014-03-17,2014-05-20,Charlie White
18,2014-03-17,2014-05-20,Cody Simpson
18,2014-03-17,2014-05-20,Danica McKellar
18,2014-03-17,2014-05-20,Diana Nyad
18,2014-03-17,2014-05-20,Drew Carey
18,2014-03-17,2014-05-20,James Maslow
18,2014-03-17,2014-05-20,Meryl Davis
18,2014-03-17,2014-05-20,NeNe Leakes
18,2014-03-17,2014-05-20,Sean Avery
19,2014-09-15,2014-11-25,Alfonso Ribeiro
19,2014-09-15,2014-11-25,Antonio Sabato Jr.
19,2014-09-15,2014-11-25,Bethany Mota
19,2014-09-15,2014-11-25,Betsey Johnson
19,2014-09-15,2014-11-25,Janel Parrish
19,2014-09-15,2014-11-25,Jonathan Bennett
19,2014-09-15,2014-11-25,Lea Thompson
19,2014-09-15,2014-11-25,Lolo Jones
19,2014-09-15,2014-11-25,Michael Waltrip
19,2014-09-15,2014-11-25,Randy Couture
19,2014-09-15,2014-11-25,Sadie Robertson
19,2014-09-15,2014-11-25,Tavis Smiley
19,2014-09-15,2014-11-25,Tommy Chong
20,2015-03-16,2015-05-19,Charlotte McKinney
20,2015-03-16,2015-05-19,Chris Soules
20,2015-03-16,2015-05-19,Michael Sam
20,2015-03-16,2015-05-19,Nastia Liukin
20,2015-03-16,2015-05-19,Noah Galloway
20,2015-03-16,2015-05-19,Patti LaBelle
20,2015-03-16,2015-05-19,Redfoo
20,2015-03-16,2015-05-19,Riker Lynch
20,2015-03-16,2015-05-19,Robert Herjavec
20,2015-03-16,2015-05-19,Rumer Willis
20,2015-03-16,2015-05-19,Suzanne Somers
20,2015-03-16,2015-05-19,Willow Shields
21,2015-09-14,2015-11-24,Alek Skarlatos
21,2015-09-14,2015-11-24,Alexa PenaVega
