season,mean_viewers,n_episodes,note
1,20.19,15,ok
2,21.11,15,ok
3,21.34,15,ok
4,21.3,15,ok
5,22.49,15,ok
6,21.35,15,ok
7,21.31,15,ok
8,21.36,15,ok
9,20.22,15,ok
10,21.88,15,ok
11,16.8,16,ok
12,19.37,15,ok
13,21.11,15,ok
14,20.14,15,ok
15,23.05,15,ok
16,23.07,15,ok
17,23.0,15,ok
18,21.13,15,ok
19,20.48,15,ok
20,19.18,15,ok
21,19.32,15,ok
22,22.3,15,ok
23,17.7,15,ok
24,17.16,15,ok
25,20.05,15,ok
26,18.7,15,ok
27,19.95,15,ok
28,19.37,15,ok
29,19.37,15,ok
30,18.4,15,ok
31,19.65,15,ok
32,18.86,15,ok
33,18.65,15,ok
34,18.67,15,ok
