season,ep_no,viewers_millions
1,1,13.48
1,2,15.09
1,3,15.67
1,4,15.52
1,5,18.59
1,6,22.36
1,7,10.91
1,8,10.48
2,1,17.46
2,2,12.88
2,3,17.36
2,4,13.66
2,5,18.98
2,6,15.44
2,7,19.37
2,8,14.0
2,9,18.83
2,10,16.04
2,11,19.96
2,12,14.59
2,13,19.26
2,14,15.75
2,15,17.7
2,16,27.23
3,1,20.22
3,2,16.3
3,3,17.92
3,4,14.79
3,5,17.91
3,6,15.81
3,7,18.38
3,8,17.49
3,9,20.1
3,10,18.21
3,11,21.25
3,12,19.23
3,13,20.69
3,14,20.02
3,15,20.51
3,16,19.22
3,17,21.98
3,18,20.68
3,19,26.8
3,20,27.51
4,1,21.8
4,2,20.42
4,3,17.93
4,4,18.24
4,5,14.99
4,6,18.84
4,7,17.32
4,8,18.87
4,9,16.54
4,10,18.87
4,11,16.56
4,12,18.97
4,13,16.26
4,14,19.44
4,15,16.86
4,16,19.58
4,17,18.44
4,18,20.19
4,19,22.96
5,1,21.25
5,2,18.5
5,3,16.81
5,4,20.21
5,5,18.5
5,6,19.62
5,7,16.36
5,8,19.4
5,9,17.3
5,10,21.37
5,11,18.06
5,12,21.43
5,13,18.86
5,14,20.47
5,15,17.06
5,16,21.81
5,17,17.59
5,18,22.85
5,19,20.95
5,20,24.23
5,21,24.87
6,1,21.15
6,2,17.02
6,3,20.51
6,4,17.49
6,5,20.56
6,6,17.28
6,7,19.68
6,8,17.02
6,9,17.2
6,10,15.42
6,11,18.04
6,12,17.97
6,13,18.22
6,14,17.06
6,15,18.1
6,16,18.38
6,17,18.47
6,18,16.99
6,19,19.22
6,20,20.12
7,1,21.34
7,2,18.3
7,3,15.87
7,4,18.88
7,5,15.49
7,6,18.59
7,7,15.05
7,8,17.76
7,9,14.82
7,10,18.5
7,11,16.35
7,12,18.88
7,13,17.44
7,14,17.09
7,15,15.85
7,16,18.69
7,17,16.52
7,18,19.63
7,19,17.59
7,20,21.09
7,21,20.65
8,1,22.83
8,2,21.22
8,3,12.74
8,4,20.34
8,5,16.12
8,6,20.48
8,7,13.51
8,8,19.88
8,9,14.56
8,10,19.46
8,11,15.24
8,12,20.53
8,13,14.72
8,14,19.23
8,15,14.72
8,16,20.28
8,17,14.56
8,18,18.55
8,19,14.06
8,20,19.17
8,21,20.31
9,1,17.79
9,2,15.37
9,3,15.36
9,4,17.03
9,5,13.02
9,6,16.35
9,7,12.42
9,8,16.79
9,9,13.95
9,10,16.82
9,11,14.92
9,12,17.38
9,13,15.2
9,14,16.69
9,15,15.05
9,16,17.62
9,17,16.23
9,18,18.84
9,19,16.02
9,20,20.41
9,21,19.29
10,1,24.19
10,2,22.97
10,3,14.28
10,4,21.21
10,5,12.44
10,6,20.56
10,7,13.0
10,8,21.07
10,9,13.56
10,10,20.0
10,11,12.39
10,12,19.64
10,13,12.04
10,14,19.16
10,15,12.52
10,16,19.04
10,17,13.19
10,18,19.36
10,19,18.0
11,1,21.0
11,2,18.31
11,3,21.34
11,4,17.34
11,5,19.89
11,6,16.7
11,7,19.53
11,8,16.08
11,9,19.33
11,10,15.53
11,11,20.41
11,12,15.93
11,13,19.93
11,14,16.93
11,15,19.95
11,16,16.96
11,17,20.68
11,18,17.22
11,19,23.7
11,20,24.19
13,1,19.03
13,2,10.97
13,3,14.79
13,4,16.23
13,5,9.49
13,6,14.39
13,7,16.4
13,8,9.11
13,9,14.8
13,10,16.3
13,11,16.6
13,12,17.47
13,13,13.5
13,14,16.99
13,15,14.1
13,16,16.3
13,17,15.21
13,18,18.03
13,19,14.8
13,20,18.5
13,21,15.15
13,22,19.61
13,23,19.45
14,1,18.79
14,2,17.96
14,3,15.74
14,4,16.87
14,5,15.61
14,6,16.39
14,7,13.39
14,8,16.65
14,9,14.17
14,10,17.62
14,11,14.54
14,12,16.0
14,13,13.87
14,14,16.37
14,15,13.71
14,16,15.79
14,17,13.23
14,18,16.84
14,19,17.75
15,1,14.11
15,2,11.79
15,3,12.38
15,4,12.03
15,5,13.55
15,6,13.33
15,7,13.64
15,8,12.92
15,9,13.27
15,10,12.0
15,11,13.0
15,12,11.49
15,13,13.48
15,14,13.79
15,15,12.11
15,16,14.28
15,17,13.01
15,18,16.0
15,19,16.73
16,1,17.06
