season,celebrityname,wiki_title,pageid,cutoff_start_utc,edits_start_to_cutoff,cutoff_end_utc,edits_end_to_cutoff,edits_change,status_start,status_end,notes
1,Evander Holyfield,Evander Holyfield,158538,2005-05-25T00:00:00Z,49.0,2005-07-07T00:00:00Z,58,9,ok,ok,nan
1,Joey McIntyre,Joey McIntyre,2048467,2005-05-25T00:00:00Z,0.0,2005-07-07T00:00:00Z,23,23,ok,ok,nan
1,John O'Hurley,John O'Hurley,1539454,2005-05-25T00:00:00Z,4.0,2005-07-07T00:00:00Z,6,2,ok,ok,nan
1,Kelly Monaco,Kelly Monaco,719429,2005-05-25T00:00:00Z,28.0,2005-07-07T00:00:00Z,52,24,ok,ok,nan
1,Rachel Hunter,Rachel Hunter,640889,2005-05-25T00:00:00Z,15.0,2005-07-07T00:00:00Z,26,11,ok,ok,nan
1,Trista Sutter,Trista Sutter,1584380,2005-05-25T00:00:00Z,25.0,2005-07-07T00:00:00Z,28,3,ok,ok,nan
2,Drew Lachey,Drew Lachey,2063909,2005-12-29T00:00:00Z,10.0,2006-02-27T00:00:00Z,51,41,ok,ok,nan
2,George Hamilton,George Hamilton,1290065,2005-12-29T00:00:00Z,nan,2006-02-27T00:00:00Z,9,,disambiguation,ok,Page is a disambiguation page (pageprops.disambiguation)
2,Giselle Fernandez,Giselle Fernández,1181002,2005-12-29T00:00:00Z,17.0,2006-02-27T00:00:00Z,29,12,ok,ok,nan
2,Jerry Rice,Jerry Rice,402607,2005-12-29T00:00:00Z,165.0,2006-02-27T00:00:00Z,234,69,ok,ok,nan
2,Kenny Mayne,Kenny Mayne,1817522,2005-12-29T00:00:00Z,10.0,2006-02-27T00:00:00Z,23,13,ok,ok,nan
2,Lisa Rinna,Lisa Rinna,704720,2005-12-29T00:00:00Z,40.0,2006-02-27T00:00:00Z,77,37,ok,ok,nan
2,Master P,Master P,168572,2005-12-29T00:00:00Z,203.0,2006-02-27T00:00:00Z,317,114,ok,ok,nan
2,Stacy Keibler,Stacy Keibler,307284,2005-12-29T00:00:00Z,604.0,2006-02-27T00:00:00Z,809,205,ok,ok,nan
2,Tatum O'Neal,Tatum O'Neal,489204,2005-12-29T00:00:00Z,59.0,2006-02-27T00:00:00Z,75,16,ok,ok,nan
2,Tia Carrere,Tia Carrere,411292,2005-12-29T00:00:00Z,78.0,2006-02-27T00:00:00Z,97,19,ok,ok,nan
3,Emmitt Smith,Emmitt Smith,154857,2006-09-05T00:00:00Z,258.0,2006-11-16T00:00:00Z,347,89,ok,ok,nan
3,Harry Hamlin,Harry Hamlin,689499,2006-09-05T00:00:00Z,59.0,2006-11-16T00:00:00Z,82,23,ok,ok,nan
3,Jerry Springer,Jerry Springer,21207345,2006-09-05T00:00:00Z,365.0,2006-11-16T00:00:00Z,441,76,ok,ok,nan
3,Joey Lawrence,Joey Lawrence,719197,2006-09-05T00:00:00Z,92.0,2006-11-16T00:00:00Z,148,56,ok,ok,nan
3,Mario Lopez,Mario Lopez,609663,2006-09-05T00:00:00Z,183.0,2006-11-16T00:00:00Z,352,169,ok,ok,nan
3,Monique Coleman,Monique Coleman,4462806,2006-09-05T00:00:00Z,158.0,2006-11-16T00:00:00Z,394,236,ok,ok,nan
3,Sara Evans,Sara Evans,913162,2006-09-05T00:00:00Z,341.0,2006-11-16T00:00:00Z,517,176,ok,ok,nan
3,Shanna Moakler,Shanna Moakler,1759214,2006-09-05T00:00:00Z,128.0,2006-11-16T00:00:00Z,180,52,ok,ok,nan
3,Tucker Carlson,Tucker Carlson,796076,2006-09-05T00:00:00Z,835.0,2006-11-16T00:00:00Z,990,155,ok,ok,nan
3,Vivica A. Fox,Vivica A. Fox,596313,2006-09-05T00:00:00Z,129.0,2006-11-16T00:00:00Z,152,23,ok,ok,nan
3,Willa Ford,Willa Ford,1282560,2006-09-05T00:00:00Z,649.0,2006-11-16T00:00:00Z,848,199,ok,ok,nan
4,Apolo Anton Ohno,Apolo Ohno,239012,2007-03-12T00:00:00Z,420.0,2007-05-23T00:00:00Z,557,137,ok,ok,nan
4,Billy Ray Cyrus,Billy Ray Cyrus,169602,2007-03-12T00:00:00Z,477.0,2007-05-23T00:00:00Z,623,146,ok,ok,nan
4,Clyde Drexler,Clyde Drexler,372857,2007-03-12T00:00:00Z,177.0,2007-05-23T00:00:00Z,218,41,ok,ok,nan
4,Heather Mills,Heather Mills,213199,2007-03-12T00:00:00Z,604.0,2007-05-23T00:00:00Z,817,213,ok,ok,nan
4,Ian Ziering,Ian Ziering,221723,2007-03-12T00:00:00Z,54.0,2007-05-23T00:00:00Z,116,62,ok,ok,nan
4,Joey Fatone,Joey Fatone,1202691,2007-03-12T00:00:00Z,147.0,2007-05-23T00:00:00Z,254,107,ok,ok,nan
4,John Ratzenberger,John Ratzenberger,98713,2007-03-12T00:00:00Z,212.0,2007-05-23T00:00:00Z,301,89,ok,ok,nan
4,Laila Ali,Laila Ali,145395,2007-03-12T00:00:00Z,161.0,2007-05-23T00:00:00Z,223,62,ok,ok,nan
4,Leeza Gibbons,Leeza Gibbons,1842870,2007-03-12T00:00:00Z,69.0,2007-05-23T00:00:00Z,83,14,ok,ok,nan
4,Paulina Porizkova,Paulina Porizkova,871448,2007-03-12T00:00:00Z,224.0,2007-05-23T00:00:00Z,292,68,ok,ok,nan
4,Shandi Finnessey,Shandi Finnessey,1872291,2007-03-12T00:00:00Z,185.0,2007-05-23T00:00:00Z,241,56,ok,ok,nan
5,Albert Reed,Albert Reed,39568850,2007-09-17T00:00:00Z,nan,2007-11-28T00:00:00Z,0,,disambiguation,ok,Page is a disambiguation page (pageprops.disambiguation)
5,Cameron Mathison,Cameron Mathison,2170780,2007-09-17T00:00:00Z,60.0,2007-11-28T00:00:00Z,85,25,ok,ok,nan
5,Floyd Mayweather Jr.,Floyd Mayweather Jr.,1388019,2007-09-17T00:00:00Z,1037.0,2007-11-28T00:00:00Z,1187,150,ok,ok,nan
