season,week,celebrity_name,s_share
34,1,Corey Feldman,0.06537015459979878
34,1,Danielle Fishel,0.07214403891223654
34,1,Elaine Hendrix,0.06275212989083913
34,1,Baron Davis,0.047067649925548856
34,1,Jordan Chiles,0.060858053018700696
34,1,Andy Richter,0.04328131221287108
34,1,Robert Irwin,0.13475388118568674
34,1,Hilaria Baldwin,0.06883953189549259
34,1,Lauren Jauregui,0.0661788563430638
34,1,Scott Hoying,0.06717750758743725
34,1,Alix Earle,0.07311847236680638
34,1,Jen Affleck,0.0898862975169768
34,1,Whitney Leavitt,0.050401093164878806
34,1,Dylan Efron,0.09817102137966273
34,2,Corey Feldman,0.05459054830336196
34,2,Danielle Fishel,0.06917453132947153
34,2,Elaine Hendrix,0.06447304152202227
34,2,Baron Davis,0.04359797626443788
34,2,Jordan Chiles,0.06472464827634514
34,2,Andy Richter,0.0374145323126416
34,2,Robert Irwin,0.14331542221595356
34,2,Hilaria Baldwin,0.07072738416967414
34,2,Lauren Jauregui,0.06799374236872206
34,2,Scott Hoying,0.06222540079935873
34,2,Alix Earle,0.07512367011498272
34,2,Jen Affleck,0.09559719220497416
34,2,Whitney Leavitt,0.05360330911075424
34,2,Dylan Efron,0.09743860100729991
34,3,Corey Feldman,0.04488461730776625
34,3,Danielle Fishel,0.07013659639972676
34,3,Elaine Hendrix,0.06536971924472375
34,3,Baron Davis,0.035846470512586076
34,3,Jordan Chiles,0.06761931820005543
34,3,Andy Richter,0.036815962141639694
34,3,Robert Irwin,0.1467660472075603
34,3,Hilaria Baldwin,0.07243029705674012
34,3,Lauren Jauregui,0.0669059557927302
34,3,Scott Hoying,0.06372361027180105
34,3,Alix Earle,0.07770405377001416
34,3,Jen Affleck,0.09501128235107067
34,3,Whitney Leavitt,0.056000601190763166
34,3,Dylan Efron,0.10078546855282232
34,4,Corey Feldman,0.0
34,4,Danielle Fishel,0.07608795338229896
34,4,Elaine Hendrix,0.07349103683054212
34,4,Baron Davis,0.0
34,4,Jordan Chiles,0.07602011851530968
34,4,Andy Richter,0.03854080947925211
34,4,Robert Irwin,0.16112353935742357
34,4,Hilaria Baldwin,0.08046663527291621
34,4,Lauren Jauregui,0.05654968937539717
34,4,Scott Hoying,0.06913080098839064
34,4,Alix Earle,0.0873577482582726
34,4,Jen Affleck,0.10555304222715768
34,4,Whitney Leavitt,0.0637107362394028
34,4,Dylan Efron,0.11196789007363656
34,5,Corey Feldman,0.0
34,5,Danielle Fishel,0.08017270407574817
34,5,Elaine Hendrix,0.07806159218271813
34,5,Baron Davis,0.0
34,5,Jordan Chiles,0.08205713990535698
34,5,Andy Richter,0.03900941651793569
34,5,Robert Irwin,0.17816567217433915
34,5,Hilaria Baldwin,0.06715012594555526
34,5,Lauren Jauregui,0.0
34,5,Scott Hoying,0.07343018450622382
34,5,Alix Earle,0.09659762937273599
34,5,Jen Affleck,0.11121961417799898
34,5,Whitney Leavitt,0.06932547571698323
34,5,Dylan Efron,0.12481044542440461
34,6,Corey Feldman,0.0
34,6,Danielle Fishel,0.08854092618441557
34,6,Elaine Hendrix,0.08620946182328827
34,6,Baron Davis,0.0
34,6,Jordan Chiles,0.09608628658263464
34,6,Andy Richter,0.03614135804344632
34,6,Robert Irwin,0.1967621500414976
34,6,Hilaria Baldwin,0.0
34,6,Lauren Jauregui,0.0
34,6,Scott Hoying,0.06937220002386871
34,6,Alix Earle,0.10461842128983032
34,6,Jen Affleck,0.11360450996142986
34,6,Whitney Leavitt,0.08117791498585562
34,6,Dylan Efron,0.12748677106373302
34,7,Corey Feldman,0.0
34,7,Danielle Fishel,0.08821511156142262
34,7,Elaine Hendrix,0.08423311302863608
34,7,Baron Davis,0.0
34,7,Jordan Chiles,0.09761832386423556
34,7,Andy Richter,0.03463070837978466
34,7,Robert Irwin,0.20383675923356562
34,7,Hilaria Baldwin,0.0
34,7,Lauren Jauregui,0.0
34,7,Scott Hoying,0.05504982572503801
34,7,Alix Earle,0.10979851044126342
34,7,Jen Affleck,0.11245294404747722
34,7,Whitney Leavitt,0.08464523378461954
34,7,Dylan Efron,0.12951946993395724
34,8,Corey Feldman,0.0
34,8,Danielle Fishel,0.09520979676993832
34,8,Elaine Hendrix,0.09120605964693881
34,8,Baron Davis,0.0
34,8,Jordan Chiles,0.10672809638716332
34,8,Andy Richter,0.03665952858242899
34,8,Robert Irwin,0.22142443217406718
34,8,Hilaria Baldwin,0.0
34,8,Lauren Jauregui,0.0
34,8,Scott Hoying,0.0
34,8,Alix Earle,0.11965798183756633
34,8,Jen Affleck,0.09557565870098407
34,8,Whitney Leavitt,0.09284363112144921
34,8,Dylan Efron,0.1406948147794637
34,9,Corey Feldman,0.0
34,9,Danielle Fishel,0.0854573715546822
34,9,Elaine Hendrix,0.10069259232470389
34,9,Baron Davis,0.0
34,9,Jordan Chiles,0.1198794531453612
34,9,Andy Richter,0.038875769160547864
34,9,Robert Irwin,0.2530368023501613
34,9,Hilaria Baldwin,0.0
34,9,Lauren Jauregui,0.0
34,9,Scott Hoying,0.0
34,9,Alix Earle,0.13517769931300097
34,9,Jen Affleck,0.0
34,9,Whitney Leavitt,0.10609875029093951
34,9,Dylan Efron,0.16078156186060316
34,10,Corey Feldman,0.0
34,10,Danielle Fishel,0.0
34,10,Elaine Hendrix,0.11082718287035545
34,10,Baron Davis,0.0
34,10,Jordan Chiles,0.1319451785817177
34,10,Andy Richter,0.03438531493103056
34,10,Robert Irwin,0.2806494586302949
34,10,Hilaria Baldwin,0.0
34,10,Lauren Jauregui,0.0
34,10,Scott Hoying,0.0
34,10,Alix Earle,0.14935497575819406
34,10,Jen Affleck,0.0
34,10,Whitney Leavitt,0.1172262611230424
34,10,Dylan Efron,0.175611628105365
34,11,Corey Feldman,0.0
34,11,Danielle Fishel,0.0
34,11,Elaine Hendrix,0.11697218113084677
34,11,Baron Davis,0.0
34,11,Jordan Chiles,0.13991270151190668
34,11,Andy Richter,0.0
34,11,Robert Irwin,0.2975965045247921
34,11,Hilaria Baldwin,0.0
34,11,Lauren Jauregui,0.0
34,11,Scott Hoying,0.0
34,11,Alix Earle,0.15874387381656122
