partner_name,signed_shap,mean_abs_shap
Sasha Farber,0.0013864141673777,0.0013864141673777
Cheryl Burke,0.0012960951492856,0.0012960951492856
Emma Slater,0.0004835835955249,0.0004835835955249
Witney Carson,0.0003231030258008,0.0003231030258008
Peta Murgatroyd,0.0002804961346223,0.0002804961346223
Derek Hough,8.107754268541953e-05,8.107754268541953e-05
Sharna Burgess,-0.0001218867701742,0.0001218867701742
Valentin Chmerkovskiy,-0.0001437251098513,0.0001437251098513
Gleb Savchenko,-0.0001451105932943,0.0001451105932943
Kym Johnson,-0.0002155148721601,0.0002155148721601
Tony Dovolani,-0.0003738316428528,0.0003738316428528
Mark Ballas,-0.0005115685429303,0.0005115685429303
Maksim Chmerkoskiy,-0.0005221253825413,0.0005221253825413
Karina Smirnoff,-0.000760837709153,0.000760837709153
Other,-0.0028609185527421,0.0028609185527421
