feature,mean_abs_shap_success,mean_abs_shap_judge,mean_abs_shap_fan,judge_minus_fan,fan_minus_judge
judge_mean_w1_3,0.16292152525489123,0.8751560196974184,1.1138386358066272e-05,0.8751448813110604,-0.8751448813110604
fan_mean_w1_3,0.04329199037988076,0.00013214727015547817,0.03518246226649391,-0.03505031499633843,0.03505031499633843
age,0.029355654321011226,0.0003427690780096364,1.2629559252384766e-05,0.00033013951875725164,-0.00033013951875725164
fan_w1,0.026250030051753654,0.0001708801439763994,0.0004645043704744813,-0.00029362422649808193,0.00029362422649808193
fan_slope_w1_3,0.01820105454496436,0.00040306318720717294,0.00025062594122919607,0.00015243724597797687,-0.00015243724597797687
judge_w1,0.010304493730074589,0.0002690865470980863,1.2970818339206431e-05,0.0002561157287588799,-0.0002561157287588799
judge_slope_w1_3,0.005011849017334485,0.00026995339092120315,2.9094416405020887e-05,0.00024085897451618226,-0.00024085897451618226
partner_clean_Other_Partner,0.0041413545752687604,0.0001154637613016592,1.5618522536721238e-06,0.00011390190904798707,-0.00011390190904798707
industry_clean_Singer/Rapper,0.0031147981902136974,5.960794250583689e-05,5.340917019904701e-07,5.9073850803846424e-05,-5.9073850803846424e-05
industry_clean_TV Personality,0.003010129217632783,4.543292547029648e-05,0.0,4.543292547029648e-05,-4.543292547029648e-05
state_clean_Other_State,0.0012050826425470875,9.567344776701045e-06,3.805667716964362e-07,9.186778005004609e-06,-9.186778005004609e-06
state_clean_Unknown,0.0011752030534582193,1.5467521259304224e-05,3.486875039798145e-07,1.5118833755324409e-05,-1.5118833755324409e-05
state_clean_California,0.0009140597093481121,3.092294122318358e-05,4.81326250617131e-07,3.044161497256645e-05,-3.044161497256645e-05
country_clean_United States,0.0009090841845280479,2.056048280767413e-06,7.77535971676148e-07,1.2785123090912648e-06,-1.2785123090912648e-06
partner_clean_Cheryl Burke,0.0009029479461527635,1.327136662757679e-05,0.0,1.327136662757679e-05,-1.327136662757679e-05
industry_clean_Model,0.000685016611737212,0.0,0.0,0.0,-0.0
state_clean_New York,0.0006384763345247839,3.3320924764232116e-05,1.5173866017241328e-07,3.31691861040597e-05,-3.31691861040597e-05
industry_clean_Athlete,0.0004822695374430354,3.020542581733617e-05,1.5544429094740486e-06,2.8650982907862122e-05,-2.8650982907862122e-05
state_clean_Texas,0.0004713844620865913,5.698336771813252e-06,0.0,5.698336771813252e-06,-5.698336771813252e-06
partner_clean_Karina Smirnoff,0.0003919057569654121,0.0,0.0,0.0,-0.0
partner_clean_Emma Slater,0.00038666252875845647,0.0,0.0,0.0,-0.0
industry_clean_Other,0.0003689481066312254,1.2027692035257882e-05,0.0,1.2027692035257882e-05,-1.2027692035257882e-05
country_clean_Other_Country,0.0003077375363616403,5.093462917095565e-06,0.0,5.093462917095565e-06,-5.093462917095565e-06
partner_clean_Maksim Chmerkoskiy,0.000296500357021719,3.000175885316309e-06,0.0,3.000175885316309e-06,-3.000175885316309e-06
state_clean_Ohio,0.00021654228426648645,0.0,0.0,0.0,-0.0
state_clean_Florida,0.00020925686150192216,0.0,0.0,0.0,-0.0
state_clean_Illinois,0.00019650622207206215,0.0,0.0,0.0,-0.0
partner_clean_Tony Dovolani,0.00017491884855689552,1.2982291049698272e-05,0.0,1.2982291049698272e-05,-1.2982291049698272e-05
state_clean_Georgia,0.00015835720524289045,0.0,0.0,0.0,-0.0
industry_clean_Comedian,0.00013656377255656175,0.0,0.0,0.0,-0.0
partner_clean_Sasha Farber,0.00010760660548352582,6.254270427503408e-07,0.0,6.254270427503408e-07,-6.254270427503408e-07
partner_clean_Mark Ballas,0.00010187841830291397,2.8267983996647936e-05,0.0,2.8267983996647936e-05,-2.8267983996647936e-05
partner_clean_Witney Carson,8.888137686120715e-05,2.683691536888798e-06,0.0,2.683691536888798e-06,-2.683691536888798e-06
state_clean_Pennsylvania,8.627826263814003e-05,2.284464619646682e-06,0.0,2.284464619646682e-06,-2.284464619646682e-06
partner_clean_Kym Johnson,7.855696655240084e-05,0.0,0.0,0.0,-0.0
partner_clean_Derek Hough,4.3528260637151185e-05,6.365469926835314e-06,2.9411392148813973e-06,3.4243307119539167e-06,-3.4243307119539167e-06
partner_clean_Peta Murgatroyd,3.7756514885665214e-05,0.0,0.0,0.0,-0.0
partner_clean_Valentin Chmerkovskiy,3.067457376140098e-05,7.581809265964334e-07,0.0,7.581809265964334e-07,-7.581809265964334e-07
partner_clean_Gleb Savchenko,2.231534031655133e-05,0.0,0.0,0.0,-0.0
partner_clean_Sharna Burgess,0.0,0.0,0.0,0.0,-0.0
country_clean_Chile,0.0,0.0,0.0,0.0,-0.0
country_clean_Italy,0.0,0.0,0.0,0.0,-0.0
country_clean_England,0.0,0.0,0.0,0.0,-0.0
country_clean_Mexico,0.0,0.0,0.0,0.0,-0.0
country_clean_France,0.0,0.0,0.0,0.0,-0.0
