feature,mean_abs_shap,signed_shap,feature_clean
age,0.02281122306566279,0.0003905327402321381,age
partner_clean_Derek Hough,0.009439770605272887,-0.0003635731255647497,Partner: Derek Hough
homestate_clean_Other_State,0.0031176312210012425,5.019639434012516e-06,State: Other_State
homestate_clean_Georgia,0.001235959346076641,-0.00016031931872349526,State: Georgia
homestate_clean_Pennsylvania,0.0011753847435216928,-0.0001348139454616599,State: Pennsylvania
industry_clean_Singer/Rapper,0.0010533770909948662,-0.00012102500773687322,Industry: Singer/Rapper
industry_clean_TV Personality,0.0010065860819965986,5.211785065330176e-05,Industry: TV Personality
partner_clean_Valentin Chmerkovskiy,0.0009610469285030719,-8.281156724418182e-05,Partner: Valentin Chmerkovskiy
homestate_clean_California,0.0009368737561065612,1.620742189736599e-05,State: California
partner_clean_Sharna Burgess,0.0009101077454038131,-5.766982455175699e-05,Partner: Sharna Burgess
homestate_clean_Louisiana,0.0008149951127773623,-0.00014940556538812927,State: Louisiana
partner_clean_Maksim Chmerkoskiy,0.0007925143839822816,-7.82920946741509e-05,Partner: Maksim Chmerkoskiy
industry_clean_Model,0.0007882968063141424,0.00013823710269056486,Industry: Model
partner_clean_Other_Partner,0.0006920285039386285,3.158304276978817e-05,Partner: Other_Partner
homestate_clean_Florida,0.0004235347765356634,7.901753231409313e-05,State: Florida
partner_clean_Kym Johnson,0.0003560803987171654,-2.5102483013050124e-05,Partner: Kym Johnson
partner_clean_Cheryl Burke,0.0003434453348688566,-2.785807720042895e-05,Partner: Cheryl Burke
partner_clean_Karina Smirnoff,0.0003223971035070936,-1.4376209792467252e-05,Partner: Karina Smirnoff
homestate_clean_New York,0.00030162561449841984,-6.999530407035225e-05,State: New York
industry_clean_Athlete,0.0002617221389546723,-4.4466889648997017e-07,Industry: Athlete
partner_clean_Witney Carson,0.0002536871130137686,-2.665502865187273e-05,Partner: Witney Carson
industry_clean_Other,0.0002323158170494588,3.6925043971457904e-06,Industry: Other
homecountry_clean_Canada,0.0002268657742920448,-8.93959390987087e-06,Country: Canada
homestate_clean_New Jersey,0.00020948303948183084,3.915288924498486e-05,State: New Jersey
partner_clean_Mark Ballas,0.0001624010660532515,2.843538966569628e-05,Partner: Mark Ballas
homecountry_clean_United States,0.00014394518112246162,1.3946275989868781e-05,Country: United States
partner_clean_Sasha Farber,0.00014135381221432245,-2.683412685175174e-05,Partner: Sasha Farber
homestate_clean_Illinois,0.00013281913761211967,8.363440307347205e-05,State: Illinois
homestate_clean_Unknown,0.00012581805133563226,4.425584085654017e-05,State: Unknown
homecountry_clean_Other_Country,0.00011692917117844912,-4.75503302011869e-06,Country: Other_Country
partner_clean_Gleb Savchenko,9.820629290392109e-05,2.2346350773840942e-05,Partner: Gleb Savchenko
homecountry_clean_Brazil,8.171598792881643e-05,-3.438725875185994e-05,Country: Brazil
homestate_clean_Texas,6.759925244569496e-05,-4.057892439409546e-06,State: Texas
industry_clean_Comedian,6.012300514036878e-05,1.326601282653615e-05,Industry: Comedian
partner_clean_Emma Slater,5.7086244035456246e-05,1.2019184508941598e-05,Partner: Emma Slater
homecountry_clean_England,5.215703749146066e-05,-9.190186451275001e-06,Country: England
partner_clean_Peta Murgatroyd,4.55906054264431e-05,5.029845082681992e-06,Partner: Peta Murgatroyd
partner_clean_Tony Dovolani,4.338390528452745e-05,1.6908923129938308e-06,Partner: Tony Dovolani
homestate_clean_Kentucky,3.100555834704125e-05,-5.37425638889676e-06,State: Kentucky
homestate_clean_Ohio,3.093322351465127e-05,7.843767601285381e-06,State: Ohio
homecountry_clean_France,1.632840290778332e-05,-8.257557958393752e-06,Country: France
homestate_clean_Iowa,9.624063504060156e-06,4.125292584860792e-06,State: Iowa
homestate_clean_Michigan,9.602009159335697e-06,-9.629306830074778e-08,State: Michigan
homecountry_clean_Italy,6.3632516492211476e-06,3.8034153715914838e-06,Country: Italy
homecountry_clean_Australia,2.1118645507365845e-06,1.3011953078390594e-06,Country: Australia
homecountry_clean_Mexico,0.0,0.0,Country: Mexico
homecountry_clean_Taiwan China,0.0,0.0,Country: Taiwan China
homecountry_clean_Russia,0.0,0.0,Country: Russia
homecountry_clean_Croatia,0.0,0.0,Country: Croatia
homecountry_clean_Ireland,0.0,0.0,Country: Ireland
homecountry_clean_Czechoslovakia,0.0,0.0,Country: Czechoslovakia
homecountry_clean_Chile,0.0,0.0,Country: Chile
missing_fan_share,0.0,0.0,missing_fan_share
