feature,mean_abs_shap,signed_shap,feature_clean
fan_mean_w1_3,0.035098280837438794,0.035098280837438794,Avg Fan (W1-3)
fan_w1,0.0007136525250907784,0.0007136525250907784,Fan Share (W1)
fan_slope_w1_3,0.0004824191221841308,0.0004824191221841308,fan_slope_w1_3
judge_slope_w1_3,4.949061845264968e-05,-4.949061845264968e-05,judge_slope_w1_3
age,3.969140019198614e-05,-3.969140019198614e-05,Age
industry_clean_Singer/Rapper,3.579475341252589e-05,3.579475341252589e-05,Industry: Singer/Rapper
judge_mean_w1_3,2.7239244389957142e-05,2.7239244389957142e-05,Avg Judge (W1-3)
state_clean_Other_State,2.630970375816828e-05,2.630970375816828e-05,State: Other
judge_w1,1.4786830087789016e-05,1.4786830087789016e-05,Judge Score (W1)
state_clean_New Jersey,1.2870976411670776e-05,1.2870976411670776e-05,State: New Jersey
partner_clean_Valentin Chmerkovskiy,1.0163033785580188e-05,1.0163033785580188e-05,Partner: Valentin Chmerkovskiy
partner_clean_Sharna Burgess,8.272383293702414e-06,-8.272383293702414e-06,Partner: Sharna Burgess
industry_clean_Athlete,6.274932352786587e-06,6.274932352786587e-06,Industry: Athlete
state_clean_California,5.6552937151937444e-06,5.6552937151937444e-06,State: California
partner_clean_Derek Hough,3.817404662057741e-06,3.817404662057741e-06,Partner: Derek Hough
industry_clean_TV Personality,3.6879514022529005e-06,-3.6879514022529005e-06,Industry: TV Personality
partner_clean_Other_Partner,3.5228422406647878e-06,-3.5228422406647878e-06,Partner: Other
state_clean_Unknown,1.9931918110483045e-06,-1.9931918110483045e-06,State: Unknown
state_clean_Pennsylvania,1.8790121452762573e-06,1.8790121452762573e-06,State: Pennsylvania
industry_clean_Other,1.4583945788074351e-06,-1.4583945788074351e-06,Industry: Other
country_clean_United States,1.0791111621046007e-06,-1.0791111621046007e-06,Country: United States
partner_clean_Mark Ballas,9.789953595772712e-07,-9.789953595772712e-07,Partner: Mark Ballas
partner_clean_Cheryl Burke,9.29710478395188e-07,9.29710478395188e-07,Partner: Cheryl Burke
partner_clean_Maksim Chmerkoskiy,6.661567044228296e-07,-6.661567044228296e-07,Partner: Maksim Chmerkoskiy
state_clean_New York,6.474069700257009e-07,-6.474069700257009e-07,State: New York
country_clean_Canada,6.393705593340176e-07,6.393705593340176e-07,Country: Canada
state_clean_Illinois,4.303999738580145e-07,-4.303999738580145e-07,State: Illinois
state_clean_Massachusetts,3.68751439419421e-07,-3.68751439419421e-07,State: Massachusetts
state_clean_Florida,3.565906210713875e-07,-3.565906210713875e-07,State: Florida
state_clean_Washington,3.525270900045162e-07,3.525270900045162e-07,State: Washington
state_clean_Georgia,2.628068482768046e-07,-2.628068482768046e-07,State: Georgia
state_clean_Ohio,2.5811227459295024e-07,2.5811227459295024e-07,State: Ohio
state_clean_Virginia,2.409698824934124e-07,-2.409698824934124e-07,State: Virginia
partner_clean_Karina Smirnoff,2.379108592690429e-07,2.379108592690429e-07,Partner: Karina Smirnoff
country_clean_Other_Country,1.8263156274754548e-07,-1.8263156274754548e-07,Country: Other_Country
partner_clean_Kym Johnson,1.597523820411274e-07,-1.597523820411274e-07,Partner: Kym Johnson
partner_clean_Tony Dovolani,1.4998375492435277e-07,1.4998375492435277e-07,Partner: Tony Dovolani
state_clean_Michigan,1.256965177609772e-07,1.256965177609772e-07,State: Michigan
country_clean_Brazil,1.0298357367900017e-07,-1.0298357367900017e-07,Country: Brazil
state_clean_Connecticut,7.403445290772806e-08,-7.403445290772806e-08,State: Connecticut
partner_clean_Peta Murgatroyd,7.036190553375979e-08,7.036190553375979e-08,Partner: Peta Murgatroyd
state_clean_Maryland,6.536029250753363e-08,-6.536029250753363e-08,State: Maryland
industry_clean_Comedian,5.343755348277835e-08,-5.343755348277835e-08,Industry: Comedian
partner_clean_Gleb Savchenko,5.248414823635473e-08,-5.248414823635473e-08,Partner: Gleb Savchenko
state_clean_Kentucky,4.398553187110864e-08,-4.398553187110864e-08,State: Kentucky
state_clean_Texas,3.628065793960045e-08,3.628065793960045e-08,State: Texas
state_clean_Louisiana,2.1128688556583096e-08,2.1128688556583096e-08,State: Louisiana
country_clean_England,8.221801634153959e-09,8.221801634153959e-09,Country: England
partner_clean_Emma Slater,0.0,-0.0,Partner: Emma Slater
country_clean_Mexico,0.0,-0.0,Country: Mexico
country_clean_Italy,0.0,-0.0,Country: Italy
country_clean_France,0.0,-0.0,Country: France
country_clean_Czechoslovakia,0.0,-0.0,Country: Czechoslovakia
country_clean_Chile,0.0,-0.0,Country: Chile
partner_clean_Sasha Farber,0.0,-0.0,Partner: Sasha Farber
state_clean_Iowa,0.0,-0.0,State: Iowa
industry_clean_Model,0.0,-0.0,Industry: Model
partner_clean_Witney Carson,0.0,-0.0,Partner: Witney Carson
