partner_clean,boost
Derek Hough,0.2867615040884011
Cheryl Burke,0.11263682683507951
Kym Johnson,0.10133292837536681
Valentin Chmerkovskiy,0.05654824304623827
Maksim Chmerkoskiy,0.05608808139916487
Sasha Farber,0.05109518650380193
Witney Carson,0.04709891578944928
Sharna Burgess,0.013432012267922264
Emma Slater,0.011316598966944822
Artem Chigvintsev,0.0026012334410502463
Mark Ballas,-0.01084778513450642
Karina Smirnoff,-0.019658656149147066
Tony Dovolani,-0.03562081084021974
Peta Murgatroyd,-0.03923497189023888
Other_Partner,-0.06161302206340992
Gleb Savchenko,-0.16344442774760554
