feature,feature_clean,signed_Success_Placement,abs_Success_Placement,signed_Judge_Appeal_Avg_Score,abs_Judge_Appeal_Avg_Score,signed_Fan_Appeal_Avg_Share,abs_Fan_Appeal_Avg_Share
Early Performance (W1-2),Early Performance (W1-2),0.003861690070785322,0.15818734653141311,0.011703477227513984,0.9184311961566823,0.0013842730666543503,0.03651573101977035
age,age,-0.002025954405609746,0.0535385746110615,-0.0009622604721851745,0.16378071400773309,-0.0002000742514777201,0.007580932194928528
homecountry_clean_Australia,Country: Australia,-7.782553544385658e-06,1.0765920527600034e-05,0.0,0.0,-2.745088983164435e-06,5.129552546340235e-06
homecountry_clean_Brazil,Country: Brazil,4.9970360554568114e-06,1.125287229226329e-05,0.0,0.0,0.0,0.0
homecountry_clean_Canada,Country: Canada,-3.172010299348948e-05,0.00012408565519727636,-5.5273804215142855e-05,0.00012302116019547948,-2.781671970138671e-05,0.00018217960378679607
homecountry_clean_Chile,Country: Chile,0.0,0.0,0.0,0.0,1.6122817547244972e-06,2.2338338854893145e-06
homecountry_clean_Croatia,Country: Croatia,0.0,0.0,0.0,0.0,0.0,0.0
homecountry_clean_Czechoslovakia,Country: Czechoslovakia,4.543830005218158e-05,8.830688215916874e-05,-6.308198584252095e-06,1.0157810079573896e-05,-8.521313269463622e-07,1.0761050044851747e-06
homecountry_clean_England,Country: England,-3.215852634095787e-05,0.0001087399332981691,0.00012493715424860528,0.0003398208558085825,-1.455111969967769e-05,5.7158925203852236e-05
homecountry_clean_France,Country: France,4.220299085787845e-06,9.65181137757146e-06,-4.1526714868806676e-05,5.771128772136349e-05,6.712526824343291e-07,8.534191091485544e-07
homecountry_clean_Ireland,Country: Ireland,0.0,0.0,0.0,0.0,0.0,0.0
homecountry_clean_Italy,Country: Italy,1.986328492750807e-06,2.4504485246916775e-06,9.111400760082791e-05,0.00017646840909723928,-5.014334050148242e-07,6.179563326792164e-07
homecountry_clean_Mexico,Country: Mexico,0.0,0.0,-6.759392268514953e-05,0.00011570449891518728,0.0,0.0
homecountry_clean_Other_Country,Country: Other_Country,7.021672574557854e-05,0.0001710084672536878,-2.566934059382753e-05,0.00012994779085592626,-5.681185454527681e-06,8.302514908535945e-05
homecountry_clean_Russia,Country: Russia,0.0,0.0,0.0,0.0,0.0,0.0
homecountry_clean_Taiwan China,Country: Taiwan China,0.0,0.0,0.0,0.0,0.0,0.0
homecountry_clean_United States,Country: United States,9.075902953314692e-06,0.0016316586018625013,6.197977591646603e-05,0.0019713823939284942,7.058583601138673e-05,0.0001966693285532622
homestate_clean_California,State: California,7.196881103114987e-05,0.006810977859822566,-6.001905350503022e-05,0.0038102502803816114,2.9878201594894435e-05,0.0006994056758568959
homestate_clean_Florida,State: Florida,4.403858531138591e-05,0.0004606391707495369,0.0003703805709035054,0.0019282770772166059,-1.007220326225202e-06,0.00018102180377634148
homestate_clean_Georgia,State: Georgia,-0.00023923470477323926,0.0010305634809794878,-0.0006054444404831136,0.0018875266335620373,-7.45087760602115e-05,0.0008148471362683553
homestate_clean_Illinois,State: Illinois,-0.00017309691241967483,0.002871215376200235,-0.0005476074742562778,0.0027809238555355446,-5.729663826092299e-05,0.0006798154842501532
homestate_clean_Iowa,State: Iowa,-2.0784754523651203e-05,5.4821559118738175e-05,-2.3773909561997356e-05,4.93828327486855e-05,-1.692525958936293e-06,2.209065309335897e-06
homestate_clean_Kentucky,State: Kentucky,3.947654171851245e-05,0.00030511060784100977,-1.1727031327739635e-05,0.00021010362785670527,-6.850264359696324e-06,1.8181321094480117e-05
homestate_clean_Louisiana,State: Louisiana,-0.00014952614200966851,0.0004730769870642243,-3.1465183147495824e-05,9.70398455672703e-05,-0.00013504033449982566,0.0007373439363808283
homestate_clean_Michigan,State: Michigan,1.5305281027592243e-05,6.711657933960103e-05,-0.0005227848077414622,0.0011025962935219528,1.448113984599936e-06,5.800230650265264e-06
homestate_clean_New Jersey,State: New Jersey,0.0001888084321276265,0.0005440043269286941,0.00025401239669094026,0.0005458486498977909,-6.7764248203460814e-06,9.128022269162878e-05
homestate_clean_New York,State: New York,0.00014898716584009199,0.0013190809731570656,0.0003332383967370188,0.002414219099070979,5.676574784060537e-06,0.0004762027459951912
homestate_clean_Ohio,State: Ohio,0.0003176845643116562,0.001980948970079759,0.0006169247951772994,0.0029745087459515478,4.363054073658469e-05,0.00018462732393798544
homestate_clean_Other_State,State: Other_State,-1.1557643794747028e-05,0.001149353962591924,0.0009777816343090268,0.0054842135853337675,-3.0400967536966022e-05,0.0010900627125310573
homestate_clean_Pennsylvania,State: Pennsylvania,-0.0005307540304021491,0.002588996969537839,-0.00047812944401961517,0.0018176184696234413,-4.6511029359944525e-05,0.0006983704237806637
homestate_clean_Texas,State: Texas,-0.00033171297844695146,0.00279540376955951,-0.000686343694005293,0.0045644626460507425,-1.1590452479684872e-05,0.0003659065341060675
homestate_clean_Unknown,State: Unknown,-8.450243797149487e-05,0.0016069185548042788,-3.2718033537293325e-05,0.002209049163839312,5.090523465913319e-05,0.00013668403083919611
industry_clean_Athlete,Industry: Athlete,-3.116102865676536e-05,0.001722793619152749,0.00038225224110688774,0.009750306305316134,-1.3491646399859265e-06,0.0006710003023784232
industry_clean_Comedian,Industry: Comedian,-0.0001715266667087817,0.0005303140335697055,-0.0006322625598867849,0.002195169222593569,-8.300545524620814e-06,4.469094510209203e-05
industry_clean_Model,Industry: Model,0.0008166918272922507,0.005202812395413607,0.0011350445422318035,0.0040874752558039025,5.98855491008926e-05,0.0002002484175795363
industry_clean_Other,Industry: Other,-0.00017714446003899752,0.0013045046893166662,-0.0008567875694693318,0.006167743270306709,1.6399178861291397e-06,0.00019712725136893222
industry_clean_Singer/Rapper,Industry: Singer/Rapper,0.00021543032128602032,0.0068049004403904784,-0.00039032179947573285,0.009172420631823028,-1.051633131792835e-05,0.00027556840744750327
industry_clean_TV Personality,Industry: TV Personality,-0.00041260142269012283,0.005255376022002131,-6.997318220440852e-05,0.013847317742384763,2.6310975036390776e-05,0.00042971243875115076
missing_fan_share,missing_fan_share,0.0,0.0,0.0,0.0,0.0,0.0
partner_clean_Cheryl Burke,Partner: Cheryl Burke,-0.00045390651537907244,0.00465406290861644,-0.0013036760873807419,0.007207501184239703,-1.3014214507123077e-05,0.0001605595406089204
partner_clean_Derek Hough,Partner: Derek Hough,-0.00034700622963415714,0.0010641394249004635,-0.0009665053606317545,0.003308430770912243,-0.000951057340819088,0.0044774946937935715
partner_clean_Emma Slater,Partner: Emma Slater,-8.93502617892398e-05,0.000527924624057439,-0.000368764102644601,0.0014726916555179615,-1.8486788093287757e-06,2.180930106428704e-05
partner_clean_Gleb Savchenko,Partner: Gleb Savchenko,4.1490315741892475e-05,0.0001988926955581147,-2.0804300541243587e-05,0.00016357312668353473,2.0423080385140273e-05,6.835956785182989e-05
