feature,mean_abs_shap,signed_shap,feature_clean
judge_mean_w1_3,0.16285412610933525,0.16285412610933525,Avg Judge (W1-3)
fan_mean_w1_3,0.04384755518187841,0.04384755518187841,Avg Fan (W1-3)
age,0.029044704001062804,-0.029044704001062804,Age
fan_w1,0.02594397729891316,0.02594397729891316,Fan Share (W1)
fan_slope_w1_3,0.01829638351982884,0.01829638351982884,fan_slope_w1_3
judge_w1,0.00892942816940762,-0.00892942816940762,Judge Score (W1)
judge_slope_w1_3,0.004323052069612397,0.004323052069612397,judge_slope_w1_3
partner_clean_Other_Partner,0.0028609185527421065,-0.0028609185527421065,Partner: Other
industry_clean_TV Personality,0.0027212439027774664,0.0027212439027774664,Industry: TV Personality
industry_clean_Singer/Rapper,0.002335818919701044,-0.002335818919701044,Industry: Singer/Rapper
state_clean_Other_State,0.0014032389961859744,-0.0014032389961859744,State: Other
partner_clean_Sasha Farber,0.0013864141673777396,0.0013864141673777396,Partner: Sasha Farber
partner_clean_Cheryl Burke,0.0012960951492856755,0.0012960951492856755,Partner: Cheryl Burke
industry_clean_Model,0.001132687660212462,-0.001132687660212462,Industry: Model
country_clean_Other_Country,0.0010305569394576017,-0.0010305569394576017,Country: Other_Country
state_clean_Unknown,0.0009221479995376208,-0.0009221479995376208,State: Unknown
state_clean_Florida,0.0008643466305534177,0.0008643466305534177,State: Florida
country_clean_United States,0.0007932182683802858,0.0007932182683802858,Country: United States
state_clean_Illinois,0.0007704522881800486,0.0007704522881800486,State: Illinois
partner_clean_Karina Smirnoff,0.000760837709153069,-0.000760837709153069,Partner: Karina Smirnoff
state_clean_Texas,0.0006329285040666558,0.0006329285040666558,State: Texas
state_clean_New York,0.0005877734728203142,-0.0005877734728203142,State: New York
state_clean_California,0.0005847202578376943,-0.0005847202578376943,State: California
state_clean_Kentucky,0.0005769816243993259,-0.0005769816243993259,State: Kentucky
partner_clean_Maksim Chmerkoskiy,0.0005221253825413803,-0.0005221253825413803,Partner: Maksim Chmerkoskiy
partner_clean_Mark Ballas,0.0005115685429303382,-0.0005115685429303382,Partner: Mark Ballas
partner_clean_Emma Slater,0.0004835835955249304,0.0004835835955249304,Partner: Emma Slater
state_clean_Massachusetts,0.0004759466976733621,-0.0004759466976733621,State: Massachusetts
state_clean_New Jersey,0.00046661875518000205,-0.00046661875518000205,State: New Jersey
state_clean_Iowa,0.0004217655214796348,0.0004217655214796348,State: Iowa
industry_clean_Other,0.0003854687522284906,0.0003854687522284906,Industry: Other
partner_clean_Tony Dovolani,0.0003738316428528436,-0.0003738316428528436,Partner: Tony Dovolani
state_clean_Ohio,0.00033753101053733475,-0.00033753101053733475,State: Ohio
industry_clean_Athlete,0.0003322496230763698,0.0003322496230763698,Industry: Athlete
partner_clean_Witney Carson,0.00032310302580087537,0.00032310302580087537,Partner: Witney Carson
state_clean_Pennsylvania,0.00029611467096478573,0.00029611467096478573,State: Pennsylvania
partner_clean_Peta Murgatroyd,0.00028049613462235794,0.00028049613462235794,Partner: Peta Murgatroyd
state_clean_Maryland,0.00023707604294468195,-0.00023707604294468195,State: Maryland
state_clean_Georgia,0.00023202592185886037,0.00023202592185886037,State: Georgia
industry_clean_Comedian,0.00023073088094070264,0.00023073088094070264,Industry: Comedian
partner_clean_Kym Johnson,0.00021551487216011072,-0.00021551487216011072,Partner: Kym Johnson
country_clean_Canada,0.0001543451279706657,-0.0001543451279706657,Country: Canada
country_clean_Brazil,0.0001539892832101479,-0.0001539892832101479,Country: Brazil
partner_clean_Gleb Savchenko,0.00014511059329431995,-0.00014511059329431995,Partner: Gleb Savchenko
partner_clean_Valentin Chmerkovskiy,0.0001437251098513008,-0.0001437251098513008,Partner: Valentin Chmerkovskiy
partner_clean_Sharna Burgess,0.00012188677017424468,-0.00012188677017424468,Partner: Sharna Burgess
state_clean_Michigan,0.0001214964902391275,-0.0001214964902391275,State: Michigan
state_clean_Louisiana,0.0001117176822452338,0.0001117176822452338,State: Louisiana
partner_clean_Derek Hough,8.107754268541953e-05,8.107754268541953e-05,Partner: Derek Hough
country_clean_Czechoslovakia,7.375316659953335e-05,-7.375316659953335e-05,Country: Czechoslovakia
country_clean_Mexico,7.038972661640179e-05,7.038972661640179e-05,Country: Mexico
country_clean_England,6.542257678168698e-05,-6.542257678168698e-05,Country: England
country_clean_France,4.435602524540787e-05,-4.435602524540787e-05,Country: France
state_clean_Washington,3.023525915992057e-05,-3.023525915992057e-05,State: Washington
state_clean_Virginia,1.961096130691102e-05,1.961096130691102e-05,State: Virginia
state_clean_Connecticut,1.486417283486243e-05,1.486417283486243e-05,State: Connecticut
country_clean_Italy,1.116081560476302e-05,1.116081560476302e-05,Country: Italy
country_clean_Chile,9.374143697092572e-06,9.374143697092572e-06,Country: Chile
