season,celebrityname,wiki_title,pageid,cutoff_utc,edits_total_to_cutoff,status,notes
1,Evander Holyfield,Evander Holyfield,158538,2005-05-25T00:00:00Z,49,ok,
1,Joey McIntyre,Joey McIntyre,2048467,2005-05-25T00:00:00Z,0,ok,
1,John O'Hurley,John O'Hurley,1539454,2005-05-25T00:00:00Z,4,ok,
1,Kelly Monaco,Kelly Monaco,719429,2005-05-25T00:00:00Z,28,ok,
1,Rachel Hunter,Rachel Hunter,640889,2005-05-25T00:00:00Z,15,ok,
1,Trista Sutter,Trista Sutter,1584380,2005-05-25T00:00:00Z,25,ok,
2,Drew Lachey,Drew Lachey,2063909,2005-12-29T00:00:00Z,10,ok,
2,George Hamilton,George Hamilton,1290065,2005-12-29T00:00:00Z,,disambiguation,Page is a disambiguation page (pageprops.disambiguation)
2,Giselle Fernandez,Giselle Fernández,1181002,2005-12-29T00:00:00Z,17,ok,
2,Jerry Rice,Jerry Rice,402607,2005-12-29T00:00:00Z,165,ok,
2,Kenny Mayne,Kenny Mayne,1817522,2005-12-29T00:00:00Z,10,ok,
2,Lisa Rinna,Lisa Rinna,704720,2005-12-29T00:00:00Z,40,ok,
2,Master P,Master P,168572,2005-12-29T00:00:00Z,203,ok,
2,Stacy Keibler,Stacy Keibler,307284,2005-12-29T00:00:00Z,604,ok,
2,Tatum O'Neal,Tatum O'Neal,489204,2005-12-29T00:00:00Z,59,ok,
2,Tia Carrere,Tia Carrere,411292,2005-12-29T00:00:00Z,78,ok,
3,Emmitt Smith,Emmitt Smith,154857,2006-09-05T00:00:00Z,258,ok,
3,Harry Hamlin,Harry Hamlin,689499,2006-09-05T00:00:00Z,59,ok,
3,Jerry Springer,Jerry Springer,21207345,2006-09-05T00:00:00Z,365,ok,
3,Joey Lawrence,Joey Lawrence,719197,2006-09-05T00:00:00Z,92,ok,
3,Mario Lopez,Mario Lopez,609663,2006-09-05T00:00:00Z,183,ok,
3,Monique Coleman,Monique Coleman,4462806,2006-09-05T00:00:00Z,158,ok,
