feature,shap_original,shap_noise_0.05,shap_noise_0.1
celebrity_age_during_season,0.013992623,0.014044878,0.013844332
ballroom_partner_Derek Hough,0.004850775,0.004832065,0.004524819
celebrity_homestate_Other,0.0044488558,0.0041082953,0.004778876
celebrity_homestate_California,0.0024964022,0.002256559,0.0025190387
ballroom_partner_Valentin Chmerkovskiy,0.0016070991,0.0017396032,0.0014953061
celebrity_industry_Actor/Actress,0.0014503823,0.0013468673,0.0014084376
celebrity_homestate_Georgia,0.0014007663,0.0014319768,0.0013843214
ballroom_partner_Other_Partner,0.0013307871,0.0012277662,0.0016282917
celebrity_industry_TV Personality,0.0012503183,0.0009894936,0.0013552096
celebrity_industry_Singer/Rapper,0.0012454861,0.0012211238,0.0016335513
ballroom_partner_Mark Ballas,0.0012440843,0.0009978167,0.0011007205
ballroom_partner_Maksim Chmerkoskiy,0.0011981918,0.0013918208,0.001379765
ballroom_partner_Gleb Savchenko,0.0011091569,0.0009357762,0.0010482327
ballroom_partner_Emma Slater,0.001067274,0.0010735833,0.0012702356
celebrity_homestate_Pennsylvania,0.0010604752,0.0010515905,0.0010135561
celebrity_industry_Athlete,0.0010573865,0.0014059483,0.001074271
celebrity_homecountry/region_Canada,0.0008327962,0.000890197,0.0008695092
celebrity_industry_Model,0.0007527409,0.0007589432,0.00052265386
celebrity_industry_Comedian,0.00074684806,0.00072367344,0.00070384704
ballroom_partner_Peta Murgatroyd,0.0007466391,0.0006895049,0.00071746396
celebrity_homestate_Texas,0.0007309065,0.00071231456,0.00051210466
celebrity_homestate_New York,0.00067396404,0.00086476933,0.0009326012
celebrity_industry_Racing Driver,0.00064214977,0.0006169238,0.0007363436
ballroom_partner_Karina Smirnoff,0.0006392261,0.00068060786,0.0005791642
celebrity_industry_Other,0.0006238994,0.0006172596,0.00063574454
ballroom_partner_Kym Johnson,0.0005791856,0.0006681597,0.00066123484
celebrity_homestate_Illinois,0.00048191196,0.00047926218,0.0005092461
ballroom_partner_Sharna Burgess,0.00046225777,0.00048460523,0.0005084395
celebrity_homecountry/region_Other,0.0004241288,0.00041385507,0.00035234677
celebrity_homestate_Michigan,0.0004161487,0.0003155409,0.00044660136
ballroom_partner_Tony Dovolani,0.0004063448,0.0005094959,0.0004058931
ballroom_partner_Cheryl Burke,0.0003855878,0.0004558842,0.0005394233
celebrity_homestate_Florida,0.0003807947,0.00050141703,0.0006749984
celebrity_homestate_Unknown,0.00035629873,0.00037706716,0.00040083326
ballroom_partner_Witney Carson,0.00034274833,0.00031014034,0.00038439195
ballroom_partner_Artem Chigvintsev,0.0002618697,0.00021495439,0.0002749494
celebrity_homecountry/region_England,0.0002567078,0.00036359395,0.00021809904
celebrity_homecountry/region_Australia,0.0002106419,0.00023435465,0.00014974622
celebrity_homestate_Ohio,0.0002061157,0.00019433849,0.00023821282
ballroom_partner_Sasha Farber,0.00017738201,0.00016409393,0.000104432904
celebrity_industry_Entrepreneur,0.00011783361,0.00012143858,0.00011017934
celebrity_homecountry/region_Italy,7.1784816e-05,6.989669e-05,0.00010643597
celebrity_industry_Social Media Personality,5.4519067e-05,8.2884115e-05,0.00027554668
celebrity_industry_Radio Personality,1.736934e-05,1.4222272e-05,4.1601277e-05
celebrity_homecountry/region_United States,0.0,0.0,0.0
