ballroom_partner,mean,count,ci_lower,ci_upper
Derek Hough,0.14598772188983922,17,0.0786782335452359,0.20606735110454916
Kym Johnson,0.12176381343435416,14,-0.012780095946479149,0.2653152811783131
Cheryl Burke,0.11753134861762646,25,0.024941789538854158,0.20446204552158737
Peta Murgatroyd,0.03384276993057067,15,-0.08595466913681452,0.15712731361690194
Sasha Farber,0.016588662431219103,12,-0.10747861102717948,0.14545326707112444
Mark Ballas,0.016296154669180905,21,-0.10413012077109984,0.13376254162719944
Witney Carson,0.013294834734066032,14,-0.13721731474561263,0.15732949659077808
Artem Chigvintsev,0.01002137979306672,12,-0.12619170094749774,0.1523441057494192
Emma Slater,0.007897477617867424,16,-0.12092854822832375,0.14602922821504907
Valentin Chmerkovskiy,-0.003383373378973998,19,-0.10265635024699017,0.094977801986587
Tony Dovolani,-0.018678636348637444,21,-0.0980179868984704,0.06790388358621778
Other_Partner,-0.025069374849150464,173,-0.07058492901592171,0.015785926533651636
Maksim Chmerkoskiy,-0.03778813833363056,17,-0.14588457427064505,0.08387967362146989
Karina Smirnoff,-0.05212755116950783,18,-0.19411502627781776,0.0863946117044826
Sharna Burgess,-0.05423885163044935,14,-0.22359790812852393,0.10133125611498929
Gleb Savchenko,-0.10571348777237367,13,-0.23261860752076227,0.02830859585183947
