feature,shap_success,shap_judge,shap_fan,judge_minus_fan
ballroom_partner_Artem Chigvintsev,0.00056319585,0.090627104,0.0002618697,0.09036523
ballroom_partner_Cheryl Burke,0.0051590945,0.03424153,0.0003855878,0.033855945
ballroom_partner_Derek Hough,0.004907855,0.18152523,0.004850775,0.17667446
ballroom_partner_Emma Slater,0.0009149434,0.027164597,0.001067274,0.026097324
ballroom_partner_Gleb Savchenko,0.0011310276,0.023498049,0.0011091569,0.022388892
ballroom_partner_Karina Smirnoff,0.0023933195,0.07966634,0.0006392261,0.07902712
ballroom_partner_Kym Johnson,0.0019154071,0.024928007,0.0005791856,0.024348821
ballroom_partner_Maksim Chmerkoskiy,0.0025161933,0.03537521,0.0011981918,0.03417702
ballroom_partner_Mark Ballas,0.0011890096,0.0074432837,0.0012440843,0.0061991992
ballroom_partner_Other_Partner,0.010823408,0.8523516,0.0013307871,0.8510208
ballroom_partner_Peta Murgatroyd,0.00036714296,0.09618646,0.0007466391,0.09543982
ballroom_partner_Sasha Farber,0.00037093982,0.06941985,0.00017738201,0.06924247
ballroom_partner_Sharna Burgess,0.0014630294,0.08765098,0.00046225777,0.08718872
ballroom_partner_Tony Dovolani,0.00058374176,0.048348736,0.0004063448,0.047942393
ballroom_partner_Valentin Chmerkovskiy,0.0015630398,0.13668336,0.0016070991,0.13507625
ballroom_partner_Witney Carson,0.0005190802,0.10407777,0.00034274833,0.10373502
celebrity_age_during_season,0.061328027,1.5183336,0.013992623,1.5043409
celebrity_homecountry/region_Australia,0.0,0.021752778,0.0002106419,0.021542136
celebrity_homecountry/region_Canada,0.00036806095,0.0074578794,0.0008327962,0.0066250833
celebrity_homecountry/region_England,3.2236025e-05,0.022695616,0.0002567078,0.022438908
celebrity_homecountry/region_Italy,0.00088239927,0.014654245,7.1784816e-05,0.014582461
celebrity_homecountry/region_Other,0.0035373718,0.028032575,0.0004241288,0.027608447
celebrity_homecountry/region_United States,0.0,0.0,0.0,0.0
celebrity_homestate_California,0.005107992,0.13661376,0.0024964022,0.13411735
celebrity_homestate_Florida,0.002901609,0.089364685,0.0003807947,0.08898389
celebrity_homestate_Georgia,0.0023694218,0.15506828,0.0014007663,0.15366751
celebrity_homestate_Illinois,0.0014868318,0.03633037,0.00048191196,0.035848457
celebrity_homestate_Michigan,0.001150774,0.10907339,0.0004161487,0.10865724
celebrity_homestate_New York,0.0012810592,0.14485066,0.00067396404,0.14417669
celebrity_homestate_Ohio,0.0024344085,0.05643838,0.0002061157,0.056232262
celebrity_homestate_Other,0.001599607,0.084696166,0.0044488558,0.08024731
celebrity_homestate_Pennsylvania,0.005025931,0.029491184,0.0010604752,0.02843071
celebrity_homestate_Texas,0.0031084805,0.07746595,0.0007309065,0.07673504
celebrity_homestate_Unknown,0.0023421696,0.0814915,0.00035629873,0.0811352
celebrity_industry_Actor/Actress,0.004533898,0.21146382,0.0014503823,0.21001343
celebrity_industry_Athlete,0.0023318855,0.10501257,0.0010573865,0.10395519
celebrity_industry_Comedian,0.0022945188,0.10581491,0.00074684806,0.105068065
celebrity_industry_Entrepreneur,3.5463538e-05,0.015401532,0.00011783361,0.015283698
celebrity_industry_Model,0.00665498,0.07700947,0.0007527409,0.07625673
celebrity_industry_Other,0.0027600925,0.09713061,0.0006238994,0.096506715
celebrity_industry_Racing Driver,0.00027598796,0.055721037,0.00064214977,0.055078886
celebrity_industry_Radio Personality,0.0004924444,0.02164823,1.736934e-05,0.02163086
celebrity_industry_Singer/Rapper,0.008685546,0.118155226,0.0012454861,0.11690974
celebrity_industry_Social Media Personality,0.00017066319,0.05921842,5.4519067e-05,0.059163902
celebrity_industry_TV Personality,0.0023926036,0.35434502,0.0012503183,0.3530947
fan_mean_w1_3,0.05474599,,,
fan_slope_w1_3,0.038707312,,,
fan_week1,0.04305509,,,
judge_mean_w1_3,0.113884225,,,
judge_slope_w1_3,0.0127914,,,
judge_week1,0.029379813,,,
