feature,shap_w1_3,shap_week1
celebrity_age_during_season,0.061328027,0.08483879
judge_week1,0.029379813,0.082297616
judge_mean_w1_3,0.113884225,
judge_slope_w1_3,0.0127914,
fan_week1,0.04305509,0.10830275
fan_mean_w1_3,0.05474599,
fan_slope_w1_3,0.038707312,
celebrity_industry_Actor/Actress,0.004533898,0.013218588
celebrity_industry_Athlete,0.0023318855,0.007318167
celebrity_industry_Comedian,0.0022945188,0.0029848325
celebrity_industry_Entrepreneur,3.5463538e-05,5.715751e-05
celebrity_industry_Model,0.00665498,0.009693872
celebrity_industry_Other,0.0027600925,0.0023001686
celebrity_industry_Racing Driver,0.00027598796,0.00055206317
celebrity_industry_Radio Personality,0.0004924444,0.0011163014
celebrity_industry_Singer/Rapper,0.008685546,0.0049595553
celebrity_industry_Social Media Personality,0.00017066319,0.0012070793
celebrity_industry_TV Personality,0.0023926036,0.003483115
celebrity_homestate_California,0.005107992,0.009873534
celebrity_homestate_Florida,0.002901609,0.001563603
celebrity_homestate_Georgia,0.0023694218,0.0036859063
celebrity_homestate_Illinois,0.0014868318,0.00062966405
celebrity_homestate_Michigan,0.001150774,0.0013512339
celebrity_homestate_New York,0.0012810592,0.0035121345
celebrity_homestate_Ohio,0.0024344085,0.00570051
celebrity_homestate_Other,0.001599607,0.0047564576
celebrity_homestate_Pennsylvania,0.005025931,0.005213277
celebrity_homestate_Texas,0.0031084805,0.0039862324
celebrity_homestate_Unknown,0.0023421696,0.0013346405
celebrity_homecountry/region_Australia,0.0,0.0001080134
celebrity_homecountry/region_Canada,0.00036806095,0.0010261685
celebrity_homecountry/region_England,3.2236025e-05,0.000993955
celebrity_homecountry/region_Italy,0.00088239927,0.0020731504
celebrity_homecountry/region_Other,0.0035373718,0.004366419
celebrity_homecountry/region_United States,0.0,0.0
ballroom_partner_Artem Chigvintsev,0.00056319585,0.0013308794
ballroom_partner_Cheryl Burke,0.0051590945,0.009666043
ballroom_partner_Derek Hough,0.004907855,0.005823226
ballroom_partner_Emma Slater,0.0009149434,0.0016225716
ballroom_partner_Gleb Savchenko,0.0011310276,0.0021901699
ballroom_partner_Karina Smirnoff,0.0023933195,0.0017544043
ballroom_partner_Kym Johnson,0.0019154071,0.0015915561
ballroom_partner_Maksim Chmerkoskiy,0.0025161933,0.0027231001
ballroom_partner_Mark Ballas,0.0011890096,0.0018409248
ballroom_partner_Other_Partner,0.010823408,0.014880877
ballroom_partner_Peta Murgatroyd,0.00036714296,0.003022126
ballroom_partner_Sasha Farber,0.00037093982,0.0025315103
ballroom_partner_Sharna Burgess,0.0014630294,0.0013160337
ballroom_partner_Tony Dovolani,0.00058374176,0.0013680521
ballroom_partner_Valentin Chmerkovskiy,0.0015630398,0.00084367517
ballroom_partner_Witney Carson,0.0005190802,0.0031088307
