season,n_contestants,total_weeks_with_elim,agreement_count,disagreement_count,agreement_rate,rank_favors_by_judge,pct_favors_by_judge,rank_favors_by_fan,pct_favors_by_fan,mean_judge_margin,mean_fan_margin,first_disagree_week
1,6,4,4,0,1.0,0,0,0,0,,,
2,10,7,7,0,1.0,0,0,0,0,,,
3,11,8,8,0,1.0,0,0,0,0,,,
4,11,8,8,0,1.0,0,0,0,0,,,
5,12,9,9,0,1.0,0,0,0,0,,,
6,12,8,8,0,1.0,0,0,0,0,,,
7,13,8,8,0,1.0,0,0,0,0,,,
8,13,9,9,0,1.0,0,0,0,0,,,
9,16,9,9,0,1.0,0,0,0,0,,,
10,11,8,8,0,1.0,0,0,0,0,,,
11,12,9,9,0,1.0,0,0,0,0,,,
12,11,8,8,0,1.0,0,0,0,0,,,
13,12,9,9,0,1.0,0,0,0,0,,,
14,12,8,8,0,1.0,0,0,0,0,,,
15,13,7,7,0,1.0,0,0,0,0,,,
16,12,8,7,1,0.875,1,0,1,0,15.0,0.021368038037223508,3.0
17,12,8,8,0,1.0,0,0,0,0,,,
18,12,7,5,2,0.7143,1,0,1,0,21.0,0.010897370439908911,2.0
19,13,9,9,0,1.0,0,0,0,0,,,
20,12,8,8,0,1.0,0,0,0,0,,,
21,13,6,6,0,1.0,0,0,0,0,,,
22,12,7,7,0,1.0,0,0,0,0,,,
23,13,8,8,0,1.0,0,0,0,0,,,
24,12,8,8,0,1.0,0,0,0,0,,,
25,13,7,7,0,1.0,0,0,0,0,,,
26,10,3,3,0,1.0,0,0,0,0,,,
27,13,7,7,0,1.0,0,0,0,0,,,
28,12,7,6,1,0.8571,0,0,0,0,,,3.0
29,15,9,9,0,1.0,0,0,0,0,,,
30,15,8,8,0,1.0,0,0,0,0,,,
31,16,9,9,0,1.0,0,0,0,0,,,
32,14,9,9,0,1.0,0,0,0,0,,,
33,13,6,5,1,0.8333,0,0,0,0,,,4.0
34,14,8,8,0,1.0,0,0,0,0,,,
