season,week,k,agree,rank_eliminee,pct_eliminee,rank_elim_judge,pct_elim_judge,rank_elim_fan,pct_elim_fan,rank_favors_fans_by_judge,rank_favors_fans_by_fan
1,3,1,True,Trista Sutter,Trista Sutter,0.0,0.0,0.0,0.0,,
1,4,1,True,Evander Holyfield,Evander Holyfield,0.0,0.0,0.0,0.0,,
1,5,1,True,Rachel Hunter,Rachel Hunter,0.0,0.0,0.0,0.0,,
1,6,1,True,Joey McIntyre,Joey McIntyre,0.0,0.0,0.23699421965317913,0.23699421965317913,,
2,2,1,True,Kenny Mayne,Kenny Mayne,0.0,0.0,0.0,0.0,,
2,3,1,True,Tatum O'Neal,Tatum O'Neal,0.0,0.0,0.0,0.0,,
2,4,1,True,Giselle Fernandez,Giselle Fernandez,0.0,0.0,0.0,0.0,,
2,5,1,True,Master P,Master P,0.0,0.0,0.0,0.0,,
2,6,1,True,Tia Carrere,Tia Carrere,0.0,0.0,0.0,0.0,,
2,7,1,True,George Hamilton,George Hamilton,0.0,0.0,0.0,0.0,,
2,8,1,True,Lisa Rinna,Lisa Rinna,0.0,0.0,0.0,0.0,,
3,2,1,True,Tucker Carlson,Tucker Carlson,0.0,0.0,0.0,0.0,,
3,3,1,True,Shanna Moakler,Shanna Moakler,0.0,0.0,0.0,0.0,,
3,4,1,True,Harry Hamlin,Harry Hamlin,0.0,0.0,0.0,0.0,,
3,5,1,True,Vivica A. Fox,Vivica A. Fox,0.0,0.0,0.0,0.0,,
3,6,2,True,Willa Ford;Sara Evans,Willa Ford;Sara Evans,0.0,0.0,0.0510614825795458,0.0510614825795458,,
3,8,1,True,Jerry Springer,Jerry Springer,0.0,0.0,0.0,0.0,,
3,9,1,True,Monique Coleman,Monique Coleman,0.0,0.0,0.0,0.0,,
3,10,1,True,Joey Lawrence,Joey Lawrence,0.0,0.0,0.24451738666903947,0.24451738666903947,,
4,3,1,True,Paulina Porizkova,Paulina Porizkova,0.0,0.0,0.0,0.0,,
4,4,1,True,Shandi Finnessey,Shandi Finnessey,0.0,0.0,0.0,0.0,,
4,5,1,True,Leeza Gibbons,Leeza Gibbons,0.0,0.0,0.0,0.0,,
4,6,1,True,Clyde Drexler,Clyde Drexler,0.0,0.0,0.0,0.0,,
4,7,1,True,Heather Mills,Heather Mills,0.0,0.0,0.0,0.0,,
4,8,1,True,John Ratzenberger,John Ratzenberger,0.0,0.0,0.0,0.0,,
4,9,1,True,Billy Ray Cyrus,Billy Ray Cyrus,0.0,0.0,0.0,0.0,,
4,10,1,True,Ian Ziering,Ian Ziering,0.0,0.0,0.0,0.0,,
5,2,1,True,Josie Maran,Josie Maran,0.0,0.0,0.0,0.0,,
5,3,1,True,Albert Reed,Albert Reed,0.0,0.0,0.0,0.0,,
5,4,1,True,Wayne Newton,Wayne Newton,0.0,0.0,0.0,0.0,,
5,5,1,True,Floyd Mayweather Jr. ,Floyd Mayweather Jr. ,0.0,0.0,0.0,0.0,,
5,6,1,True,Mark Cuban,Mark Cuban,0.0,0.0,0.0,0.0,,
5,7,1,True,Sabrina Bryan,Sabrina Bryan,0.0,0.0,0.0,0.0,,
5,8,1,True,Jane Seymour,Jane Seymour,0.0,0.0,0.0,0.0,,
5,9,1,True,Cameron Mathison,Cameron Mathison,0.0,0.0,0.0,0.0,,
5,10,1,True,Jennie Garth,Jennie Garth,0.0,0.0,0.0,0.0,,
6,3,2,True,Monica Seles;Penn Jillette,Monica Seles;Penn Jillette,0.0,0.0,0.0,0.0,,
6,4,1,True,Steve Guttenberg,Steve Guttenberg,0.0,0.0,0.0,0.0,,
6,5,1,True,Adam Carolla,Adam Carolla,0.0,0.0,0.0,0.0,,
6,6,1,True,Priscilla Presley,Priscilla Presley,0.0,0.0,0.0,0.0,,
6,7,1,True,Marlee Matlin,Marlee Matlin,0.0,0.0,0.0,0.0,,
6,8,1,True,Shannon Elizabeth,Shannon Elizabeth,0.0,0.0,0.0,0.0,,
6,9,1,True,Mario,Mario,0.0,0.0,0.0,0.0,,
6,10,1,True,Marissa Jaret Winokur,Marissa Jaret Winokur,0.0,0.0,0.0,0.0,,
