season,n_contestants,elim_agreement_rate,kendall_tau_distance,mean_displacement,top4_same,winner_same
1,6,1.0,0.0,0.0,True,True
2,10,1.0,0.0,0.0,True,True
3,11,0.875,0.0,0.0,True,True
4,11,0.875,0.0,0.0,True,True
5,12,0.7777777777777778,0.0,0.0,True,True
6,12,0.875,0.0,0.0,True,True
7,13,0.875,0.0,0.0,True,True
8,13,0.7777777777777778,0.0,0.0,True,True
9,16,0.3333333333333333,0.3333333333333333,0.6666666666666666,False,False
10,11,1.0,0.0,0.0,True,True
11,12,0.7777777777777778,0.0,0.0,True,True
12,11,0.75,0.0,0.0,True,True
13,12,0.6666666666666666,0.0,0.0,True,True
14,12,0.5,0.0,0.0,True,True
15,13,1.0,0.0,0.0,True,True
16,12,0.25,0.0,0.0,True,True
17,12,0.5,0.0,0.0,True,True
18,12,0.42857142857142855,0.0,0.0,True,True
19,13,0.5555555555555556,0.16666666666666666,0.5,False,False
20,12,0.375,0.0,0.0,True,True
21,13,0.16666666666666666,0.0,0.0,True,True
22,12,0.7142857142857143,0.0,0.0,True,True
23,13,0.875,0.16666666666666666,0.5,False,True
24,12,0.125,0.0,0.0,True,True
25,13,0.7142857142857143,0.0,0.0,True,True
26,10,0.6666666666666666,0.3333333333333333,0.6666666666666666,False,True
27,13,0.14285714285714285,0.16666666666666666,0.5,False,False
28,12,0.7142857142857143,0.0,0.0,True,True
29,15,0.6666666666666666,0.0,0.0,True,True
30,15,0.625,0.16666666666666666,0.5,False,False
31,16,0.7777777777777778,0.0,0.0,True,True
32,14,0.5555555555555556,0.0,0.0,True,True
33,13,0.6666666666666666,0.16666666666666666,0.5,False,False
34,14,0.875,0.0,0.0,True,True
